Sentence,Type,P,Not P,Contradiction,Connective
The cat chases the mouse or the cat does not chase the mouse.,experimental,The cat chases the mouse.,The cat does not chase the mouse.,0,or
"Maybe the cat chases the mouse, maybe the cat does not chase the mouse.",experimental,The cat chases the mouse.,The cat does not chase the mouse.,0,maybe
"Perhaps the cat chases the mouse, perhaps the cat does not chase the mouse.",experimental,The cat chases the mouse.,The cat does not chase the mouse.,0,perhaps
The cat might chase the mouse and the cat might not chase the mouse.,experimental,The cat chases the mouse.,The cat does not chase the mouse.,0,might
I have a car and I do not have a car.,experimental,I have a car.,I do not have a car.,1,and
I have a car if I do not have a car.,experimental,I have a car.,I do not have a car.,1,if
I have a car so I do not have a car.,experimental,I have a car.,I do not have a car.,1,so
I have a car therefore I do not have a car.,experimental,I have a car.,I do not have a car.,1,therefore
I have a car but I do not have a car.,experimental,I have a car.,I do not have a car.,1,but
I have a car when I do not have a car.,experimental,I have a car.,I do not have a car.,1,when
I have a car although I do not have a car.,experimental,I have a car.,I do not have a car.,1,although
I have a car or I do not have a car.,experimental,I have a car.,I do not have a car.,0,or
"Maybe I have a car, maybe I do not have a car.",experimental,I have a car.,I do not have a car.,0,maybe
"Perhaps I have a car, perhaps I do not have a car.",experimental,I have a car.,I do not have a car.,0,perhaps
I might have a car and I might not have a car.,experimental,I have a car.,I do not have a car.,0,might
The boy is playing soccer and the boy is not playing soccer.,experimental,The boy is playing soccer.,The boy is not playing soccer.,1,and
The boy is playing soccer if the boy is not playing soccer.,experimental,The boy is playing soccer.,The boy is not playing soccer.,1,if
The boy is playing soccer so the boy is not playing soccer.,experimental,The boy is playing soccer.,The boy is not playing soccer.,1,so
The boy is playing soccer therefore the boy is not playing soccer.,experimental,The boy is playing soccer.,The boy is not playing soccer.,1,therefore
The boy is playing soccer but the boy is not playing soccer.,experimental,The boy is playing soccer.,The boy is not playing soccer.,1,but
The boy is playing soccer when the boy is not playing soccer.,experimental,The boy is playing soccer.,The boy is not playing soccer.,1,when
The boy is playing soccer although the boy is not playing soccer.,experimental,The boy is playing soccer.,The boy is not playing soccer.,1,although
The boy is playing soccer or the boy is not playing soccer.,experimental,The boy is playing soccer.,The boy is not playing soccer.,0,or
"Maybe the boy is playing soccer, maybe the boy is not playing soccer.",experimental,The boy is playing soccer.,The boy is not playing soccer.,0,maybe
"Perhaps the boy is playing soccer, perhaps the boy is not playing soccer.",experimental,The boy is playing soccer.,The boy is not playing soccer.,0,perhaps
The boy might be playing soccer and the boy might not be playing soccer.,experimental,The boy is playing soccer.,The boy is not playing soccer.,0,might
Jim showed the man his tickets and Jim did not show the man his tickets.,experimental,Jim showed the man his tickets.,Jim did not show the man his tickets.,1,and
Jim showed the man his tickets if Jim did not show the man his tickets.,experimental,Jim showed the man his tickets.,Jim did not show the man his tickets.,1,if
Jim showed the man his tickets so Jim did not show the man his tickets.,experimental,Jim showed the man his tickets.,Jim did not show the man his tickets.,1,so
Jim showed the man his tickets therefore Jim did not show the man his tickets.,experimental,Jim showed the man his tickets.,Jim did not show the man his tickets.,1,therefore
Jim showed the man his tickets but Jim did not show the man his tickets.,experimental,Jim showed the man his tickets.,Jim did not show the man his tickets.,1,but
Jim showed the man his tickets when Jim did not show the man his tickets.,experimental,Jim showed the man his tickets.,Jim did not show the man his tickets.,1,when
Jim showed the man his tickets although Jim did not show the man his tickets.,experimental,Jim showed the man his tickets.,Jim did not show the man his tickets.,1,although
Jim showed the man his tickets or Jim did not show the man his tickets.,experimental,Jim showed the man his tickets.,Jim did not show the man his tickets.,0,or
"Maybe Jim showed the man his tickets, maybe Jim did not show the man his tickets.",experimental,Jim showed the man his tickets.,Jim did not show the man his tickets.,0,maybe
"Perhaps Jim showed the man his tickets, perhaps Jim did not show the man his tickets.",experimental,Jim showed the man his tickets.,Jim did not show the man his tickets.,0,perhaps
Jim might show the man his tickets and Jim might not show the man his tickets.,experimental,Jim showed the man his tickets.,Jim did not show the man his tickets.,0,might
Steve went to New York and Steve did not go to New York.,experimental,Steve went to New York.,Steve did not go to New York.,1,and
Steve went to New York if Steve did not go to New York.,experimental,Steve went to New York.,Steve did not go to New York.,1,if
Steve went to New York so Steve did not go to New York.,experimental,Steve went to New York.,Steve did not go to New York.,1,so
Steve went to New York therefore Steve did not go to New York.,experimental,Steve went to New York.,Steve did not go to New York.,1,therefore
Steve went to New York but Steve did not go to New York.,experimental,Steve went to New York.,Steve did not go to New York.,1,but
Steve went to New York when Steve did not go to New York.,experimental,Steve went to New York.,Steve did not go to New York.,1,when
Steve went to New York although Steve did not go to New York.,experimental,Steve went to New York.,Steve did not go to New York.,1,although
Steve went to New York or Steve did not go to New York.,experimental,Steve went to New York.,Steve did not go to New York.,0,or
"Maybe Steve went to New York, maybe Steve did not go to New York.",experimental,Steve went to New York.,Steve did not go to New York.,0,maybe
"Perhaps Steve went to New York, perhaps Steve did not go to New York.",experimental,Steve went to New York.,Steve did not go to New York.,0,perhaps
Steve might go to New York and Steve might not go to New York.,experimental,Steve went to New York.,Steve did not go to New York.,0,might
The kids go to the mall and the kids do not go to the mall.,experimental,The kids go to the mall.,The kids do not go to the mall.,1,and
The kids go to the mall if the kids do not go to the mall.,experimental,The kids go to the mall.,The kids do not go to the mall.,1,if
The kids go to the mall so the kids do not go to the mall.,experimental,The kids go to the mall.,The kids do not go to the mall.,1,so
The kids go to the mall therefore the kids do not go to the mall.,experimental,The kids go to the mall.,The kids do not go to the mall.,1,therefore
The kids go to the mall but the kids do not go to the mall.,experimental,The kids go to the mall.,The kids do not go to the mall.,1,but
The kids go to the mall when the kids do not go to the mall.,experimental,The kids go to the mall.,The kids do not go to the mall.,1,when
The kids go to the mall although the kids do not go to the mall.,experimental,The kids go to the mall.,The kids do not go to the mall.,1,although
The kids go to the mall or the kids do not go to the mall.,experimental,The kids go to the mall.,The kids do not go to the mall.,0,or
"Maybe the kids go to the mall, maybe the kids do not go to the mall.",experimental,The kids go to the mall.,The kids do not go to the mall.,0,maybe
"Perhaps the kids go to the mall, perhaps the kids do not go to the mall.",experimental,The kids go to the mall.,The kids do not go to the mall.,0,perhaps
The kids might go to the mall and the kids might not go to the mall.,experimental,The kids go to the mall.,The kids do not go to the mall.,0,might
The man has forgotten to do his homework and the man has not forgotten to do his homework.,experimental,The man has forgotten to do his homework.,The man has not forgotten to do his homework.,1,and
The man has forgotten to do his homework if the man has not forgotten to do his homework.,experimental,The man has forgotten to do his homework.,The man has not forgotten to do his homework.,1,if
The man has forgotten to do his homework so the man has not forgotten to do his homework.,experimental,The man has forgotten to do his homework.,The man has not forgotten to do his homework.,1,so
The man has forgotten to do his homework therefore the man has not forgotten to do his homework.,experimental,The man has forgotten to do his homework.,The man has not forgotten to do his homework.,1,therefore
The man has forgotten to do his homework but the man has not forgotten to do his homework.,experimental,The man has forgotten to do his homework.,The man has not forgotten to do his homework.,1,but
The man has forgotten to do his homework when the man has not forgotten to do his homework.,experimental,The man has forgotten to do his homework.,The man has not forgotten to do his homework.,1,when
The man has forgotten to do his homework although the man has not forgotten to do his homework.,experimental,The man has forgotten to do his homework.,The man has not forgotten to do his homework.,1,although
The man has forgotten to do his homework or the man has not forgotten to do his homework.,experimental,The man has forgotten to do his homework.,The man has not forgotten to do his homework.,0,or
"Maybe the man has forgotten to do his homework, maybe the man has not forgotten to do his homework.",experimental,The man has forgotten to do his homework.,The man has not forgotten to do his homework.,0,maybe
"Perhaps the man has forgotten to do his homework, perhaps the man has not forgotten to do his homework.",experimental,The man has forgotten to do his homework.,The man has not forgotten to do his homework.,0,perhaps
The man might have forgotten to do his homework and the man might not have forgotten to do his homework.,experimental,The man has forgotten to do his homework.,The man has not forgotten to do his homework.,0,might
The mansion has ten rooms and the mansion does not have ten rooms.,experimental,The mansion has ten rooms.,The mansion does not have ten rooms.,1,and
The mansion has ten rooms if the mansion does not have ten rooms.,experimental,The mansion has ten rooms.,The mansion does not have ten rooms.,1,if
The mansion has ten rooms so the mansion does not have ten rooms.,experimental,The mansion has ten rooms.,The mansion does not have ten rooms.,1,so
The mansion has ten rooms therefore the mansion does not have ten rooms.,experimental,The mansion has ten rooms.,The mansion does not have ten rooms.,1,therefore
The mansion has ten rooms but the mansion does not have ten rooms.,experimental,The mansion has ten rooms.,The mansion does not have ten rooms.,1,but
The mansion has ten rooms when the mansion does not have ten rooms.,experimental,The mansion has ten rooms.,The mansion does not have ten rooms.,1,when
The mansion has ten rooms although the mansion does not have ten rooms.,experimental,The mansion has ten rooms.,The mansion does not have ten rooms.,1,although
The mansion has ten rooms or the mansion does not have ten rooms.,experimental,The mansion has ten rooms.,The mansion does not have ten rooms.,0,or
"Maybe the mansion has ten rooms, maybe the mansion does not have ten rooms.",experimental,The mansion has ten rooms.,The mansion does not have ten rooms.,0,maybe
"Perhaps the mansion has ten rooms, perhaps the mansion does not have ten rooms.",experimental,The mansion has ten rooms.,The mansion does not have ten rooms.,0,perhaps
The mansion might have ten rooms and the mansion might not have ten rooms.,experimental,The mansion has ten rooms.,The mansion does not have ten rooms.,0,might
The tea in the kettle is done brewing and the tea in the kettle is not done brewing.,experimental,The tea in the kettle is done brewing.,The tea in the kettle is not done brewing.,1,and
The tea in the kettle is done brewing if the tea in the kettle is not done brewing.,experimental,The tea in the kettle is done brewing.,The tea in the kettle is not done brewing.,1,if
The tea in the kettle is done brewing so the tea in the kettle is not done brewing.,experimental,The tea in the kettle is done brewing.,The tea in the kettle is not done brewing.,1,so
The tea in the kettle is done brewing therefore the tea in the kettle is not done brewing.,experimental,The tea in the kettle is done brewing.,The tea in the kettle is not done brewing.,1,therefore
The tea in the kettle is done brewing but the tea in the kettle is not done brewing.,experimental,The tea in the kettle is done brewing.,The tea in the kettle is not done brewing.,1,but
The tea in the kettle is done brewing when the tea in the kettle is not done brewing.,experimental,The tea in the kettle is done brewing.,The tea in the kettle is not done brewing.,1,when
The tea in the kettle is done brewing although the tea in the kettle is not done brewing.,experimental,The tea in the kettle is done brewing.,The tea in the kettle is not done brewing.,1,although
The tea in the kettle is done brewing or the tea in the kettle is not done brewing.,experimental,The tea in the kettle is done brewing.,The tea in the kettle is not done brewing.,0,or
"Maybe the tea in the kettle is done brewing, maybe the tea in the kettle is not done brewing.",experimental,The tea in the kettle is done brewing.,The tea in the kettle is not done brewing.,0,maybe
"Perhaps the tea in the kettle is done brewing, perhaps the tea in the kettle is not done brewing.",experimental,The tea in the kettle is done brewing.,The tea in the kettle is not done brewing.,0,perhaps
The tea in the kettle might be done brewing and the tea in the kettle might not be done brewing.,experimental,The tea in the kettle is done brewing.,The tea in the kettle is not done brewing.,0,might
The teacher assigned homework for the week and the teacher did not assign homework for the week.,experimental,The teacher assigned homework for the week.,The teacher did not assign homework for the week.,1,and
The teacher assigned homework for the week if the teacher did not assign homework for the week.,experimental,The teacher assigned homework for the week.,The teacher did not assign homework for the week.,1,if
The teacher assigned homework for the week so the teacher did not assign homework for the week.,experimental,The teacher assigned homework for the week.,The teacher did not assign homework for the week.,1,so
The teacher assigned homework for the week therefore the teacher did not assign homework for the week.,experimental,The teacher assigned homework for the week.,The teacher did not assign homework for the week.,1,therefore
The teacher assigned homework for the week but the teacher did not assign homework for the week.,experimental,The teacher assigned homework for the week.,The teacher did not assign homework for the week.,1,but
The teacher assigned homework for the week when the teacher did not assign homework for the week.,experimental,The teacher assigned homework for the week.,The teacher did not assign homework for the week.,1,when
The teacher assigned homework for the week although the teacher did not assign homework for the week.,experimental,The teacher assigned homework for the week.,The teacher did not assign homework for the week.,1,although
The teacher assigned homework for the week or the teacher did not assign homework for the week.,experimental,The teacher assigned homework for the week.,The teacher did not assign homework for the week.,0,or
"Maybe the teacher assigned homework for the week, maybe the teacher did not assign homework for the week.",experimental,The teacher assigned homework for the week.,The teacher did not assign homework for the week.,0,maybe
"Perhaps the teacher assigned homework for the week, perhaps the teacher did not assign homework for the week.",experimental,The teacher assigned homework for the week.,The teacher did not assign homework for the week.,0,perhaps
The teacher might assign homework for the week and the teacher might not assign homework for the week.,experimental,The teacher assigned homework for the week.,The teacher did not assign homework for the week.,0,might
I ran into my classmate at the mall and I did not run into my classmate at the mall.,experimental,I ran into my classmate at the mall.,I did not run into my classmate at the mall.,1,and
I ran into my classmate at the mall if I did not run into my classmate at the mall.,experimental,I ran into my classmate at the mall.,I did not run into my classmate at the mall.,1,if
I ran into my classmate at the mall so I did not run into my classmate at the mall.,experimental,I ran into my classmate at the mall.,I did not run into my classmate at the mall.,1,so
I ran into my classmate at the mall therefore I did not run into my classmate at the mall.,experimental,I ran into my classmate at the mall.,I did not run into my classmate at the mall.,1,therefore
I ran into my classmate at the mall but I did not run into my classmate at the mall.,experimental,I ran into my classmate at the mall.,I did not run into my classmate at the mall.,1,but
I ran into my classmate at the mall when I did not run into my classmate at the mall.,experimental,I ran into my classmate at the mall.,I did not run into my classmate at the mall.,1,when
I ran into my classmate at the mall although I did not run into my classmate at the mall.,experimental,I ran into my classmate at the mall.,I did not run into my classmate at the mall.,1,although
I ran into my classmate at the mall or I did not run into my classmate at the mall.,experimental,I ran into my classmate at the mall.,I did not run into my classmate at the mall.,0,or
"Maybe I ran into my classmate at the mall, maybe I did not run into my classmate at the mall.",experimental,I ran into my classmate at the mall.,I did not run into my classmate at the mall.,0,maybe
"Perhaps I ran into my classmate at the mall, perhaps I did not run into my classmate at the mall.",experimental,I ran into my classmate at the mall.,I did not run into my classmate at the mall.,0,perhaps
I might run into my classmate at the mall and I might not run into my classmate at the mall.,experimental,I ran into my classmate at the mall.,I did not run into my classmate at the mall.,0,might
I called Anna twice today and I did not call Anna twice today.,experimental,I called Anna twice today.,I did not call Anna twice today.,1,and
I called Anna twice today if I did not call Anna twice today.,experimental,I called Anna twice today.,I did not call Anna twice today.,1,if
I called Anna twice today so I did not call Anna twice today.,experimental,I called Anna twice today.,I did not call Anna twice today.,1,so
I called Anna twice today therefore I did not call Anna twice today.,experimental,I called Anna twice today.,I did not call Anna twice today.,1,therefore
I called Anna twice today but I did not call Anna twice today.,experimental,I called Anna twice today.,I did not call Anna twice today.,1,but
I called Anna twice today when I did not call Anna twice today.,experimental,I called Anna twice today.,I did not call Anna twice today.,1,when
I called Anna twice today although I did not call Anna twice today.,experimental,I called Anna twice today.,I did not call Anna twice today.,1,although
I called Anna twice today or I did not call Anna twice today.,experimental,I called Anna twice today.,I did not call Anna twice today.,0,or
"Maybe I called Anna twice today, maybe I did not call Anna twice today.",experimental,I called Anna twice today.,I did not call Anna twice today.,0,maybe
"Perhaps I called Anna twice today, perhaps I did not call Anna twice today.",experimental,I called Anna twice today.,I did not call Anna twice today.,0,perhaps
I might call Anna twice today and I might not call Anna twice today.,experimental,I called Anna twice today.,I did not call Anna twice today.,0,might
This wedding ceremony was held outdoors and this wedding ceremony was not held outdoors.,experimental,This wedding ceremony was held outdoors.,This wedding ceremony was not held outdoors.,1,and
This wedding ceremony was held outdoors if this wedding ceremony was not held outdoors.,experimental,This wedding ceremony was held outdoors.,This wedding ceremony was not held outdoors.,1,if
This wedding ceremony was held outdoors so this wedding ceremony was not held outdoors.,experimental,This wedding ceremony was held outdoors.,This wedding ceremony was not held outdoors.,1,so
This wedding ceremony was held outdoors therefore this wedding ceremony was not held outdoors.,experimental,This wedding ceremony was held outdoors.,This wedding ceremony was not held outdoors.,1,therefore
This wedding ceremony was held outdoors but this wedding ceremony was not held outdoors.,experimental,This wedding ceremony was held outdoors.,This wedding ceremony was not held outdoors.,1,but
This wedding ceremony was held outdoors when this wedding ceremony was not held outdoors.,experimental,This wedding ceremony was held outdoors.,This wedding ceremony was not held outdoors.,1,when
This wedding ceremony was held outdoors although this wedding ceremony was not held outdoors.,experimental,This wedding ceremony was held outdoors.,This wedding ceremony was not held outdoors.,1,although
This wedding ceremony was held outdoors or this wedding ceremony was not held outdoors.,experimental,This wedding ceremony was held outdoors.,This wedding ceremony was not held outdoors.,0,or
"Maybe this wedding ceremony was held outdoors, maybe this wedding ceremony was not held outdoors.",experimental,This wedding ceremony was held outdoors.,This wedding ceremony was not held outdoors.,0,maybe
"Perhaps this wedding ceremony was held outdoors, perhaps this wedding ceremony was not held outdoors.",experimental,This wedding ceremony was held outdoors.,This wedding ceremony was not held outdoors.,0,perhaps
This wedding ceremony might be held outdoors and this wedding ceremony might not be held outdoors.,experimental,This wedding ceremony was held outdoors.,This wedding ceremony was not held outdoors.,0,might
The soccer game was very exciting and the soccer game was not very exciting.,experimental,The soccer game was very exciting.,The soccer game was not very exciting.,1,and
The soccer game was very exciting if the soccer game was not very exciting.,experimental,The soccer game was very exciting.,The soccer game was not very exciting.,1,if
The soccer game was very exciting so the soccer game was not very exciting.,experimental,The soccer game was very exciting.,The soccer game was not very exciting.,1,so
The soccer game was very exciting therefore the soccer game was not very exciting.,experimental,The soccer game was very exciting.,The soccer game was not very exciting.,1,therefore
The soccer game was very exciting but the soccer game was not very exciting.,experimental,The soccer game was very exciting.,The soccer game was not very exciting.,1,but
The soccer game was very exciting when the soccer game was not very exciting.,experimental,The soccer game was very exciting.,The soccer game was not very exciting.,1,when
The soccer game was very exciting although the soccer game was not very exciting.,experimental,The soccer game was very exciting.,The soccer game was not very exciting.,1,although
The soccer game was very exciting or the soccer game was not very exciting.,experimental,The soccer game was very exciting.,The soccer game was not very exciting.,0,or
"Maybe the soccer game was very exciting, maybe the soccer game was not very exciting.",experimental,The soccer game was very exciting.,The soccer game was not very exciting.,0,maybe
"Perhaps the soccer game was very exciting, perhaps the soccer game was not very exciting.",experimental,The soccer game was very exciting.,The soccer game was not very exciting.,0,perhaps
The soccer game might be very exciting and the soccer game might not be very exciting.,experimental,The soccer game was very exciting.,The soccer game was not very exciting.,0,might
The trash is overflowing in my apartment and the trash is not overflowing in my apartment.,experimental,The trash is overflowing in my apartment.,The trash is not overflowing in my apartment.,1,and
The trash is overflowing in my apartment if the trash is not overflowing in my apartment.,experimental,The trash is overflowing in my apartment.,The trash is not overflowing in my apartment.,1,if
The trash is overflowing in my apartment so the trash is not overflowing in my apartment.,experimental,The trash is overflowing in my apartment.,The trash is not overflowing in my apartment.,1,so
The trash is overflowing in my apartment therefore the trash is not overflowing in my apartment.,experimental,The trash is overflowing in my apartment.,The trash is not overflowing in my apartment.,1,therefore
The trash is overflowing in my apartment but the trash is not overflowing in my apartment.,experimental,The trash is overflowing in my apartment.,The trash is not overflowing in my apartment.,1,but
The trash is overflowing in my apartment when the trash is not overflowing in my apartment.,experimental,The trash is overflowing in my apartment.,The trash is not overflowing in my apartment.,1,when
The trash is overflowing in my apartment although the trash is not overflowing in my apartment.,experimental,The trash is overflowing in my apartment.,The trash is not overflowing in my apartment.,1,although
The trash is overflowing in my apartment or the trash is not overflowing in my apartment.,experimental,The trash is overflowing in my apartment.,The trash is not overflowing in my apartment.,0,or
"Maybe the trash is overflowing in my apartment, maybe the trash is not overflowing in my apartment.",experimental,The trash is overflowing in my apartment.,The trash is not overflowing in my apartment.,0,maybe
"Perhaps the trash is overflowing in my apartment, perhaps the trash is not overflowing in my apartment.",experimental,The trash is overflowing in my apartment.,The trash is not overflowing in my apartment.,0,perhaps
The trash might be overflowing in my apartment and the trash might not be overflowing in my apartment.,experimental,The trash is overflowing in my apartment.,The trash is not overflowing in my apartment.,0,might
My dog weighs ten pounds and my dog does not weigh ten pounds.,experimental,My dog weighs ten pounds.,My dog does not weigh ten pounds.,1,and
My dog weighs ten pounds if my dog does not weigh ten pounds.,experimental,My dog weighs ten pounds.,My dog does not weigh ten pounds.,1,if
My dog weighs ten pounds so my dog does not weigh ten pounds.,experimental,My dog weighs ten pounds.,My dog does not weigh ten pounds.,1,so
My dog weighs ten pounds therefore my dog does not weigh ten pounds.,experimental,My dog weighs ten pounds.,My dog does not weigh ten pounds.,1,therefore
My dog weighs ten pounds but my dog does not weigh ten pounds.,experimental,My dog weighs ten pounds.,My dog does not weigh ten pounds.,1,but
My dog weighs ten pounds when my dog does not weigh ten pounds.,experimental,My dog weighs ten pounds.,My dog does not weigh ten pounds.,1,when
My dog weighs ten pounds although my dog does not weigh ten pounds.,experimental,My dog weighs ten pounds.,My dog does not weigh ten pounds.,1,although
My dog weighs ten pounds or my dog does not weigh ten pounds.,experimental,My dog weighs ten pounds.,My dog does not weigh ten pounds.,0,or
"Maybe my dog weighs ten pounds, maybe my dog does not weigh ten pounds.",experimental,My dog weighs ten pounds.,My dog does not weigh ten pounds.,0,maybe
"Perhaps my dog weighs ten pounds, perhaps my dog does not weigh ten pounds.",experimental,My dog weighs ten pounds.,My dog does not weigh ten pounds.,0,perhaps
My dog might weigh ten pounds and my dog might not weigh ten pounds.,experimental,My dog weighs ten pounds.,My dog does not weigh ten pounds.,0,might
The tree in my backyard has green leaves and the tree in my backyard does not have green leaves.,experimental,The tree in my backyard has green leaves.,The tree in my backyard does not have green leaves.,1,and
The tree in my backyard has green leaves if the tree in my backyard does not have green leaves.,experimental,The tree in my backyard has green leaves.,The tree in my backyard does not have green leaves.,1,if
The tree in my backyard has green leaves so the tree in my backyard does not have green leaves.,experimental,The tree in my backyard has green leaves.,The tree in my backyard does not have green leaves.,1,so
The tree in my backyard has green leaves therefore the tree in my backyard does not have green leaves.,experimental,The tree in my backyard has green leaves.,The tree in my backyard does not have green leaves.,1,therefore
The tree in my backyard has green leaves but the tree in my backyard does not have green leaves.,experimental,The tree in my backyard has green leaves.,The tree in my backyard does not have green leaves.,1,but
The tree in my backyard has green leaves when the tree in my backyard does not have green leaves.,experimental,The tree in my backyard has green leaves.,The tree in my backyard does not have green leaves.,1,when
The tree in my backyard has green leaves although the tree in my backyard does not have green leaves.,experimental,The tree in my backyard has green leaves.,The tree in my backyard does not have green leaves.,1,although
The tree in my backyard has green leaves or the tree in my backyard does not have green leaves.,experimental,The tree in my backyard has green leaves.,The tree in my backyard does not have green leaves.,0,or
"Maybe the tree in my backyard has green leaves, maybe the tree in my backyard does not have green leaves.",experimental,The tree in my backyard has green leaves.,The tree in my backyard does not have green leaves.,0,maybe
"Perhaps the tree in my backyard has green leaves, perhaps the tree in my backyard does not have green leaves.",experimental,The tree in my backyard has green leaves.,The tree in my backyard does not have green leaves.,0,perhaps
The tree in my backyard might have green leaves and the tree in my backyard might not have green leaves.,experimental,The tree in my backyard has green leaves.,The tree in my backyard does not have green leaves.,0,might
My sister told me to walk the dog and my sister did not tell me to walk the dog.,experimental,My sister told me to walk the dog.,My sister did not tell me to walk the dog.,1,and
My sister told me to walk the dog if my sister did not tell me to walk the dog.,experimental,My sister told me to walk the dog.,My sister did not tell me to walk the dog.,1,if
My sister told me to walk the dog so my sister did not tell me to walk the dog.,experimental,My sister told me to walk the dog.,My sister did not tell me to walk the dog.,1,so
My sister told me to walk the dog therefore my sister did not tell me to walk the dog.,experimental,My sister told me to walk the dog.,My sister did not tell me to walk the dog.,1,therefore
My sister told me to walk the dog but my sister did not tell me to walk the dog.,experimental,My sister told me to walk the dog.,My sister did not tell me to walk the dog.,1,but
My sister told me to walk the dog when my sister did not tell me to walk the dog.,experimental,My sister told me to walk the dog.,My sister did not tell me to walk the dog.,1,when
My sister told me to walk the dog although my sister did not tell me to walk the dog.,experimental,My sister told me to walk the dog.,My sister did not tell me to walk the dog.,1,although
My sister told me to walk the dog or my sister did not tell me to walk the dog.,experimental,My sister told me to walk the dog.,My sister did not tell me to walk the dog.,0,or
"Maybe my sister told me to walk the dog, maybe my sister did not tell me to walk the dog.",experimental,My sister told me to walk the dog.,My sister did not tell me to walk the dog.,0,maybe
"Perhaps my sister told me to walk the dog, perhaps my sister did not tell me to walk the dog.",experimental,My sister told me to walk the dog.,My sister did not tell me to walk the dog.,0,perhaps
My sister might tell me to walk the dog and my sister might not tell me to walk the dog.,experimental,My sister told me to walk the dog.,My sister did not tell me to walk the dog.,0,might
The books on the shelf are all hard cover and the books on the shelf are not all hard cover.,experimental,The books on the shelf are all hard cover.,The books on the shelf are not all hard cover.,1,and
The books on the shelf are all hard cover if the books on the shelf are not all hard cover.,experimental,The books on the shelf are all hard cover.,The books on the shelf are not all hard cover.,1,if
