Iteration,Type,Sentence,Category,Correct Response
2,simple_pos_dis,"In the list of emoji sets: {'🐖'}, {'🦨', '🦍'}, {'🦨'}, {'🦍'}, {'🐖', '🦨'}, {'🐖', '🦍'}, which sets have a skunk or gorilla?",experimental,"([{'🦨', '🦍'}, {'🦨'}, {'🦍'}, {'🐖', '🦨'}, {'🐖', '🦍'}], [{'🦨'}, {'🦍'}, {'🐖', '🦨'}, {'🐖', '🦍'}])"
2,comp_pos_dis,"In the list of emoji sets: {'🐖'}, {'🦨', '🦍'}, {'🦨'}, {'🦍'}, {'🐖', '🦨'}, {'🐖', '🦍'}, which sets have either a pig or gorilla?",experimental,"([{'🐖'}, {'🦨', '🦍'}, {'🦍'}, {'🐖', '🦨'}], [{'🐖'}, {'🦨', '🦍'}, {'🦍'}, {'🐖', '🦨'}, {'🐖', '🦍'}])"
2,simple_neg_dis,"In the list of emoji sets: {'🐖'}, {'🦨', '🦍'}, {'🦨'}, {'🦍'}, {'🐖', '🦨'}, {'🐖', '🦍'}, which sets do not have a skunk or pig?",experimental,"([{'🦍'}], [{'🐖'}, {'🦨', '🦍'}, {'🦨'}, {'🦍'}, {'🐖', '🦍'}])"
2,comp_neg_dis,"In the list of emoji sets: {'🐖'}, {'🦨', '🦍'}, {'🦨'}, {'🦍'}, {'🐖', '🦨'}, {'🐖', '🦍'}, which sets do not have either a gorilla or skunk?",experimental,"([{'🐖'}, {'🦨', '🦍'}], [{'🐖'}])"
2,simple_neg_conj,"In the list of emoji sets: {'🐖'}, {'🦨', '🦍'}, {'🦨'}, {'🦍'}, {'🐖', '🦨'}, {'🐖', '🦍'}, which sets do not have a gorilla and skunk?",experimental,"([{'🐖'}, {'🦨'}, {'🦍'}, {'🐖', '🦨'}, {'🐖', '🦍'}], [{'🐖'}])"
2,inc_dis,"In the list of emoji sets: {'🐖'}, {'🦨', '🦍'}, {'🦨'}, {'🦍'}, {'🐖', '🦨'}, {'🐖', '🦍'}, which sets have a skunk or pig or both?",control,"[{'🐖'}, {'🦨', '🦍'}, {'🦨'}, {'🐖', '🦨'}, {'🐖', '🦍'}]"
2,ex_dis,"In the list of emoji sets: {'🐖'}, {'🦨', '🦍'}, {'🦨'}, {'🦍'}, {'🐖', '🦨'}, {'🐖', '🦍'}, which sets have a gorilla or pig, but not both?",control,"[{'🐖'}, {'🦨', '🦍'}, {'🦍'}, {'🐖', '🦨'}]"
2,comp_neg,"In the list of emoji sets: {'🐖'}, {'🦨', '🦍'}, {'🦨'}, {'🦍'}, {'🐖', '🦨'}, {'🐖', '🦍'}, which sets have neither a skunk nor gorilla?",control,[{'🐖'}]
2,simple_pos_conj,"In the list of emoji sets: {'🐖'}, {'🦨', '🦍'}, {'🦨'}, {'🦍'}, {'🐖', '🦨'}, {'🐖', '🦍'}, which sets have a gorilla and pig?",control,"[{'🐖', '🦍'}]"
2,comp_neg_conj,"In the list of emoji sets: {'🐖'}, {'🦨', '🦍'}, {'🦨'}, {'🦍'}, {'🐖', '🦨'}, {'🐖', '🦍'}, which sets do not have both a pig and gorilla?",control,"([{'🐖'}, {'🦨', '🦍'}, {'🦨'}, {'🦍'}, {'🐖', '🦨'}], [{'🦨'}])"
3,simple_pos,"In the list of emoji sets: {'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🐇', '🦨'}, {'🐒'}, {'🦨', '🐒'}, which sets have a rabbit?",experimental,"[{'🐇', '🐒'}, {'🐇'}, {'🐇', '🦨'}]"
3,simple_neg,"In the list of emoji sets: {'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🐇', '🦨'}, {'🐒'}, {'🦨', '🐒'}, which sets do not have a skunk?",experimental,"[{'🐇', '🐒'}, {'🐇'}, {'🐒'}]"
3,simple_pos_dis,"In the list of emoji sets: {'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🐇', '🦨'}, {'🐒'}, {'🦨', '🐒'}, which sets have a monkey or skunk?",experimental,"([{'🐇', '🐒'}, {'🦨'}, {'🐇', '🦨'}, {'🐒'}, {'🦨', '🐒'}], [{'🐇', '🐒'}, {'🦨'}, {'🐇', '🦨'}, {'🐒'}])"
3,comp_pos_dis,"In the list of emoji sets: {'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🐇', '🦨'}, {'🐒'}, {'🦨', '🐒'}, which sets have either a rabbit or monkey?",experimental,"([{'🐇'}, {'🐇', '🦨'}, {'🐒'}, {'🦨', '🐒'}], [{'🐇', '🐒'}, {'🐇'}, {'🐇', '🦨'}, {'🐒'}, {'🦨', '🐒'}])"
3,simple_neg_dis,"In the list of emoji sets: {'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🐇', '🦨'}, {'🐒'}, {'🦨', '🐒'}, which sets do not have a rabbit or skunk?",experimental,"([{'🐒'}], [{'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🐒'}, {'🦨', '🐒'}])"
3,comp_neg_dis,"In the list of emoji sets: {'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🐇', '🦨'}, {'🐒'}, {'🦨', '🐒'}, which sets do not have either a skunk or rabbit?",experimental,"([{'🐇', '🦨'}, {'🐒'}], [{'🐒'}])"
3,simple_neg_conj,"In the list of emoji sets: {'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🐇', '🦨'}, {'🐒'}, {'🦨', '🐒'}, which sets do not have a skunk and monkey?",experimental,"([{'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🐇', '🦨'}, {'🐒'}], [{'🐇'}])"
3,inc_dis,"In the list of emoji sets: {'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🐇', '🦨'}, {'🐒'}, {'🦨', '🐒'}, which sets have a monkey or skunk or both?",control,"[{'🐇', '🐒'}, {'🦨'}, {'🐇', '🦨'}, {'🐒'}, {'🦨', '🐒'}]"
3,ex_dis,"In the list of emoji sets: {'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🐇', '🦨'}, {'🐒'}, {'🦨', '🐒'}, which sets have a skunk or rabbit, but not both?",control,"[{'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🦨', '🐒'}]"
3,comp_neg,"In the list of emoji sets: {'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🐇', '🦨'}, {'🐒'}, {'🦨', '🐒'}, which sets have neither a rabbit nor monkey?",control,[{'🦨'}]
3,simple_pos_conj,"In the list of emoji sets: {'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🐇', '🦨'}, {'🐒'}, {'🦨', '🐒'}, which sets have a rabbit and skunk?",control,"[{'🐇', '🦨'}]"
3,comp_neg_conj,"In the list of emoji sets: {'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🐇', '🦨'}, {'🐒'}, {'🦨', '🐒'}, which sets do not have both a rabbit and skunk?",control,"([{'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🐒'}, {'🦨', '🐒'}], [{'🐒'}])"
4,simple_pos,"In the list of emoji sets: {'🐈', '🦍'}, {'🐈', '🐎'}, {'🐈'}, {'🦍', '🐎'}, {'🦍'}, {'🐎'}, which sets have a cat?",experimental,"[{'🐈', '🦍'}, {'🐈', '🐎'}, {'🐈'}]"
4,simple_neg,"In the list of emoji sets: {'🐈', '🦍'}, {'🐈', '🐎'}, {'🐈'}, {'🦍', '🐎'}, {'🦍'}, {'🐎'}, which sets do not have a gorilla?",experimental,"[{'🐈', '🐎'}, {'🐈'}, {'🐎'}]"
4,simple_pos_dis,"In the list of emoji sets: {'🐈', '🦍'}, {'🐈', '🐎'}, {'🐈'}, {'🦍', '🐎'}, {'🦍'}, {'🐎'}, which sets have a horse or cat?",experimental,"([{'🐈', '🦍'}, {'🐈', '🐎'}, {'🐈'}, {'🦍', '🐎'}, {'🐎'}], [{'🐈', '🦍'}, {'🐈'}, {'🦍', '🐎'}, {'🐎'}])"
4,comp_pos_dis,"In the list of emoji sets: {'🐈', '🦍'}, {'🐈', '🐎'}, {'🐈'}, {'🦍', '🐎'}, {'🦍'}, {'🐎'}, which sets have either a cat or gorilla?",experimental,"([{'🐈', '🐎'}, {'🐈'}, {'🦍', '🐎'}, {'🦍'}], [{'🐈', '🦍'}, {'🐈', '🐎'}, {'🐈'}, {'🦍', '🐎'}, {'🦍'}])"
4,simple_neg_dis,"In the list of emoji sets: {'🐈', '🦍'}, {'🐈', '🐎'}, {'🐈'}, {'🦍', '🐎'}, {'🦍'}, {'🐎'}, which sets do not have a gorilla or horse?",experimental,"([{'🐈'}], [{'🐈', '🦍'}, {'🐈', '🐎'}, {'🐈'}, {'🦍'}, {'🐎'}])"
4,comp_neg_dis,"In the list of emoji sets: {'🐈', '🦍'}, {'🐈', '🐎'}, {'🐈'}, {'🦍', '🐎'}, {'🦍'}, {'🐎'}, which sets do not have either a cat or gorilla?",experimental,"([{'🐈', '🦍'}, {'🐎'}], [{'🐎'}])"
4,simple_neg_conj,"In the list of emoji sets: {'🐈', '🦍'}, {'🐈', '🐎'}, {'🐈'}, {'🦍', '🐎'}, {'🦍'}, {'🐎'}, which sets do not have a gorilla and cat?",experimental,"([{'🐈', '🐎'}, {'🐈'}, {'🦍', '🐎'}, {'🦍'}, {'🐎'}], [{'🐎'}])"
4,inc_dis,"In the list of emoji sets: {'🐈', '🦍'}, {'🐈', '🐎'}, {'🐈'}, {'🦍', '🐎'}, {'🦍'}, {'🐎'}, which sets have a horse or cat or both?",control,"[{'🐈', '🦍'}, {'🐈', '🐎'}, {'🐈'}, {'🦍', '🐎'}, {'🐎'}]"
4,ex_dis,"In the list of emoji sets: {'🐈', '🦍'}, {'🐈', '🐎'}, {'🐈'}, {'🦍', '🐎'}, {'🦍'}, {'🐎'}, which sets have a cat or gorilla, but not both?",control,"[{'🐈', '🐎'}, {'🐈'}, {'🦍', '🐎'}, {'🦍'}]"
4,comp_neg,"In the list of emoji sets: {'🐈', '🦍'}, {'🐈', '🐎'}, {'🐈'}, {'🦍', '🐎'}, {'🦍'}, {'🐎'}, which sets have neither a gorilla nor horse?",control,[{'🐈'}]
4,simple_pos_conj,"In the list of emoji sets: {'🐈', '🦍'}, {'🐈', '🐎'}, {'🐈'}, {'🦍', '🐎'}, {'🦍'}, {'🐎'}, which sets have a gorilla and cat?",control,"[{'🐈', '🦍'}]"
4,comp_neg_conj,"In the list of emoji sets: {'🐈', '🦍'}, {'🐈', '🐎'}, {'🐈'}, {'🦍', '🐎'}, {'🦍'}, {'🐎'}, which sets do not have both a gorilla and cat?",control,"([{'🐈', '🐎'}, {'🐈'}, {'🦍', '🐎'}, {'🦍'}, {'🐎'}], [{'🐎'}])"
5,simple_pos,"In the list of emoji sets: {'🐖', '🐒'}, {'🐖'}, {'🐖', '🐕'}, {'🐕'}, {'🐕', '🐒'}, {'🐒'}, which sets have a dog?",experimental,"[{'🐖', '🐕'}, {'🐕'}, {'🐕', '🐒'}]"
5,simple_neg,"In the list of emoji sets: {'🐖', '🐒'}, {'🐖'}, {'🐖', '🐕'}, {'🐕'}, {'🐕', '🐒'}, {'🐒'}, which sets do not have a dog?",experimental,"[{'🐖', '🐒'}, {'🐖'}, {'🐒'}]"
5,simple_pos_dis,"In the list of emoji sets: {'🐖', '🐒'}, {'🐖'}, {'🐖', '🐕'}, {'🐕'}, {'🐕', '🐒'}, {'🐒'}, which sets have a monkey or pig?",experimental,"([{'🐖', '🐒'}, {'🐖'}, {'🐖', '🐕'}, {'🐕', '🐒'}, {'🐒'}], [{'🐖'}, {'🐖', '🐕'}, {'🐕', '🐒'}, {'🐒'}])"
5,comp_pos_dis,"In the list of emoji sets: {'🐖', '🐒'}, {'🐖'}, {'🐖', '🐕'}, {'🐕'}, {'🐕', '🐒'}, {'🐒'}, which sets have either a monkey or pig?",experimental,"([{'🐖'}, {'🐖', '🐕'}, {'🐕', '🐒'}, {'🐒'}], [{'🐖', '🐒'}, {'🐖'}, {'🐖', '🐕'}, {'🐕', '🐒'}, {'🐒'}])"
5,simple_neg_dis,"In the list of emoji sets: {'🐖', '🐒'}, {'🐖'}, {'🐖', '🐕'}, {'🐕'}, {'🐕', '🐒'}, {'🐒'}, which sets do not have a monkey or dog?",experimental,"([{'🐖'}], [{'🐖', '🐒'}, {'🐖'}, {'🐖', '🐕'}, {'🐕'}, {'🐒'}])"
5,comp_neg_dis,"In the list of emoji sets: {'🐖', '🐒'}, {'🐖'}, {'🐖', '🐕'}, {'🐕'}, {'🐕', '🐒'}, {'🐒'}, which sets do not have either a dog or monkey?",experimental,"([{'🐖'}, {'🐕', '🐒'}], [{'🐖'}])"
5,simple_neg_conj,"In the list of emoji sets: {'🐖', '🐒'}, {'🐖'}, {'🐖', '🐕'}, {'🐕'}, {'🐕', '🐒'}, {'🐒'}, which sets do not have a dog and pig?",experimental,"([{'🐖', '🐒'}, {'🐖'}, {'🐕'}, {'🐕', '🐒'}, {'🐒'}], [{'🐒'}])"
5,inc_dis,"In the list of emoji sets: {'🐖', '🐒'}, {'🐖'}, {'🐖', '🐕'}, {'🐕'}, {'🐕', '🐒'}, {'🐒'}, which sets have a pig or dog or both?",control,"[{'🐖', '🐒'}, {'🐖'}, {'🐖', '🐕'}, {'🐕'}, {'🐕', '🐒'}]"
5,ex_dis,"In the list of emoji sets: {'🐖', '🐒'}, {'🐖'}, {'🐖', '🐕'}, {'🐕'}, {'🐕', '🐒'}, {'🐒'}, which sets have a monkey or dog, but not both?",control,"[{'🐖', '🐒'}, {'🐖', '🐕'}, {'🐕'}, {'🐒'}]"
5,comp_neg,"In the list of emoji sets: {'🐖', '🐒'}, {'🐖'}, {'🐖', '🐕'}, {'🐕'}, {'🐕', '🐒'}, {'🐒'}, which sets have neither a monkey nor pig?",control,[{'🐕'}]
5,simple_pos_conj,"In the list of emoji sets: {'🐖', '🐒'}, {'🐖'}, {'🐖', '🐕'}, {'🐕'}, {'🐕', '🐒'}, {'🐒'}, which sets have a monkey and pig?",control,"[{'🐖', '🐒'}]"
5,comp_neg_conj,"In the list of emoji sets: {'🐖', '🐒'}, {'🐖'}, {'🐖', '🐕'}, {'🐕'}, {'🐕', '🐒'}, {'🐒'}, which sets do not have both a monkey and dog?",control,"([{'🐖', '🐒'}, {'🐖'}, {'🐖', '🐕'}, {'🐕'}, {'🐒'}], [{'🐖'}])"
6,simple_pos,"In the list of emoji sets: {'🐖'}, {'🐇'}, {'🦨'}, {'🐇', '🐖'}, {'🐇', '🦨'}, {'🐖', '🦨'}, which sets have a rabbit?",experimental,"[{'🐇'}, {'🐇', '🐖'}, {'🐇', '🦨'}]"
6,simple_neg,"In the list of emoji sets: {'🐖'}, {'🐇'}, {'🦨'}, {'🐇', '🐖'}, {'🐇', '🦨'}, {'🐖', '🦨'}, which sets do not have a skunk?",experimental,"[{'🐖'}, {'🐇'}, {'🐇', '🐖'}]"
6,simple_pos_dis,"In the list of emoji sets: {'🐖'}, {'🐇'}, {'🦨'}, {'🐇', '🐖'}, {'🐇', '🦨'}, {'🐖', '🦨'}, which sets have a rabbit or skunk?",experimental,"([{'🐇'}, {'🦨'}, {'🐇', '🐖'}, {'🐇', '🦨'}, {'🐖', '🦨'}], [{'🐇'}, {'🦨'}, {'🐇', '🐖'}, {'🐖', '🦨'}])"
6,comp_pos_dis,"In the list of emoji sets: {'🐖'}, {'🐇'}, {'🦨'}, {'🐇', '🐖'}, {'🐇', '🦨'}, {'🐖', '🦨'}, which sets have either a skunk or pig?",experimental,"([{'🐖'}, {'🦨'}, {'🐇', '🐖'}, {'🐇', '🦨'}], [{'🐖'}, {'🦨'}, {'🐇', '🐖'}, {'🐇', '🦨'}, {'🐖', '🦨'}])"
6,simple_neg_dis,"In the list of emoji sets: {'🐖'}, {'🐇'}, {'🦨'}, {'🐇', '🐖'}, {'🐇', '🦨'}, {'🐖', '🦨'}, which sets do not have a skunk or pig?",experimental,"([{'🐇'}], [{'🐖'}, {'🐇'}, {'🦨'}, {'🐇', '🐖'}, {'🐇', '🦨'}])"
6,comp_neg_dis,"In the list of emoji sets: {'🐖'}, {'🐇'}, {'🦨'}, {'🐇', '🐖'}, {'🐇', '🦨'}, {'🐖', '🦨'}, which sets do not have either a skunk or pig?",experimental,"([{'🐇'}, {'🐖', '🦨'}], [{'🐇'}])"
6,simple_neg_conj,"In the list of emoji sets: {'🐖'}, {'🐇'}, {'🦨'}, {'🐇', '🐖'}, {'🐇', '🦨'}, {'🐖', '🦨'}, which sets do not have a skunk and rabbit?",experimental,"([{'🐖'}, {'🐇'}, {'🦨'}, {'🐇', '🐖'}, {'🐖', '🦨'}], [{'🐖'}])"
6,inc_dis,"In the list of emoji sets: {'🐖'}, {'🐇'}, {'🦨'}, {'🐇', '🐖'}, {'🐇', '🦨'}, {'🐖', '🦨'}, which sets have a rabbit or pig or both?",control,"[{'🐖'}, {'🐇'}, {'🐇', '🐖'}, {'🐇', '🦨'}, {'🐖', '🦨'}]"
6,ex_dis,"In the list of emoji sets: {'🐖'}, {'🐇'}, {'🦨'}, {'🐇', '🐖'}, {'🐇', '🦨'}, {'🐖', '🦨'}, which sets have a pig or skunk, but not both?",control,"[{'🐖'}, {'🦨'}, {'🐇', '🐖'}, {'🐇', '🦨'}]"
6,comp_neg,"In the list of emoji sets: {'🐖'}, {'🐇'}, {'🦨'}, {'🐇', '🐖'}, {'🐇', '🦨'}, {'🐖', '🦨'}, which sets have neither a rabbit nor pig?",control,[{'🦨'}]
6,simple_pos_conj,"In the list of emoji sets: {'🐖'}, {'🐇'}, {'🦨'}, {'🐇', '🐖'}, {'🐇', '🦨'}, {'🐖', '🦨'}, which sets have a rabbit and pig?",control,"[{'🐇', '🐖'}]"
6,comp_neg_conj,"In the list of emoji sets: {'🐖'}, {'🐇'}, {'🦨'}, {'🐇', '🐖'}, {'🐇', '🦨'}, {'🐖', '🦨'}, which sets do not have both a pig and skunk?",control,"([{'🐖'}, {'🐇'}, {'🦨'}, {'🐇', '🐖'}, {'🐇', '🦨'}], [{'🐇'}])"
7,simple_pos,"In the list of emoji sets: {'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🐇', '🦨'}, {'🐒'}, {'🦨', '🐒'}, which sets have a rabbit?",experimental,"[{'🐇', '🐒'}, {'🐇'}, {'🐇', '🦨'}]"
7,simple_neg,"In the list of emoji sets: {'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🐇', '🦨'}, {'🐒'}, {'🦨', '🐒'}, which sets do not have a monkey?",experimental,"[{'🐇'}, {'🦨'}, {'🐇', '🦨'}]"
7,simple_pos_dis,"In the list of emoji sets: {'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🐇', '🦨'}, {'🐒'}, {'🦨', '🐒'}, which sets have a skunk or rabbit?",experimental,"([{'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🐇', '🦨'}, {'🦨', '🐒'}], [{'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🦨', '🐒'}])"
7,comp_pos_dis,"In the list of emoji sets: {'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🐇', '🦨'}, {'🐒'}, {'🦨', '🐒'}, which sets have either a skunk or monkey?",experimental,"([{'🐇', '🐒'}, {'🦨'}, {'🐇', '🦨'}, {'🐒'}], [{'🐇', '🐒'}, {'🦨'}, {'🐇', '🦨'}, {'🐒'}, {'🦨', '🐒'}])"
7,simple_neg_dis,"In the list of emoji sets: {'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🐇', '🦨'}, {'🐒'}, {'🦨', '🐒'}, which sets do not have a skunk or rabbit?",experimental,"([{'🐒'}], [{'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🐒'}, {'🦨', '🐒'}])"
7,comp_neg_dis,"In the list of emoji sets: {'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🐇', '🦨'}, {'🐒'}, {'🦨', '🐒'}, which sets do not have either a monkey or rabbit?",experimental,"([{'🐇', '🐒'}, {'🦨'}], [{'🦨'}])"
7,simple_neg_conj,"In the list of emoji sets: {'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🐇', '🦨'}, {'🐒'}, {'🦨', '🐒'}, which sets do not have a skunk and rabbit?",experimental,"([{'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🐒'}, {'🦨', '🐒'}], [{'🐒'}])"
7,inc_dis,"In the list of emoji sets: {'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🐇', '🦨'}, {'🐒'}, {'🦨', '🐒'}, which sets have a skunk or rabbit or both?",control,"[{'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🐇', '🦨'}, {'🦨', '🐒'}]"
7,ex_dis,"In the list of emoji sets: {'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🐇', '🦨'}, {'🐒'}, {'🦨', '🐒'}, which sets have a rabbit or skunk, but not both?",control,"[{'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🦨', '🐒'}]"
7,comp_neg,"In the list of emoji sets: {'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🐇', '🦨'}, {'🐒'}, {'🦨', '🐒'}, which sets have neither a skunk nor monkey?",control,[{'🐇'}]
7,simple_pos_conj,"In the list of emoji sets: {'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🐇', '🦨'}, {'🐒'}, {'🦨', '🐒'}, which sets have a monkey and skunk?",control,"[{'🦨', '🐒'}]"
7,comp_neg_conj,"In the list of emoji sets: {'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🐇', '🦨'}, {'🐒'}, {'🦨', '🐒'}, which sets do not have both a rabbit and skunk?",control,"([{'🐇', '🐒'}, {'🐇'}, {'🦨'}, {'🐒'}, {'🦨', '🐒'}], [{'🐒'}])"
8,simple_pos,"In the list of emoji sets: {'🦝'}, {'🐇', '🐎'}, {'🐇'}, {'🦝', '🐎'}, {'🦝', '🐇'}, {'🐎'}, which sets have a racoon?",experimental,"[{'🦝'}, {'🦝', '🐎'}, {'🦝', '🐇'}]"
8,simple_neg,"In the list of emoji sets: {'🦝'}, {'🐇', '🐎'}, {'🐇'}, {'🦝', '🐎'}, {'🦝', '🐇'}, {'🐎'}, which sets do not have a horse?",experimental,"[{'🦝'}, {'🐇'}, {'🦝', '🐇'}]"
8,simple_pos_dis,"In the list of emoji sets: {'🦝'}, {'🐇', '🐎'}, {'🐇'}, {'🦝', '🐎'}, {'🦝', '🐇'}, {'🐎'}, which sets have a racoon or horse?",experimental,"([{'🦝'}, {'🐇', '🐎'}, {'🦝', '🐎'}, {'🦝', '🐇'}, {'🐎'}], [{'🦝'}, {'🐇', '🐎'}, {'🦝', '🐇'}, {'🐎'}])"
8,comp_pos_dis,"In the list of emoji sets: {'🦝'}, {'🐇', '🐎'}, {'🐇'}, {'🦝', '🐎'}, {'🦝', '🐇'}, {'🐎'}, which sets have either a rabbit or racoon?",experimental,"([{'🦝'}, {'🐇', '🐎'}, {'🐇'}, {'🦝', '🐎'}], [{'🦝'}, {'🐇', '🐎'}, {'🐇'}, {'🦝', '🐎'}, {'🦝', '🐇'}])"
8,simple_neg_dis,"In the list of emoji sets: {'🦝'}, {'🐇', '🐎'}, {'🐇'}, {'🦝', '🐎'}, {'🦝', '🐇'}, {'🐎'}, which sets do not have a horse or racoon?",experimental,"([{'🐇'}], [{'🦝'}, {'🐇', '🐎'}, {'🐇'}, {'🦝', '🐇'}, {'🐎'}])"
