Testing,Instructions,Condition,Study,Type,Proposition,NAND,NOR,Positive AND
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,original,Without,"Peter told me he needed to travel light. To judge by the small size of his bag, he was travelling without his computer or his movie camera. ",I wonder which of the two he decided to give up.,I am sure he was a lot happier without electronic devices.,So his bag had both his computer and movie camera in it when I looked.
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,original,Without,Kate used to live without coffee or chocolate.,I don't remember which.,Now she cannot imagine her life without them.,So she used to buy a lot of lattes and chocolate chip cookies.
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,original,Other DE,Few people took the appetizer or the dessert.,I don’t remember which.,The main dish was already expensive.,So both were gone by the end of the night.
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,original,Other DE,"Apparently, few people are able to recite back a sequence of twelve letters or twelve numbers.",I don’t remember which.,The limit is usually ten.,So most people are able to recite twelve numbers in a row.
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,original,Other DE,John doubts that Sue played football or tennis.,He thinks she focused on one of the two.,He thinks she never did any ball sports.,So he thinks she did both.
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,original,Other DE,Mary doubts that Paul read The Brothers Karamazov or Anna Karenina.,She thinks he had time for only one of them.,She thinks he never reads Russian literature.,So she knows he's read all the classics of Russian literature.
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,original,Other DE,"When he was little, John would rarely sleep with his mother or his father.",I don’t remember which.,He always preferred to sleep alone.,So he liked to sleep with one parent on each side of him.
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,original,Other DE,John rarely visits his sister or his mother.,I don’t remember which.,He says that they make him uncomfortable.,So he spends as much time as possible with both.
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,original,Good Filler,"Some of the students speak English well, but not all of them.",,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,original,Good Filler,"Two of the suspects were caught yesterday, but no names have been released yet.",,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,original,Good Filler,They shut down some museums after the attacks. But I don’t know which ones.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,original,Good Filler,John saw two performances by this artist. He thinks he is the best opera singer he ever listened to.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,original,Good Filler,Some countries have very strict politics against immigration. This situation is not going to change anytime soon.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,original,Good Filler,Mary didn’t like the restaurant we went to last night. She thought it was too expensive.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,original,Good Filler,"Paul can’t stand his colleagues, but I don’t know why.",,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,original,Good Filler,The lunch break at school is very short. The kids rarely finish their lunch.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,original,Good Filler,"The train didn’t get here on time, but nobody told us why.",,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,original,Good Filler,Mary was very happy this morning. She gave a good talk at the conference on Monday.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,original,Good Filler,"Two theses from our department participated in the Best Doctoral Dissertation Award Competition, but neither of them won.",,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,original,Good Filler,Julie tried to seduce Jim at the party. And Mary did the same thing with Paul.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,original,Good Filler,"Mary ordered oysters at the official dinner last night, but John could never have done that; he hates oysters.",,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,original,Good Filler,"Right now, I know the content of the talk I just gave very well, but in a year I will be incapable of remembering anything at all.",,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,original,Good Filler,I wonder how Jane manages to look so young at 62. I guess she must have a healthy diet.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,original,Good Filler,"I wonder why John didn’t stay until the end of the meeting yesterday. As far as I know, he had to leave early because he had to pick up his kid from the airport.",,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,original,Good Filler,"What is your impression after meeting our two new PhD students, Lina and Leo, today? Lina seems very motivated and with a strong background in syntax, but Leo, I cannot really tell.",,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,original,Bad Filler,"Sue recommended two books to read during holidays, but I looked for them in libraries.",,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,original,Bad Filler,"There were some countries targeted for the attack, but I will not remember which.",,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,original,Bad Filler,The earthquake affected some buildings in our area. Luckily no building was affected.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,original,Bad Filler,"Some solutions were discussed during the meeting, but I could remember which one was retained.",,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,original,Bad Filler,I really liked the concert. The cellist should be playing brilliantly.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,original,Bad Filler,"The results of the election are not out yet, but I don't remember who won.",,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,original,Bad Filler,John didn’t go on holidays this year. I can’t remember where.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,original,Bad Filler,Mary didn’t let us know her decision yet. She will have done that already.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,original,Bad Filler,Dan was upset with his grade. I shouldn’t have been the problem.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,original,Bad Filler,"I didn’t know the neighbors before moving here, even if I find it really generous.",,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,original,Bad Filler,I don’t understand what really happened. It seems that the girl pushed Bill again. And so will be John.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,original,Bad Filler,"If I understood correctly, John was scolded by his father yesterday. Today his mother tried to put an end to it.",,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,original,Bad Filler,The customer praised only the dessert. The happy customer praised the appetizer.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,original,Bad Filler,"If I remember correctly, the war started three years ago. A year earlier, the United Nations tried to put an end to it.",,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,original,Bad Filler,"She said that a biography of one of the US presidents will be out this year, but I can’t remember any of it.",,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,original,Bad Filler,Mary prefers Jesse to deliver their speech. And John prefers Michael’s.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,original,Bad Filler,"China doesn’t trust the Korean dictator, but they trust President Trump even more.",,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,created,Negation,"If I remember correctly, John doesn’t drink orange juice or apple juice.",I don’t know which.,He doesn’t drink any type of juice.,So he loves all types of fruit juice.
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,created,Negation,"If I remember correctly, Mary doesn’t play softball or soccer.",I don’t know which.,She doesn’t play any ball sports.,So she plays both for her school team.
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,created,Negation,"If I remember correctly, Annie doesn’t like chocolate or pie.",I don’t know which.,She dislikes all types of dessert.,So she loves all types of dessert.
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,created,Negation,Jamie doesn’t like trees or flowers.,I don’t remember which.,She doesn’t like nature in general.,So she's a huge nature buff.
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,created,Negation,The smoke alarm went off. I bet John didn’t open the window or the door.,I wonder which.,"Look, both the window and the door are still closed.","So, look, he opened them both."
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,created,Negation,Mary failed the Spanish test. She didn’t study the vocabulary words or the grammar.,I don’t know which.,She thought she was prepared enough. ,So she did really well on the grammar questions and the vocabulary words.
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,created,Negation,John didn’t get the job. He didn’t bring his resume or a list of references.,I don’t know which.,He left them both at home.,"So he brought his resume, a list of references, and a thoughful present."
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,created,Negation,Steve did not remember to wear his hat or jacket when it is cold outside. ,I wonder which he forgot to wear. ,He did not think it was cold enough.,So now he is very warm.
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,created,Without,John is annoyed. Mary showed up to his birthday party without a present or a card.,I don’t know which.,She forgot them both at home.,So Mary brought a thoughtful gift and a handwritten card to John's birthday party.
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,created,Without,Mary is sad. She left the restaurant without a sandwich or a cake.,I don’t know which.,They were out of both.,So she spent ten dollars on the sandwich and the cake.
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,created,Without,Trevor went to the store without his wallet or jacket.,I don’t know which.,He had to call his friend to bring them.,So he put on his jacket. 
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,created,Without,The man spend the last hour without eating or drinking.,I don’t know which.,He forgets when he is at work. ,So he is now full.
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,created,Without,Jamie is happy. She left being pulled over without a ticket for speeding or a ticket for a broken tail light.,I don’t know which.,She’s happy she doesn’t have any tickets to pay.,So she received two tickets during the stop.
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,created,Without,Jim said he wants to eat less junk food. I guess that's why he came back from the grocery store without cake or soda.,I forget which.,He's sworn off both.,"So I saw cake, soda, and chocolate in the grocery bags he brought home."
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,created,Without,John made it through all of college without buying coffee or bread.,I forget which.,He said they were both a waste of money.,So John lived on toast and black coffee during college.
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,created,Without,Amy came back from the mall without buying a sweater or perfume,I'm not sure which.,She said she couldn't find anything she liked there.,"So just like she always does, Amy came back from the mall with a new sweater and some expensive perfume."
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,created,Other DE,Few people chose to take Calculus or Statistics.,I don’t know which.,Both of those classes are very unpopular.,So most people take both in school.
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,created,Other DE,Few people are able to recite the national anthem or the pledge of allegiance.,I don’t remember which.,Both are very hard to remember.,So most can recite both.
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,created,Other DE,Mary doubts that John watches movies or television shows.,She thinks he only watches one.,She thinks he prefers to read. ,So she knows he's watched all the action movies that have come out since the 1900s.
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,created,Other DE,John doubts Mary knows Spanish or French.,He thinks she can only speak one.,He thinks she can only speak English.,So he has heard her speaking both.
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,created,Other DE,John rarely goes to the grocery story or the post office.,I don’t remember which.,He doesn’t really leave his house.,So he often stops by the post office on his way to the grocery store.
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,created,Other DE,Barry rarely plays soccer or baseball.,I'm not sure which.,He usually prefers playing tennis.,So he plays both often. 
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,created,Other DE,Steve doubts that Chloe likes cooking or baking.,I don’t remember which.,He knows she likes to eat at restaurants.,So she often spends time doing both. 
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Experimental,created,Other DE,Mary rarely speaks German or French.,I don’t remember which.,She usually only speaks English.,So she often switches between both.
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Good Filler,Mary always brags about her famous cherry pie recipe. She's very proud of it.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Good Filler,My aunt was very happy this morning. She was excited to see her friend after a long time.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Good Filler,"Jim was upset with me yesterday. He thought I ate his cake, but I didn't.",,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Good Filler,John invited Mary to a barbecue restaurant yesterday. She declined because she's vegetarian.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Good Filler,I was late to work today. The traffic this morning was much worse than usual.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Good Filler,Jim is almost always on time. He says he sets three alarm clocks to wake him up in the morning.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Good Filler,I spent all night cramming for my test today. I'll definitely forget all the information I just learned by tomorrow.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Good Filler,Winter is Mary's favorite season. She loves the snow.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Good Filler,Amy hates cilantro. She says it tastes like soap to her.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Good Filler,Jim hasn't been to the movie theater in years. He hates the smell of popcorn.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Good Filler,They haven't had another event at this school after the bomb threats last year.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Good Filler,My grandparents have a hard time understanding me. English is not their first language.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Good Filler,I love going to the gym. I'm there almost every day.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Good Filler,"When we ate at the seafood restaurant, my brother's face puffed up and turned red. That's how we found out he has a seafood allergy.",,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Good Filler,John's son is a very picky eater. The only thing he'll willingly eat is mac and cheese.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Good Filler,Amy has three jobs. I don't know how she does it.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Bad Filler,The property tax raise affected many families in the area. Luckily no families were affected.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Bad Filler,"Mary was upset about failing the test, even if I find it really expensive. ",,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Bad Filler,"One of my teachers hates me, but I will not remember which.",,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Bad Filler,I will always remember to submit my homework on time. There must be a shrimp in my soup.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Good,The mansion was very big.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Good,My mom doesn't like the sound of loud chewing.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Good,The tea in the kettle was very hot.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Good,A group of children played on the playground.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Good,The teacher assigned homework for the week.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Good,Sometimes it snows heavily during the winter.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Good,Running into my classmates at the mall is very common.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Good,I bring my phone with me everywhere I go.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Good,Weddings are a very lovely time.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Good,The soccer game was very exciting.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Good,Yosemite is a great hiking destination.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Good,The trash is overflowing in my apartment.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Good,Driving to work during rush hour is hard.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Good,The trees are very green this time of year.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Good,My sister told me to walk the dog.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Good,The books on the shelf are very old.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Good,The school bus always comes on time.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Good,Friendship is very important to me.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Good,The baseball cap helps keep the sun off my face.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Good,I drove to the store to buy some milk.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Bad,I like orange juice. I hate orange juice.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Bad,It's cold outside. It's not cold outside.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Bad,My name is Jessica. My name is not Jessica.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Bad,Jamie plays softball. Jamie does not play softball.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Bad,She can play the piano. She cannot play the piano.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Bad,It is raining right now. It is not raining right now.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Bad,I like the snow. I don't like the snow.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Bad,Trains travel very fast. Trains don't travel very fast.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Bad,My dad is bald. My dad is not bald.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Bad,I am tall. I am not tall.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Bad,He walked the dog yesterday. He did not walk the dog yesterday.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Bad,The tree is old. The tree is not old.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Bad,I've been to New York. I haven't been to New York.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Bad,I forgot to eat dinner. I didn't forget to eat dinner.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Bad,That's my water bottle. That's not my water bottle.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Bad,Her phone is about to run out of battery. Her phone is not about to run out of battery.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Bad,That kid likes toads. That kid does not like toads.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Bad,"I enjoy skiing, I don't enjoy skiing.",,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Bad,My dog is small. My dog is not small.,,,
,"On a scale of 1 to 7, 1 being it makes no sense and 7 being it makes sense, how much do the following sentence(s) make sense:",Control,created,Easy Bad,The road is wet. The road is not wet. ,,,
