Sentence,Connective,Contradiction,Type,Original order,Total order,LogProb
Jim showed the man his tickets therefore Jim did not show the man his tickets.,therefore,1,experimental,70,70,[-4.41845703125]
Jim showed the man his tickets but Jim did not show the man his tickets.,but,1,experimental,71,71,[-4.0317840576171875]
Jim showed the man his tickets when Jim did not show the man his tickets.,when,1,experimental,72,72,[-4.346923828125]
Jim showed the man his tickets although Jim did not show the man his tickets.,although,1,experimental,73,73,[-4.350860595703125]
Jim showed the man his tickets or Jim did not show the man his tickets.,or,0,experimental,74,74,[-4.441070556640625]
"Maybe Jim showed the man his tickets, maybe Jim did not show the man his tickets.",maybe,0,experimental,75,75,[-3.9158257378472223]
"Perhaps Jim showed the man his tickets, perhaps Jim did not show the man his tickets.",perhaps,0,experimental,76,76,[-3.9814317491319446]
Jim might show the man his tickets and Jim might not show the man his tickets.,might,0,experimental,77,77,[-4.174862132352941]
Steve went to New York and Steve did not go to New York.,and,1,experimental,78,78,[-3.4275076729910716]
Steve went to New York if Steve did not go to New York.,if,1,experimental,79,79,[-3.6613943917410716]
Steve went to New York so Steve did not go to New York.,so,1,experimental,80,80,[-3.5572335379464284]
Steve went to New York therefore Steve did not go to New York.,therefore,1,experimental,81,81,[-3.810825892857143]
Steve went to New York but Steve did not go to New York.,but,1,experimental,82,82,[-3.181309291294643]
Steve went to New York when Steve did not go to New York.,when,1,experimental,83,83,[-3.7324305943080356]
Steve went to New York although Steve did not go to New York.,although,1,experimental,84,84,[-3.5670296805245534]
Steve went to New York or Steve did not go to New York.,or,0,experimental,85,85,[-3.599684579031808]
"Maybe Steve went to New York, maybe Steve did not go to New York.",maybe,0,experimental,86,86,[-3.026172637939453]
"Perhaps Steve went to New York, perhaps Steve did not go to New York.",perhaps,0,experimental,87,87,[-3.3347206115722656]
Steve might go to New York and Steve might not go to New York.,might,0,experimental,88,88,[-2.9513590494791666]
The kids go to the mall and the kids do not go to the mall.,and,1,experimental,89,89,[-3.0706787109375]
The kids go to the mall if the kids do not go to the mall.,if,1,experimental,90,90,[-3.5328369140625]
The kids go to the mall so the kids do not go to the mall.,so,1,experimental,91,91,[-3.567138671875]
The kids go to the mall therefore the kids do not go to the mall.,therefore,1,experimental,92,92,[-3.7119140625]
The kids go to the mall but the kids do not go to the mall.,but,1,experimental,93,93,[-2.9901123046875]
The kids go to the mall when the kids do not go to the mall.,when,1,experimental,94,94,[-3.49658203125]
The kids go to the mall although the kids do not go to the mall.,although,1,experimental,95,95,[-3.36700439453125]
The kids go to the mall or the kids do not go to the mall.,or,0,experimental,96,96,[-3.44879150390625]
"Maybe the kids go to the mall, maybe the kids do not go to the mall.",maybe,0,experimental,97,97,[-2.8826497395833335]
"Perhaps the kids go to the mall, perhaps the kids do not go to the mall.",perhaps,0,experimental,98,98,[-3.0869818793402777]
The kids might go to the mall and the kids might not go to the mall.,might,0,experimental,99,99,[-2.9345846737132355]
The man has forgotten to do his homework and the man has not forgotten to do his homework.,and,1,experimental,100,100,[-3.1175729851973686]
The man has forgotten to do his homework if the man has not forgotten to do his homework.,if,1,experimental,101,101,[-3.3814825760690788]
The man has forgotten to do his homework so the man has not forgotten to do his homework.,so,1,experimental,102,102,[-3.5665604440789473]
The man has forgotten to do his homework therefore the man has not forgotten to do his homework.,therefore,1,experimental,103,103,[-3.6812551398026314]
The man has forgotten to do his homework but the man has not forgotten to do his homework.,but,1,experimental,104,104,[-3.0694901315789473]
The man has forgotten to do his homework when the man has not forgotten to do his homework.,when,1,experimental,105,105,[-3.549393503289474]
The man has forgotten to do his homework although the man has not forgotten to do his homework.,although,1,experimental,106,106,[-3.2879060444078947]
The man has forgotten to do his homework or the man has not forgotten to do his homework.,or,0,experimental,107,107,[-3.2659847861842106]
"Maybe the man has forgotten to do his homework, maybe the man has not forgotten to do his homework.",maybe,0,experimental,108,108,[-2.9285830543154763]
"Perhaps the man has forgotten to do his homework, perhaps the man has not forgotten to do his homework.",perhaps,0,experimental,109,109,[-2.9884788876488093]
The man might have forgotten to do his homework and the man might not have forgotten to do his homework.,might,0,experimental,110,110,[-2.980073474702381]
The mansion has ten rooms and the mansion does not have ten rooms.,and,1,experimental,111,111,[-3.793666294642857]
The mansion has ten rooms if the mansion does not have ten rooms.,if,1,experimental,112,112,[-4.045061383928571]
The mansion has ten rooms so the mansion does not have ten rooms.,so,1,experimental,113,113,[-4.004603794642857]
The mansion has ten rooms therefore the mansion does not have ten rooms.,therefore,1,experimental,114,114,[-4.19482421875]
The mansion has ten rooms but the mansion does not have ten rooms.,but,1,experimental,115,115,[-3.6183035714285716]
The mansion has ten rooms when the mansion does not have ten rooms.,when,1,experimental,116,116,[-3.9185267857142856]
The mansion has ten rooms although the mansion does not have ten rooms.,although,1,experimental,117,117,[-3.7544642857142856]
The mansion has ten rooms or the mansion does not have ten rooms.,or,0,experimental,118,118,[-3.8986685616629466]
"Maybe the mansion has ten rooms, maybe the mansion does not have ten rooms.",maybe,0,experimental,119,119,[-3.6347427368164062]
"Perhaps the mansion has ten rooms, perhaps the mansion does not have ten rooms.",perhaps,0,experimental,120,120,[-3.6826858520507812]
The mansion might have ten rooms and the mansion might not have ten rooms.,might,0,experimental,121,121,[-3.647965494791667]
The tea in the kettle is done brewing and the tea in the kettle is not done brewing.,and,1,experimental,122,122,[-3.368086965460526]
The tea in the kettle is done brewing if the tea in the kettle is not done brewing.,if,1,experimental,123,123,[-3.786107113486842]
The tea in the kettle is done brewing so the tea in the kettle is not done brewing.,so,1,experimental,124,124,[-3.4703433388157894]
The tea in the kettle is done brewing therefore the tea in the kettle is not done brewing.,therefore,1,experimental,125,125,[-3.681100945723684]
The tea in the kettle is done brewing but the tea in the kettle is not done brewing.,but,1,experimental,126,126,[-3.3136050575657894]
The tea in the kettle is done brewing when the tea in the kettle is not done brewing.,when,1,experimental,127,127,[-3.799753289473684]
The tea in the kettle is done brewing although the tea in the kettle is not done brewing.,although,1,experimental,128,128,[-3.498586554276316]
The tea in the kettle is done brewing or the tea in the kettle is not done brewing.,or,0,experimental,129,129,[-3.2496145148026314]
"Maybe the tea in the kettle is done brewing, maybe the tea in the kettle is not done brewing.",maybe,0,experimental,130,130,[-2.973324730282738]
"Perhaps the tea in the kettle is done brewing, perhaps the tea in the kettle is not done brewing.",perhaps,0,experimental,131,131,[-3.061000279017857]
The tea in the kettle might be done brewing and the tea in the kettle might not be done brewing.,might,0,experimental,132,132,[-3.348179408482143]
The teacher assigned homework for the week and the teacher did not assign homework for the week.,and,1,experimental,133,133,[-3.0528428819444446]
The teacher assigned homework for the week if the teacher did not assign homework for the week.,if,1,experimental,134,134,[-3.0652669270833335]
The teacher assigned homework for the week so the teacher did not assign homework for the week.,so,1,experimental,135,135,[-3.4690755208333335]
The teacher assigned homework for the week therefore the teacher did not assign homework for the week.,therefore,1,experimental,136,136,[-3.3002387152777777]
The teacher assigned homework for the week but the teacher did not assign homework for the week.,but,1,experimental,137,137,[-3.0732014973958335]
The teacher assigned homework for the week when the teacher did not assign homework for the week.,when,1,experimental,138,138,[-3.2622612847222223]
The teacher assigned homework for the week although the teacher did not assign homework for the week.,although,1,experimental,139,139,[-3.1065131293402777]
The teacher assigned homework for the week or the teacher did not assign homework for the week.,or,0,experimental,140,140,[-3.0589192708333335]
"Maybe the teacher assigned homework for the week, maybe the teacher did not assign homework for the week.",maybe,0,experimental,141,141,[-2.705328369140625]
"Perhaps the teacher assigned homework for the week, perhaps the teacher did not assign homework for the week.",perhaps,0,experimental,142,142,[-2.732891845703125]
The teacher might assign homework for the week and the teacher might not assign homework for the week.,might,0,experimental,143,143,[-3.070877878289474]
I ran into my classmate at the mall and I did not run into my classmate at the mall.,and,1,experimental,144,144,[-2.550366835160689]
I ran into my classmate at the mall if I did not run into my classmate at the mall.,if,1,experimental,145,145,[-2.7492249228737573]
I ran into my classmate at the mall so I did not run into my classmate at the mall.,so,1,experimental,146,146,[-2.6877704967151987]
I ran into my classmate at the mall therefore I did not run into my classmate at the mall.,therefore,1,experimental,147,147,[-2.928433504971591]
I ran into my classmate at the mall but I did not run into my classmate at the mall.,but,1,experimental,148,148,[-2.6373166170987217]
I ran into my classmate at the mall when I did not run into my classmate at the mall.,when,1,experimental,149,149,[-2.902872258966619]
I ran into my classmate at the mall although I did not run into my classmate at the mall.,although,1,experimental,150,150,[-2.669799111106179]
I ran into my classmate at the mall or I did not run into my classmate at the mall.,or,0,experimental,151,151,[-2.8346599232066763]
"Maybe I ran into my classmate at the mall, maybe I did not run into my classmate at the mall.",maybe,0,experimental,152,152,[-2.495509306589762]
"Perhaps I ran into my classmate at the mall, perhaps I did not run into my classmate at the mall.",perhaps,0,experimental,153,153,[-2.583126107851664]
I might run into my classmate at the mall and I might not run into my classmate at the mall.,might,0,experimental,154,154,[-2.647063379702361]
I called Anna twice today and I did not call Anna twice today.,and,1,experimental,155,155,[-4.416713169642857]
I called Anna twice today if I did not call Anna twice today.,if,1,experimental,156,156,[-4.6953125]
I called Anna twice today so I did not call Anna twice today.,so,1,experimental,157,157,[-4.618861607142857]
I called Anna twice today therefore I did not call Anna twice today.,therefore,1,experimental,158,158,[-4.721400669642857]
I called Anna twice today but I did not call Anna twice today.,but,1,experimental,159,159,[-4.619559151785714]
I called Anna twice today when I did not call Anna twice today.,when,1,experimental,160,160,[-5.046037946428571]
I called Anna twice today although I did not call Anna twice today.,although,1,experimental,161,161,[-4.767578125]
I called Anna twice today or I did not call Anna twice today.,or,0,experimental,162,162,[-4.881138392857143]
"Maybe I called Anna twice today, maybe I did not call Anna twice today.",maybe,0,experimental,163,163,[-3.749725341796875]
"Perhaps I called Anna twice today, perhaps I did not call Anna twice today.",perhaps,0,experimental,164,164,[-3.90106201171875]
I might call Anna twice today and I might not call Anna twice today.,might,0,experimental,165,165,[-4.32890625]
This wedding ceremony was held outdoors and this wedding ceremony was not held outdoors.,and,1,experimental,166,166,[-3.46796875]
This wedding ceremony was held outdoors if this wedding ceremony was not held outdoors.,if,1,experimental,167,167,[-3.589973958333333]
This wedding ceremony was held outdoors so this wedding ceremony was not held outdoors.,so,1,experimental,168,168,[-4.123958333333333]
This wedding ceremony was held outdoors therefore this wedding ceremony was not held outdoors.,therefore,1,experimental,169,169,[-4.371875]
This wedding ceremony was held outdoors but this wedding ceremony was not held outdoors.,but,1,experimental,170,170,[-3.3385416666666665]
This wedding ceremony was held outdoors when this wedding ceremony was not held outdoors.,when,1,experimental,171,171,[-3.8412760416666667]
This wedding ceremony was held outdoors although this wedding ceremony was not held outdoors.,although,1,experimental,172,172,[-3.5609375]
This wedding ceremony was held outdoors or this wedding ceremony was not held outdoors.,or,0,experimental,173,173,[-3.6186197916666667]
"Maybe this wedding ceremony was held outdoors, maybe this wedding ceremony was not held outdoors.",maybe,0,experimental,174,174,[-3.2967601102941178]
"Perhaps this wedding ceremony was held outdoors, perhaps this wedding ceremony was not held outdoors.",perhaps,0,experimental,175,175,[-3.2247242647058822]
This wedding ceremony might be held outdoors and this wedding ceremony might not be held outdoors.,might,0,experimental,176,176,[-3.336971507352941]
The soccer game was very exciting and the soccer game was not very exciting.,and,1,experimental,177,177,[-3.4477864583333333]
The soccer game was very exciting if the soccer game was not very exciting.,if,1,experimental,178,178,[-3.7278645833333335]
The soccer game was very exciting so the soccer game was not very exciting.,so,1,experimental,179,179,[-3.8091145833333333]
The soccer game was very exciting therefore the soccer game was not very exciting.,therefore,1,experimental,180,180,[-3.94921875]
The soccer game was very exciting but the soccer game was not very exciting.,but,1,experimental,181,181,[-3.3111979166666665]
The soccer game was very exciting when the soccer game was not very exciting.,when,1,experimental,182,182,[-3.55390625]
The soccer game was very exciting although the soccer game was not very exciting.,although,1,experimental,183,183,[-3.5337239583333333]
The soccer game was very exciting or the soccer game was not very exciting.,or,0,experimental,184,184,[-3.568961588541667]
"Maybe the soccer game was very exciting, maybe the soccer game was not very exciting.",maybe,0,experimental,185,185,[-3.223934397977941]
"Perhaps the soccer game was very exciting, perhaps the soccer game was not very exciting.",perhaps,0,experimental,186,186,[-3.24853515625]
The soccer game might be very exciting and the soccer game might not be very exciting.,might,0,experimental,187,187,[-3.3232709099264706]
The trash is overflowing in my apartment and the trash is not overflowing in my apartment.,and,1,experimental,188,188,[-3.3869485294117645]
The trash is overflowing in my apartment if the trash is not overflowing in my apartment.,if,1,experimental,189,189,[-3.5886948529411766]
The trash is overflowing in my apartment so the trash is not overflowing in my apartment.,so,1,experimental,190,190,[-3.6815257352941178]
The trash is overflowing in my apartment therefore the trash is not overflowing in my apartment.,therefore,1,experimental,191,191,[-3.8947610294117645]
The trash is overflowing in my apartment but the trash is not overflowing in my apartment.,but,1,experimental,192,192,[-3.279641544117647]
The trash is overflowing in my apartment when the trash is not overflowing in my apartment.,when,1,experimental,193,193,[-3.50390625]
The trash is overflowing in my apartment although the trash is not overflowing in my apartment.,although,1,experimental,194,194,[-3.5181525735294117]
The trash is overflowing in my apartment or the trash is not overflowing in my apartment.,or,0,experimental,195,195,[-3.4028607536764706]
"Maybe the trash is overflowing in my apartment, maybe the trash is not overflowing in my apartment.",maybe,0,experimental,196,196,[-3.0026469983552633]
"Perhaps the trash is overflowing in my apartment, perhaps the trash is not overflowing in my apartment.",perhaps,0,experimental,197,197,[-3.0364412006578947]
The trash might be overflowing in my apartment and the trash might not be overflowing in my apartment.,might,0,experimental,198,198,[-3.275339226973684]
My dog weighs ten pounds and my dog does not weigh ten pounds.,and,1,experimental,199,199,[-3.6075265066964284]
My dog weighs ten pounds if my dog does not weigh ten pounds.,if,1,experimental,200,200,[-4.180385044642857]
My dog weighs ten pounds so my dog does not weigh ten pounds.,so,1,experimental,201,201,[-3.9453822544642856]
My dog weighs ten pounds therefore my dog does not weigh ten pounds.,therefore,1,experimental,202,202,[-4.081891741071429]
My dog weighs ten pounds but my dog does not weigh ten pounds.,but,1,experimental,203,203,[-3.8361293247767856]
My dog weighs ten pounds when my dog does not weigh ten pounds.,when,1,experimental,204,204,[-4.221958705357143]
My dog weighs ten pounds although my dog does not weigh ten pounds.,although,1,experimental,205,205,[-4.014177594866071]
My dog weighs ten pounds or my dog does not weigh ten pounds.,or,0,experimental,206,206,[-4.062569754464286]
"Maybe my dog weighs ten pounds, maybe my dog does not weigh ten pounds.",maybe,0,experimental,207,207,[-3.3232955932617188]
"Perhaps my dog weighs ten pounds, perhaps my dog does not weigh ten pounds.",perhaps,0,experimental,208,208,[-3.4182205200195312]
My dog might weigh ten pounds and my dog might not weigh ten pounds.,might,0,experimental,209,209,[-3.32724609375]
The tree in my backyard has green leaves and the tree in my backyard does not have green leaves.,and,1,experimental,210,210,[-2.8170623779296875]
The tree in my backyard has green leaves if the tree in my backyard does not have green leaves.,if,1,experimental,211,211,[-2.9701171875]
The tree in my backyard has green leaves so the tree in my backyard does not have green leaves.,so,1,experimental,212,212,[-3.1479736328125]
The tree in my backyard has green leaves therefore the tree in my backyard does not have green leaves.,therefore,1,experimental,213,213,[-3.095458984375]
The tree in my backyard has green leaves but the tree in my backyard does not have green leaves.,but,1,experimental,214,214,[-2.873828125]
The tree in my backyard has green leaves when the tree in my backyard does not have green leaves.,when,1,experimental,215,215,[-3.07254638671875]
The tree in my backyard has green leaves although the tree in my backyard does not have green leaves.,although,1,experimental,216,216,[-2.99085693359375]
The tree in my backyard has green leaves or the tree in my backyard does not have green leaves.,or,0,experimental,217,217,[-2.874761962890625]
"Maybe the tree in my backyard has green leaves, maybe the tree in my backyard does not have green leaves.",maybe,0,experimental,218,218,[-2.6693683971058237]
"Perhaps the tree in my backyard has green leaves, perhaps the tree in my backyard does not have green leaves.",perhaps,0,experimental,219,219,[-2.6730728149414062]
The tree in my backyard might have green leaves and the tree in my backyard might not have green leaves.,might,0,experimental,220,220,[-2.973079136439732]
My sister told me to walk the dog and my sister did not tell me to walk the dog.,and,1,experimental,221,221,[-2.91226806640625]
My sister told me to walk the dog if my sister did not tell me to walk the dog.,if,1,experimental,222,222,[-3.311346435546875]
My sister told me to walk the dog so my sister did not tell me to walk the dog.,so,1,experimental,223,223,[-3.422039794921875]
My sister told me to walk the dog therefore my sister did not tell me to walk the dog.,therefore,1,experimental,224,224,[-3.172625732421875]
My sister told me to walk the dog but my sister did not tell me to walk the dog.,but,1,experimental,225,225,[-3.038885498046875]
My sister told me to walk the dog when my sister did not tell me to walk the dog.,when,1,experimental,226,226,[-3.18466796875]
My sister told me to walk the dog although my sister did not tell me to walk the dog.,although,1,experimental,227,227,[-3.113421630859375]
My sister told me to walk the dog or my sister did not tell me to walk the dog.,or,0,experimental,228,228,[-3.267138671875]
"Maybe my sister told me to walk the dog, maybe my sister did not tell me to walk the dog.",maybe,0,experimental,229,229,[-2.8464827104048296]
"Perhaps my sister told me to walk the dog, perhaps my sister did not tell me to walk the dog.",perhaps,0,experimental,230,230,[-3.071999289772727]
My sister might tell me to walk the dog and my sister might not tell me to walk the dog.,might,0,experimental,231,231,[-2.7867838541666665]
The books on the shelf are all hard cover and the books on the shelf are not all hard cover.,and,1,experimental,232,232,[-2.900355747767857]
The books on the shelf are all hard cover if the books on the shelf are not all hard cover.,if,1,experimental,233,233,[-2.966006324404762]
The books on the shelf are all hard cover so the books on the shelf are not all hard cover.,so,1,experimental,234,234,[-3.1389973958333335]
The books on the shelf are all hard cover therefore the books on the shelf are not all hard cover.,therefore,1,experimental,235,235,[-3.2836449032738093]
The books on the shelf are all hard cover but the books on the shelf are not all hard cover.,but,1,experimental,236,236,[-2.8657459077380953]
The books on the shelf are all hard cover when the books on the shelf are not all hard cover.,when,1,experimental,237,237,[-2.8015601748511907]
The books on the shelf are all hard cover although the books on the shelf are not all hard cover.,although,1,experimental,238,238,[-3.012602306547619]
The books on the shelf are all hard cover or the books on the shelf are not all hard cover.,or,0,experimental,239,239,[-2.9726446242559526]
"Maybe the books on the shelf are all hard cover, maybe the books on the shelf are not all hard cover.",maybe,0,experimental,240,240,[-2.752080502717391]
"Perhaps the books on the shelf are all hard cover, perhaps the books on the shelf are not all hard cover.",perhaps,0,experimental,241,241,[-2.775884213654891]
The books on the shelf might be all hard cover and the books on the shelf might not be all hard cover.,might,0,experimental,242,242,[-2.876167629076087]
The school bus comes on time and the school bus does not come on time.,and,1,experimental,243,243,[-3.2753219604492188]
The school bus comes on time if the school bus does not come on time.,if,1,experimental,244,244,[-3.63116455078125]
The school bus comes on time so the school bus does not come on time.,so,1,experimental,245,245,[-4.1168212890625]
The school bus comes on time therefore the school bus does not come on time.,therefore,1,experimental,246,246,[-4.07635498046875]
The school bus comes on time but the school bus does not come on time.,but,1,experimental,247,247,[-3.59320068359375]
The school bus comes on time when the school bus does not come on time.,when,1,experimental,248,248,[-3.7645263671875]
The school bus comes on time although the school bus does not come on time.,although,1,experimental,249,249,[-3.90185546875]
The school bus comes on time or the school bus does not come on time.,or,0,experimental,250,250,[-3.1556167602539062]
"Maybe the school bus comes on time, maybe the school bus does not come on time.",maybe,0,experimental,251,251,[-3.023006863064236]
"Perhaps the school bus comes on time, perhaps the school bus does not come on time.",perhaps,0,experimental,252,252,[-3.140019734700521]
The school bus might come on time and the school bus might not come on time.,might,0,experimental,253,253,[-3.122934678021599]
Friendship is very important to Sarah and Friendship is not very important to Sarah.,and,1,experimental,254,254,[-3.738983154296875]
Friendship is very important to Sarah if Friendship is not very important to Sarah.,if,1,experimental,255,255,[-3.826751708984375]
Friendship is very important to Sarah so Friendship is not very important to Sarah.,so,1,experimental,256,256,[-3.99188232421875]
Friendship is very important to Sarah therefore Friendship is not very important to Sarah.,therefore,1,experimental,257,257,[-3.9056396484375]
Friendship is very important to Sarah but Friendship is not very important to Sarah.,but,1,experimental,258,258,[-3.39300537109375]
Friendship is very important to Sarah when Friendship is not very important to Sarah.,when,1,experimental,259,259,[-3.96112060546875]
Friendship is very important to Sarah although Friendship is not very important to Sarah.,although,1,experimental,260,260,[-3.778289794921875]
Friendship is very important to Sarah or Friendship is not very important to Sarah.,or,0,experimental,261,261,[-3.8006591796875]
"Maybe Friendship is very important to Sarah ., maybe Friendship is not very important to Sarah.",maybe,0,experimental,262,262,[-5.1262063419117645]
"Perhaps Friendship is very important to Sarah ., perhaps Friendship is not very important to Sarah.",perhaps,0,experimental,263,263,[-4.874605066636029]
Friendship might be very important to Sarah and Friendship might not be very important to Sarah.,might,0,experimental,264,264,[-3.7874213324652777]
The baseball cap helps keep the sun off my face and the baseball cap does not help keep the sun off my face.,and,1,experimental,265,265,[-2.8607584635416665]
The baseball cap helps keep the sun off my face if the baseball cap does not help keep the sun off my face.,if,1,experimental,266,266,[-3.2783203125]
The baseball cap helps keep the sun off my face so the baseball cap does not help keep the sun off my face.,so,1,experimental,267,267,[-3.33978271484375]
The baseball cap helps keep the sun off my face therefore the baseball cap does not help keep the sun off my face.,therefore,1,experimental,268,268,[-3.1348876953125]
The baseball cap helps keep the sun off my face but the baseball cap does not help keep the sun off my face.,but,1,experimental,269,269,[-2.861328125]
The baseball cap helps keep the sun off my face when the baseball cap does not help keep the sun off my face.,when,1,experimental,270,270,[-3.2220052083333335]
The baseball cap helps keep the sun off my face although the baseball cap does not help keep the sun off my face.,although,1,experimental,271,271,[-2.9619140625]
The baseball cap helps keep the sun off my face or the baseball cap does not help keep the sun off my face.,or,0,experimental,272,272,[-3.138270060221354]
"Maybe the baseball cap helps keep the sun off my face, maybe the baseball cap does not help keep the sun off my face.",maybe,0,experimental,273,273,[-2.650067842923678]
"Perhaps the baseball cap helps keep the sun off my face, perhaps the baseball cap does not help keep the sun off my face.",perhaps,0,experimental,274,274,[-2.772802499624399]
The baseball cap might help keep the sun off my face and the baseball cap might not help keep the sun off my face.,might,0,experimental,275,275,[-3.0573046875]
I drove to the store to buy some milk and I did not drive to the store to buy some milk.,and,1,experimental,276,276,[-2.528586647727273]
