Sentence,Connective,Contradiction,Type,Original order,Total order,LogProb
Jim showed the man his tickets but Jim did not show the man his tickets.,but,1,experimental,71,71,[-4.069244384765625]
Jim showed the man his tickets when Jim did not show the man his tickets.,when,1,experimental,72,72,[-4.3016357421875]
Jim showed the man his tickets although Jim did not show the man his tickets.,although,1,experimental,73,73,[-4.34588623046875]
Jim showed the man his tickets or Jim did not show the man his tickets.,or,0,experimental,74,74,[-4.0995941162109375]
"Maybe Jim showed the man his tickets, maybe Jim did not show the man his tickets.",maybe,0,experimental,75,75,[-3.2622612847222223]
"Perhaps Jim showed the man his tickets, perhaps Jim did not show the man his tickets.",perhaps,0,experimental,76,76,[-3.5364583333333335]
Jim might show the man his tickets and Jim might not show the man his tickets.,might,0,experimental,77,77,[-3.807430491727941]
Steve went to New York and Steve did not go to New York.,and,1,experimental,78,78,[-2.8846609933035716]
Steve went to New York if Steve did not go to New York.,if,1,experimental,79,79,[-3.3197501046316966]
Steve went to New York so Steve did not go to New York.,so,1,experimental,80,80,[-3.2628348214285716]
Steve went to New York therefore Steve did not go to New York.,therefore,1,experimental,81,81,[-3.480678013392857]
Steve went to New York but Steve did not go to New York.,but,1,experimental,82,82,[-2.8834054129464284]
Steve went to New York when Steve did not go to New York.,when,1,experimental,83,83,[-3.317997523716518]
Steve went to New York although Steve did not go to New York.,although,1,experimental,84,84,[-3.3134656633649553]
Steve went to New York or Steve did not go to New York.,or,0,experimental,85,85,[-3.178078923906599]
"Maybe Steve went to New York, maybe Steve did not go to New York.",maybe,0,experimental,86,86,[-2.8759119510650635]
"Perhaps Steve went to New York, perhaps Steve did not go to New York.",perhaps,0,experimental,87,87,[-3.1316299438476562]
Steve might go to New York and Steve might not go to New York.,might,0,experimental,88,88,[-2.653426742553711]
The kids go to the mall and the kids do not go to the mall.,and,1,experimental,89,89,[-3.078125]
The kids go to the mall if the kids do not go to the mall.,if,1,experimental,90,90,[-3.425537109375]
The kids go to the mall so the kids do not go to the mall.,so,1,experimental,91,91,[-3.423583984375]
The kids go to the mall therefore the kids do not go to the mall.,therefore,1,experimental,92,92,[-3.69573974609375]
The kids go to the mall but the kids do not go to the mall.,but,1,experimental,93,93,[-3.1658935546875]
The kids go to the mall when the kids do not go to the mall.,when,1,experimental,94,94,[-3.43621826171875]
The kids go to the mall although the kids do not go to the mall.,although,1,experimental,95,95,[-3.54327392578125]
The kids go to the mall or the kids do not go to the mall.,or,0,experimental,96,96,[-3.427490234375]
"Maybe the kids go to the mall, maybe the kids do not go to the mall.",maybe,0,experimental,97,97,[-2.7634955512152777]
"Perhaps the kids go to the mall, perhaps the kids do not go to the mall.",perhaps,0,experimental,98,98,[-3.0331827799479165]
The kids might go to the mall and the kids might not go to the mall.,might,0,experimental,99,99,[-3.2340590533088234]
The man has forgotten to do his homework and the man has not forgotten to do his homework.,and,1,experimental,100,100,[-3.3224198190789473]
The man has forgotten to do his homework if the man has not forgotten to do his homework.,if,1,experimental,101,101,[-3.3993755139802633]
The man has forgotten to do his homework so the man has not forgotten to do his homework.,so,1,experimental,102,102,[-3.628340871710526]
The man has forgotten to do his homework therefore the man has not forgotten to do his homework.,therefore,1,experimental,103,103,[-3.5857833059210527]
The man has forgotten to do his homework but the man has not forgotten to do his homework.,but,1,experimental,104,104,[-3.376027960526316]
The man has forgotten to do his homework when the man has not forgotten to do his homework.,when,1,experimental,105,105,[-3.5059621710526314]
The man has forgotten to do his homework although the man has not forgotten to do his homework.,although,1,experimental,106,106,[-3.430201480263158]
The man has forgotten to do his homework or the man has not forgotten to do his homework.,or,0,experimental,107,107,[-3.1749765496504936]
"Maybe the man has forgotten to do his homework, maybe the man has not forgotten to do his homework.",maybe,0,experimental,108,108,[-2.8843587239583335]
"Perhaps the man has forgotten to do his homework, perhaps the man has not forgotten to do his homework.",perhaps,0,experimental,109,109,[-2.9202706473214284]
The man might have forgotten to do his homework and the man might not have forgotten to do his homework.,might,0,experimental,110,110,[-2.976475306919643]
The mansion has ten rooms and the mansion does not have ten rooms.,and,1,experimental,111,111,[-4.168317522321429]
The mansion has ten rooms if the mansion does not have ten rooms.,if,1,experimental,112,112,[-4.59619140625]
The mansion has ten rooms so the mansion does not have ten rooms.,so,1,experimental,113,113,[-4.203822544642857]
The mansion has ten rooms therefore the mansion does not have ten rooms.,therefore,1,experimental,114,114,[-4.254464285714286]
The mansion has ten rooms but the mansion does not have ten rooms.,but,1,experimental,115,115,[-3.881801060267857]
The mansion has ten rooms when the mansion does not have ten rooms.,when,1,experimental,116,116,[-4.474086216517857]
The mansion has ten rooms although the mansion does not have ten rooms.,although,1,experimental,117,117,[-4.216796875]
The mansion has ten rooms or the mansion does not have ten rooms.,or,0,experimental,118,118,[-3.948032924107143]
"Maybe the mansion has ten rooms, maybe the mansion does not have ten rooms.",maybe,0,experimental,119,119,[-3.510101318359375]
"Perhaps the mansion has ten rooms, perhaps the mansion does not have ten rooms.",perhaps,0,experimental,120,120,[-3.5721359252929688]
The mansion might have ten rooms and the mansion might not have ten rooms.,might,0,experimental,121,121,[-3.7306315104166665]
The tea in the kettle is done brewing and the tea in the kettle is not done brewing.,and,1,experimental,122,122,[-3.3160464638157894]
The tea in the kettle is done brewing if the tea in the kettle is not done brewing.,if,1,experimental,123,123,[-3.364720394736842]
The tea in the kettle is done brewing so the tea in the kettle is not done brewing.,so,1,experimental,124,124,[-3.3092105263157894]
The tea in the kettle is done brewing therefore the tea in the kettle is not done brewing.,therefore,1,experimental,125,125,[-3.3552374588815788]
The tea in the kettle is done brewing but the tea in the kettle is not done brewing.,but,1,experimental,126,126,[-3.2782175164473686]
The tea in the kettle is done brewing when the tea in the kettle is not done brewing.,when,1,experimental,127,127,[-3.2971319901315788]
The tea in the kettle is done brewing although the tea in the kettle is not done brewing.,although,1,experimental,128,128,[-3.4860197368421053]
The tea in the kettle is done brewing or the tea in the kettle is not done brewing.,or,0,experimental,129,129,[-3.2254831414473686]
"Maybe the tea in the kettle is done brewing, maybe the tea in the kettle is not done brewing.",maybe,0,experimental,130,130,[-2.694731212797619]
"Perhaps the tea in the kettle is done brewing, perhaps the tea in the kettle is not done brewing.",perhaps,0,experimental,131,131,[-2.791317894345238]
The tea in the kettle might be done brewing and the tea in the kettle might not be done brewing.,might,0,experimental,132,132,[-3.2258184523809526]
The teacher assigned homework for the week and the teacher did not assign homework for the week.,and,1,experimental,133,133,[-2.9651692708333335]
The teacher assigned homework for the week if the teacher did not assign homework for the week.,if,1,experimental,134,134,[-3.1770833333333335]
The teacher assigned homework for the week so the teacher did not assign homework for the week.,so,1,experimental,135,135,[-3.1571451822916665]
The teacher assigned homework for the week therefore the teacher did not assign homework for the week.,therefore,1,experimental,136,136,[-3.4195421006944446]
The teacher assigned homework for the week but the teacher did not assign homework for the week.,but,1,experimental,137,137,[-2.9627549913194446]
The teacher assigned homework for the week when the teacher did not assign homework for the week.,when,1,experimental,138,138,[-3.3467881944444446]
The teacher assigned homework for the week although the teacher did not assign homework for the week.,although,1,experimental,139,139,[-3.1844618055555554]
The teacher assigned homework for the week or the teacher did not assign homework for the week.,or,0,experimental,140,140,[-2.9150933159722223]
"Maybe the teacher assigned homework for the week, maybe the teacher did not assign homework for the week.",maybe,0,experimental,141,141,[-2.62376708984375]
"Perhaps the teacher assigned homework for the week, perhaps the teacher did not assign homework for the week.",perhaps,0,experimental,142,142,[-2.78756103515625]
The teacher might assign homework for the week and the teacher might not assign homework for the week.,might,0,experimental,143,143,[-3.125513980263158]
I ran into my classmate at the mall and I did not run into my classmate at the mall.,and,1,experimental,144,144,[-2.537261962890625]
I ran into my classmate at the mall if I did not run into my classmate at the mall.,if,1,experimental,145,145,[-2.944161155007102]
I ran into my classmate at the mall so I did not run into my classmate at the mall.,so,1,experimental,146,146,[-2.763266823508523]
I ran into my classmate at the mall therefore I did not run into my classmate at the mall.,therefore,1,experimental,147,147,[-2.8865481289950283]
I ran into my classmate at the mall but I did not run into my classmate at the mall.,but,1,experimental,148,148,[-2.800087668678977]
I ran into my classmate at the mall when I did not run into my classmate at the mall.,when,1,experimental,149,149,[-2.8166545521129263]
I ran into my classmate at the mall although I did not run into my classmate at the mall.,although,1,experimental,150,150,[-2.8381181196732954]
I ran into my classmate at the mall or I did not run into my classmate at the mall.,or,0,experimental,151,151,[-2.763123252175071]
"Maybe I ran into my classmate at the mall, maybe I did not run into my classmate at the mall.",maybe,0,experimental,152,152,[-2.422231992085775]
"Perhaps I ran into my classmate at the mall, perhaps I did not run into my classmate at the mall.",perhaps,0,experimental,153,153,[-2.5313782691955566]
I might run into my classmate at the mall and I might not run into my classmate at the mall.,might,0,experimental,154,154,[-2.516095202902089]
I called Anna twice today and I did not call Anna twice today.,and,1,experimental,155,155,[-4.179827008928571]
I called Anna twice today if I did not call Anna twice today.,if,1,experimental,156,156,[-4.922014508928571]
I called Anna twice today so I did not call Anna twice today.,so,1,experimental,157,157,[-4.677734375]
I called Anna twice today therefore I did not call Anna twice today.,therefore,1,experimental,158,158,[-4.848772321428571]
I called Anna twice today but I did not call Anna twice today.,but,1,experimental,159,159,[-4.320382254464286]
I called Anna twice today when I did not call Anna twice today.,when,1,experimental,160,160,[-4.646763392857143]
I called Anna twice today although I did not call Anna twice today.,although,1,experimental,161,161,[-4.560267857142857]
I called Anna twice today or I did not call Anna twice today.,or,0,experimental,162,162,[-4.782087053571429]
"Maybe I called Anna twice today, maybe I did not call Anna twice today.",maybe,0,experimental,163,163,[-3.755126953125]
"Perhaps I called Anna twice today, perhaps I did not call Anna twice today.",perhaps,0,experimental,164,164,[-3.9393310546875]
I might call Anna twice today and I might not call Anna twice today.,might,0,experimental,165,165,[-4.0310546875]
This wedding ceremony was held outdoors and this wedding ceremony was not held outdoors.,and,1,experimental,166,166,[-4.054166666666666]
This wedding ceremony was held outdoors if this wedding ceremony was not held outdoors.,if,1,experimental,167,167,[-4.182942708333333]
This wedding ceremony was held outdoors so this wedding ceremony was not held outdoors.,so,1,experimental,168,168,[-4.2921875]
This wedding ceremony was held outdoors therefore this wedding ceremony was not held outdoors.,therefore,1,experimental,169,169,[-4.564583333333333]
This wedding ceremony was held outdoors but this wedding ceremony was not held outdoors.,but,1,experimental,170,170,[-3.9989583333333334]
This wedding ceremony was held outdoors when this wedding ceremony was not held outdoors.,when,1,experimental,171,171,[-4.283333333333333]
This wedding ceremony was held outdoors although this wedding ceremony was not held outdoors.,although,1,experimental,172,172,[-4.190625]
This wedding ceremony was held outdoors or this wedding ceremony was not held outdoors.,or,0,experimental,173,173,[-4.017447916666667]
"Maybe this wedding ceremony was held outdoors, maybe this wedding ceremony was not held outdoors.",maybe,0,experimental,174,174,[-3.2603400735294117]
"Perhaps this wedding ceremony was held outdoors, perhaps this wedding ceremony was not held outdoors.",perhaps,0,experimental,175,175,[-3.366153492647059]
This wedding ceremony might be held outdoors and this wedding ceremony might not be held outdoors.,might,0,experimental,176,176,[-3.5170036764705883]
The soccer game was very exciting and the soccer game was not very exciting.,and,1,experimental,177,177,[-3.688671875]
The soccer game was very exciting if the soccer game was not very exciting.,if,1,experimental,178,178,[-4.022916666666666]
The soccer game was very exciting so the soccer game was not very exciting.,so,1,experimental,179,179,[-3.9580729166666666]
The soccer game was very exciting therefore the soccer game was not very exciting.,therefore,1,experimental,180,180,[-4.109895833333334]
The soccer game was very exciting but the soccer game was not very exciting.,but,1,experimental,181,181,[-3.6197916666666665]
The soccer game was very exciting when the soccer game was not very exciting.,when,1,experimental,182,182,[-3.9225260416666665]
The soccer game was very exciting although the soccer game was not very exciting.,although,1,experimental,183,183,[-3.97109375]
The soccer game was very exciting or the soccer game was not very exciting.,or,0,experimental,184,184,[-3.5224283854166667]
"Maybe the soccer game was very exciting, maybe the soccer game was not very exciting.",maybe,0,experimental,185,185,[-3.061667049632353]
"Perhaps the soccer game was very exciting, perhaps the soccer game was not very exciting.",perhaps,0,experimental,186,186,[-3.2509478400735294]
The soccer game might be very exciting and the soccer game might not be very exciting.,might,0,experimental,187,187,[-3.5785845588235294]
The trash is overflowing in my apartment and the trash is not overflowing in my apartment.,and,1,experimental,188,188,[-3.640625]
The trash is overflowing in my apartment if the trash is not overflowing in my apartment.,if,1,experimental,189,189,[-3.918887867647059]
The trash is overflowing in my apartment so the trash is not overflowing in my apartment.,so,1,experimental,190,190,[-3.868106617647059]
The trash is overflowing in my apartment therefore the trash is not overflowing in my apartment.,therefore,1,experimental,191,191,[-3.7630974264705883]
The trash is overflowing in my apartment but the trash is not overflowing in my apartment.,but,1,experimental,192,192,[-3.5252757352941178]
The trash is overflowing in my apartment when the trash is not overflowing in my apartment.,when,1,experimental,193,193,[-3.608455882352941]
The trash is overflowing in my apartment although the trash is not overflowing in my apartment.,although,1,experimental,194,194,[-3.823299632352941]
The trash is overflowing in my apartment or the trash is not overflowing in my apartment.,or,0,experimental,195,195,[-3.7320915670955883]
"Maybe the trash is overflowing in my apartment, maybe the trash is not overflowing in my apartment.",maybe,0,experimental,196,196,[-2.87115478515625]
"Perhaps the trash is overflowing in my apartment, perhaps the trash is not overflowing in my apartment.",perhaps,0,experimental,197,197,[-3.0076679430509867]
The trash might be overflowing in my apartment and the trash might not be overflowing in my apartment.,might,0,experimental,198,198,[-3.3787006578947367]
My dog weighs ten pounds and my dog does not weigh ten pounds.,and,1,experimental,199,199,[-3.4913330078125]
My dog weighs ten pounds if my dog does not weigh ten pounds.,if,1,experimental,200,200,[-4.159380231584821]
My dog weighs ten pounds so my dog does not weigh ten pounds.,so,1,experimental,201,201,[-3.9287109375]
My dog weighs ten pounds therefore my dog does not weigh ten pounds.,therefore,1,experimental,202,202,[-4.107003348214286]
My dog weighs ten pounds but my dog does not weigh ten pounds.,but,1,experimental,203,203,[-3.5657784598214284]
My dog weighs ten pounds when my dog does not weigh ten pounds.,when,1,experimental,204,204,[-4.015223911830357]
My dog weighs ten pounds although my dog does not weigh ten pounds.,although,1,experimental,205,205,[-4.012991768973214]
My dog weighs ten pounds or my dog does not weigh ten pounds.,or,0,experimental,206,206,[-3.814760480608259]
"Maybe my dog weighs ten pounds, maybe my dog does not weigh ten pounds.",maybe,0,experimental,207,207,[-3.384002685546875]
"Perhaps my dog weighs ten pounds, perhaps my dog does not weigh ten pounds.",perhaps,0,experimental,208,208,[-3.48419189453125]
My dog might weigh ten pounds and my dog might not weigh ten pounds.,might,0,experimental,209,209,[-3.6600748697916665]
The tree in my backyard has green leaves and the tree in my backyard does not have green leaves.,and,1,experimental,210,210,[-2.520121765136719]
The tree in my backyard has green leaves if the tree in my backyard does not have green leaves.,if,1,experimental,211,211,[-2.8450286865234373]
The tree in my backyard has green leaves so the tree in my backyard does not have green leaves.,so,1,experimental,212,212,[-2.78369140625]
The tree in my backyard has green leaves therefore the tree in my backyard does not have green leaves.,therefore,1,experimental,213,213,[-3.108544921875]
The tree in my backyard has green leaves but the tree in my backyard does not have green leaves.,but,1,experimental,214,214,[-2.7474029541015623]
The tree in my backyard has green leaves when the tree in my backyard does not have green leaves.,when,1,experimental,215,215,[-2.830572509765625]
The tree in my backyard has green leaves although the tree in my backyard does not have green leaves.,although,1,experimental,216,216,[-3.0764404296875]
The tree in my backyard has green leaves or the tree in my backyard does not have green leaves.,or,0,experimental,217,217,[-2.6406982421875]
"Maybe the tree in my backyard has green leaves, maybe the tree in my backyard does not have green leaves.",maybe,0,experimental,218,218,[-2.423166448419744]
"Perhaps the tree in my backyard has green leaves, perhaps the tree in my backyard does not have green leaves.",perhaps,0,experimental,219,219,[-2.5410887978293677]
The tree in my backyard might have green leaves and the tree in my backyard might not have green leaves.,might,0,experimental,220,220,[-2.9842652820405506]
My sister told me to walk the dog and my sister did not tell me to walk the dog.,and,1,experimental,221,221,[-2.7694580078125]
My sister told me to walk the dog if my sister did not tell me to walk the dog.,if,1,experimental,222,222,[-3.14556884765625]
My sister told me to walk the dog so my sister did not tell me to walk the dog.,so,1,experimental,223,223,[-3.0670654296875]
My sister told me to walk the dog therefore my sister did not tell me to walk the dog.,therefore,1,experimental,224,224,[-3.12161865234375]
My sister told me to walk the dog but my sister did not tell me to walk the dog.,but,1,experimental,225,225,[-2.89046630859375]
My sister told me to walk the dog when my sister did not tell me to walk the dog.,when,1,experimental,226,226,[-2.9084228515625]
My sister told me to walk the dog although my sister did not tell me to walk the dog.,although,1,experimental,227,227,[-3.0029296875]
My sister told me to walk the dog or my sister did not tell me to walk the dog.,or,0,experimental,228,228,[-2.9343017578125]
"Maybe my sister told me to walk the dog, maybe my sister did not tell me to walk the dog.",maybe,0,experimental,229,229,[-2.5505495938387783]
"Perhaps my sister told me to walk the dog, perhaps my sister did not tell me to walk the dog.",perhaps,0,experimental,230,230,[-2.672612276944247]
My sister might tell me to walk the dog and my sister might not tell me to walk the dog.,might,0,experimental,231,231,[-2.973143078031994]
The books on the shelf are all hard cover and the books on the shelf are not all hard cover.,and,1,experimental,232,232,[-2.9080403645833335]
The books on the shelf are all hard cover if the books on the shelf are not all hard cover.,if,1,experimental,233,233,[-2.9712611607142856]
The books on the shelf are all hard cover so the books on the shelf are not all hard cover.,so,1,experimental,234,234,[-2.9509393601190474]
The books on the shelf are all hard cover therefore the books on the shelf are not all hard cover.,therefore,1,experimental,235,235,[-3.141148158482143]
The books on the shelf are all hard cover but the books on the shelf are not all hard cover.,but,1,experimental,236,236,[-2.914829799107143]
The books on the shelf are all hard cover when the books on the shelf are not all hard cover.,when,1,experimental,237,237,[-2.922456287202381]
The books on the shelf are all hard cover although the books on the shelf are not all hard cover.,although,1,experimental,238,238,[-3.2617652529761907]
The books on the shelf are all hard cover or the books on the shelf are not all hard cover.,or,0,experimental,239,239,[-2.9169921875]
"Maybe the books on the shelf are all hard cover, maybe the books on the shelf are not all hard cover.",maybe,0,experimental,240,240,[-2.7375912873641304]
"Perhaps the books on the shelf are all hard cover, perhaps the books on the shelf are not all hard cover.",perhaps,0,experimental,241,241,[-2.7754224694293477]
The books on the shelf might be all hard cover and the books on the shelf might not be all hard cover.,might,0,experimental,242,242,[-3.234247622282609]
The school bus comes on time and the school bus does not come on time.,and,1,experimental,243,243,[-3.3560638427734375]
The school bus comes on time if the school bus does not come on time.,if,1,experimental,244,244,[-3.6537628173828125]
The school bus comes on time so the school bus does not come on time.,so,1,experimental,245,245,[-3.583221435546875]
The school bus comes on time therefore the school bus does not come on time.,therefore,1,experimental,246,246,[-3.8437728881835938]
The school bus comes on time but the school bus does not come on time.,but,1,experimental,247,247,[-3.4695968627929688]
The school bus comes on time when the school bus does not come on time.,when,1,experimental,248,248,[-3.670684814453125]
The school bus comes on time although the school bus does not come on time.,although,1,experimental,249,249,[-3.82720947265625]
The school bus comes on time or the school bus does not come on time.,or,0,experimental,250,250,[-3.2039947509765625]
"Maybe the school bus comes on time, maybe the school bus does not come on time.",maybe,0,experimental,251,251,[-2.9030829535590277]
"Perhaps the school bus comes on time, perhaps the school bus does not come on time.",perhaps,0,experimental,252,252,[-3.0331319173177085]
The school bus might come on time and the school bus might not come on time.,might,0,experimental,253,253,[-3.5299395392922794]
Friendship is very important to Sarah and Friendship is not very important to Sarah.,and,1,experimental,254,254,[-3.5658111572265625]
Friendship is very important to Sarah if Friendship is not very important to Sarah.,if,1,experimental,255,255,[-3.74139404296875]
Friendship is very important to Sarah so Friendship is not very important to Sarah.,so,1,experimental,256,256,[-3.8741455078125]
Friendship is very important to Sarah therefore Friendship is not very important to Sarah.,therefore,1,experimental,257,257,[-3.766876220703125]
Friendship is very important to Sarah but Friendship is not very important to Sarah.,but,1,experimental,258,258,[-3.49005126953125]
Friendship is very important to Sarah when Friendship is not very important to Sarah.,when,1,experimental,259,259,[-3.695159912109375]
Friendship is very important to Sarah although Friendship is not very important to Sarah.,although,1,experimental,260,260,[-3.7933349609375]
Friendship is very important to Sarah or Friendship is not very important to Sarah.,or,0,experimental,261,261,[-3.45343017578125]
"Maybe Friendship is very important to Sarah ., maybe Friendship is not very important to Sarah.",maybe,0,experimental,262,262,[-4.604319852941177]
"Perhaps Friendship is very important to Sarah ., perhaps Friendship is not very important to Sarah.",perhaps,0,experimental,263,263,[-4.671300551470588]
Friendship might be very important to Sarah and Friendship might not be very important to Sarah.,might,0,experimental,264,264,[-3.2571478949652777]
The baseball cap helps keep the sun off my face and the baseball cap does not help keep the sun off my face.,and,1,experimental,265,265,[-2.74755859375]
The baseball cap helps keep the sun off my face if the baseball cap does not help keep the sun off my face.,if,1,experimental,266,266,[-3.1008707682291665]
The baseball cap helps keep the sun off my face so the baseball cap does not help keep the sun off my face.,so,1,experimental,267,267,[-3.0062662760416665]
The baseball cap helps keep the sun off my face therefore the baseball cap does not help keep the sun off my face.,therefore,1,experimental,268,268,[-3.0949605305989585]
The baseball cap helps keep the sun off my face but the baseball cap does not help keep the sun off my face.,but,1,experimental,269,269,[-2.7903645833333335]
The baseball cap helps keep the sun off my face when the baseball cap does not help keep the sun off my face.,when,1,experimental,270,270,[-2.989873250325521]
The baseball cap helps keep the sun off my face although the baseball cap does not help keep the sun off my face.,although,1,experimental,271,271,[-2.97607421875]
The baseball cap helps keep the sun off my face or the baseball cap does not help keep the sun off my face.,or,0,experimental,272,272,[-2.8919576009114585]
"Maybe the baseball cap helps keep the sun off my face, maybe the baseball cap does not help keep the sun off my face.",maybe,0,experimental,273,273,[-2.493090116060697]
"Perhaps the baseball cap helps keep the sun off my face, perhaps the baseball cap does not help keep the sun off my face.",perhaps,0,experimental,274,274,[-2.5846129197340746]
The baseball cap might help keep the sun off my face and the baseball cap might not help keep the sun off my face.,might,0,experimental,275,275,[-3.079814453125]
I drove to the store to buy some milk and I did not drive to the store to buy some milk.,and,1,experimental,276,276,[-2.2687322443181817]
