Sentence,Connective,Contradiction,Instructions,Type,Prompt_ID,Total order,Response,proposition,Trial,Correct,Model
Jim might show the man his tickets and Jim might not show the man his tickets.,might,0,1,experimental,77,77,No,7,1,1,Llama 3.2 1B
Steve went to New York and Steve did not go to New York.,and,1,1,experimental,78,78,No,8,1,0,Llama 3.2 1B
Steve went to New York if Steve did not go to New York.,if,1,1,experimental,79,79,No,8,1,0,Llama 3.2 1B
Steve went to New York so Steve did not go to New York.,so,1,1,experimental,80,80,Yes,8,1,1,Llama 3.2 1B
Steve went to New York therefore Steve did not go to New York.,therefore,1,1,experimental,81,81,No,8,1,0,Llama 3.2 1B
Steve went to New York but Steve did not go to New York.,but,1,1,experimental,82,82,No,8,1,0,Llama 3.2 1B
Steve went to New York when Steve did not go to New York.,when,1,1,experimental,83,83,Yes,8,1,1,Llama 3.2 1B
Steve went to New York although Steve did not go to New York.,although,1,1,experimental,84,84,No,8,1,0,Llama 3.2 1B
Steve went to New York or Steve did not go to New York.,or,0,1,experimental,85,85,No,8,1,1,Llama 3.2 1B
Maybe Steve went to New York, maybe Steve did not go to New York.,maybe,0,1,experimental,86,86,No,8,1,1,Llama 3.2 1B
Perhaps Steve went to New York, perhaps Steve did not go to New York.,perhaps,0,1,experimental,87,87,No,8,1,1,Llama 3.2 1B
Steve might go to New York and Steve might not go to New York.,might,0,1,experimental,88,88,Yes,8,1,0,Llama 3.2 1B
The kids go to the mall and the kids do not go to the mall.,and,1,1,experimental,89,89,Yes,9,1,1,Llama 3.2 1B
The kids go to the mall if the kids do not go to the mall.,if,1,1,experimental,90,90,No,9,1,0,Llama 3.2 1B
The kids go to the mall so the kids do not go to the mall.,so,1,1,experimental,91,91,Yes,9,1,1,Llama 3.2 1B
The kids go to the mall therefore the kids do not go to the mall.,therefore,1,1,experimental,92,92,Yes,9,1,1,Llama 3.2 1B
The kids go to the mall but the kids do not go to the mall.,but,1,1,experimental,93,93,No,9,1,0,Llama 3.2 1B
The kids go to the mall when the kids do not go to the mall.,when,1,1,experimental,94,94,Yes,9,1,1,Llama 3.2 1B
The kids go to the mall although the kids do not go to the mall.,although,1,1,experimental,95,95,No,9,1,0,Llama 3.2 1B
The kids go to the mall or the kids do not go to the mall.,or,0,1,experimental,96,96,No,9,1,1,Llama 3.2 1B
Maybe the kids go to the mall, maybe the kids do not go to the mall.,maybe,0,1,experimental,97,97,No,9,1,1,Llama 3.2 1B
Perhaps the kids go to the mall, perhaps the kids do not go to the mall.,perhaps,0,1,experimental,98,98,No,9,1,1,Llama 3.2 1B
The kids might go to the mall and the kids might not go to the mall.,might,0,1,experimental,99,99,Yes,9,1,0,Llama 3.2 1B
The man has forgotten to do his homework and the man has not forgotten to do his homework.,and,1,1,experimental,100,100,Yes,10,1,1,Llama 3.2 1B
The man has forgotten to do his homework if the man has not forgotten to do his homework.,if,1,1,experimental,101,101,No,10,1,0,Llama 3.2 1B
The man has forgotten to do his homework so the man has not forgotten to do his homework.,so,1,1,experimental,102,102,Yes,10,1,1,Llama 3.2 1B
The man has forgotten to do his homework therefore the man has not forgotten to do his homework.,therefore,1,1,experimental,103,103,Yes,10,1,1,Llama 3.2 1B
The man has forgotten to do his homework but the man has not forgotten to do his homework.,but,1,1,experimental,104,104,Yes,10,1,1,Llama 3.2 1B
The man has forgotten to do his homework when the man has not forgotten to do his homework.,when,1,1,experimental,105,105,Yes,10,1,1,Llama 3.2 1B
The man has forgotten to do his homework although the man has not forgotten to do his homework.,although,1,1,experimental,106,106,No,10,1,0,Llama 3.2 1B
The man has forgotten to do his homework or the man has not forgotten to do his homework.,or,0,1,experimental,107,107,Yes,10,1,0,Llama 3.2 1B
Maybe the man has forgotten to do his homework, maybe the man has not forgotten to do his homework.,maybe,0,1,experimental,108,108,Yes,10,1,0,Llama 3.2 1B
Perhaps the man has forgotten to do his homework, perhaps the man has not forgotten to do his homework.,perhaps,0,1,experimental,109,109,No,10,1,1,Llama 3.2 1B
The man might have forgotten to do his homework and the man might not have forgotten to do his homework.,might,0,1,experimental,110,110,No,10,1,1,Llama 3.2 1B
The mansion has ten rooms and the mansion does not have ten rooms.,and,1,1,experimental,111,111,No,11,1,0,Llama 3.2 1B
The mansion has ten rooms if the mansion does not have ten rooms.,if,1,1,experimental,112,112,Yes,11,1,1,Llama 3.2 1B
The mansion has ten rooms so the mansion does not have ten rooms.,so,1,1,experimental,113,113,Yes,11,1,1,Llama 3.2 1B
The mansion has ten rooms therefore the mansion does not have ten rooms.,therefore,1,1,experimental,114,114,No,11,1,0,Llama 3.2 1B
The mansion has ten rooms but the mansion does not have ten rooms.,but,1,1,experimental,115,115,No,11,1,0,Llama 3.2 1B
The mansion has ten rooms when the mansion does not have ten rooms.,when,1,1,experimental,116,116,No,11,1,0,Llama 3.2 1B
The mansion has ten rooms although the mansion does not have ten rooms.,although,1,1,experimental,117,117,No,11,1,0,Llama 3.2 1B
The mansion has ten rooms or the mansion does not have ten rooms.,or,0,1,experimental,118,118,Yes,11,1,0,Llama 3.2 1B
Maybe the mansion has ten rooms, maybe the mansion does not have ten rooms.,maybe,0,1,experimental,119,119,Yes,11,1,0,Llama 3.2 1B
Perhaps the mansion has ten rooms, perhaps the mansion does not have ten rooms.,perhaps,0,1,experimental,120,120,No,11,1,1,Llama 3.2 1B
The mansion might have ten rooms and the mansion might not have ten rooms.,might,0,1,experimental,121,121,Yes,11,1,0,Llama 3.2 1B
The tea in the kettle is done brewing and the tea in the kettle is not done brewing.,and,1,1,experimental,122,122,No,12,1,0,Llama 3.2 1B
The tea in the kettle is done brewing if the tea in the kettle is not done brewing.,if,1,1,experimental,123,123,No,12,1,0,Llama 3.2 1B
The tea in the kettle is done brewing so the tea in the kettle is not done brewing.,so,1,1,experimental,124,124,No,12,1,0,Llama 3.2 1B
The tea in the kettle is done brewing therefore the tea in the kettle is not done brewing.,therefore,1,1,experimental,125,125,No,12,1,0,Llama 3.2 1B
The tea in the kettle is done brewing but the tea in the kettle is not done brewing.,but,1,1,experimental,126,126,No,12,1,0,Llama 3.2 1B
The tea in the kettle is done brewing when the tea in the kettle is not done brewing.,when,1,1,experimental,127,127,Yes,12,1,1,Llama 3.2 1B
The tea in the kettle is done brewing although the tea in the kettle is not done brewing.,although,1,1,experimental,128,128,Yes,12,1,1,Llama 3.2 1B
The tea in the kettle is done brewing or the tea in the kettle is not done brewing.,or,0,1,experimental,129,129,No,12,1,1,Llama 3.2 1B
Maybe the tea in the kettle is done brewing, maybe the tea in the kettle is not done brewing.,maybe,0,1,experimental,130,130,No,12,1,1,Llama 3.2 1B
Perhaps the tea in the kettle is done brewing, perhaps the tea in the kettle is not done brewing.,perhaps,0,1,experimental,131,131,Yes,12,1,0,Llama 3.2 1B
The tea in the kettle might be done brewing and the tea in the kettle might not be done brewing.,might,0,1,experimental,132,132,No,12,1,1,Llama 3.2 1B
The teacher assigned homework for the week and the teacher did not assign homework for the week.,and,1,1,experimental,133,133,Yes,13,1,1,Llama 3.2 1B
The teacher assigned homework for the week if the teacher did not assign homework for the week.,if,1,1,experimental,134,134,No,13,1,0,Llama 3.2 1B
The teacher assigned homework for the week so the teacher did not assign homework for the week.,so,1,1,experimental,135,135,No,13,1,0,Llama 3.2 1B
The teacher assigned homework for the week therefore the teacher did not assign homework for the week.,therefore,1,1,experimental,136,136,No,13,1,0,Llama 3.2 1B
The teacher assigned homework for the week but the teacher did not assign homework for the week.,but,1,1,experimental,137,137,Yes,13,1,1,Llama 3.2 1B
The teacher assigned homework for the week when the teacher did not assign homework for the week.,when,1,1,experimental,138,138,No,13,1,0,Llama 3.2 1B
The teacher assigned homework for the week although the teacher did not assign homework for the week.,although,1,1,experimental,139,139,Yes,13,1,1,Llama 3.2 1B
The teacher assigned homework for the week or the teacher did not assign homework for the week.,or,0,1,experimental,140,140,No,13,1,1,Llama 3.2 1B
Maybe the teacher assigned homework for the week, maybe the teacher did not assign homework for the week.,maybe,0,1,experimental,141,141,No,13,1,1,Llama 3.2 1B
Perhaps the teacher assigned homework for the week, perhaps the teacher did not assign homework for the week.,perhaps,0,1,experimental,142,142,No,13,1,1,Llama 3.2 1B
The teacher might assign homework for the week and the teacher might not assign homework for the week.,might,0,1,experimental,143,143,No,13,1,1,Llama 3.2 1B
I ran into my classmate at the mall and I did not run into my classmate at the mall.,and,1,1,experimental,144,144,Yes,14,1,1,Llama 3.2 1B
I ran into my classmate at the mall if I did not run into my classmate at the mall.,if,1,1,experimental,145,145,No,14,1,0,Llama 3.2 1B
I ran into my classmate at the mall so I did not run into my classmate at the mall.,so,1,1,experimental,146,146,No,14,1,0,Llama 3.2 1B
I ran into my classmate at the mall therefore I did not run into my classmate at the mall.,therefore,1,1,experimental,147,147,No,14,1,0,Llama 3.2 1B
I ran into my classmate at the mall but I did not run into my classmate at the mall.,but,1,1,experimental,148,148,No,14,1,0,Llama 3.2 1B
I ran into my classmate at the mall when I did not run into my classmate at the mall.,when,1,1,experimental,149,149,No,14,1,0,Llama 3.2 1B
I ran into my classmate at the mall although I did not run into my classmate at the mall.,although,1,1,experimental,150,150,Yes,14,1,1,Llama 3.2 1B
I ran into my classmate at the mall or I did not run into my classmate at the mall.,or,0,1,experimental,151,151,No,14,1,1,Llama 3.2 1B
Maybe I ran into my classmate at the mall, maybe I did not run into my classmate at the mall.,maybe,0,1,experimental,152,152,Yes,14,1,0,Llama 3.2 1B
Perhaps I ran into my classmate at the mall, perhaps I did not run into my classmate at the mall.,perhaps,0,1,experimental,153,153,No,14,1,1,Llama 3.2 1B
I might run into my classmate at the mall and I might not run into my classmate at the mall.,might,0,1,experimental,154,154,No,14,1,1,Llama 3.2 1B
I called Anna twice today and I did not call Anna twice today.,and,1,1,experimental,155,155,No,15,1,0,Llama 3.2 1B
I called Anna twice today if I did not call Anna twice today.,if,1,1,experimental,156,156,No,15,1,0,Llama 3.2 1B
I called Anna twice today so I did not call Anna twice today.,so,1,1,experimental,157,157,No,15,1,0,Llama 3.2 1B
I called Anna twice today therefore I did not call Anna twice today.,therefore,1,1,experimental,158,158,No,15,1,0,Llama 3.2 1B
I called Anna twice today but I did not call Anna twice today.,but,1,1,experimental,159,159,No,15,1,0,Llama 3.2 1B
I called Anna twice today when I did not call Anna twice today.,when,1,1,experimental,160,160,No,15,1,0,Llama 3.2 1B
I called Anna twice today although I did not call Anna twice today.,although,1,1,experimental,161,161,Yes,15,1,1,Llama 3.2 1B
I called Anna twice today or I did not call Anna twice today.,or,0,1,experimental,162,162,No,15,1,1,Llama 3.2 1B
Maybe I called Anna twice today, maybe I did not call Anna twice today.,maybe,0,1,experimental,163,163,Yes,15,1,0,Llama 3.2 1B
Perhaps I called Anna twice today, perhaps I did not call Anna twice today.,perhaps,0,1,experimental,164,164,Yes,15,1,0,Llama 3.2 1B
I might call Anna twice today and I might not call Anna twice today.,might,0,1,experimental,165,165,No,15,1,1,Llama 3.2 1B
This wedding ceremony was held outdoors and this wedding ceremony was not held outdoors.,and,1,1,experimental,166,166,Yes,16,1,1,Llama 3.2 1B
This wedding ceremony was held outdoors if this wedding ceremony was not held outdoors.,if,1,1,experimental,167,167,No,16,1,0,Llama 3.2 1B
This wedding ceremony was held outdoors so this wedding ceremony was not held outdoors.,so,1,1,experimental,168,168,No,16,1,0,Llama 3.2 1B
This wedding ceremony was held outdoors therefore this wedding ceremony was not held outdoors.,therefore,1,1,experimental,169,169,Yes,16,1,1,Llama 3.2 1B
This wedding ceremony was held outdoors but this wedding ceremony was not held outdoors.,but,1,1,experimental,170,170,Yes,16,1,1,Llama 3.2 1B
This wedding ceremony was held outdoors when this wedding ceremony was not held outdoors.,when,1,1,experimental,171,171,No,16,1,0,Llama 3.2 1B
This wedding ceremony was held outdoors although this wedding ceremony was not held outdoors.,although,1,1,experimental,172,172,Yes,16,1,1,Llama 3.2 1B
This wedding ceremony was held outdoors or this wedding ceremony was not held outdoors.,or,0,1,experimental,173,173,No,16,1,1,Llama 3.2 1B
Maybe this wedding ceremony was held outdoors, maybe this wedding ceremony was not held outdoors.,maybe,0,1,experimental,174,174,Yes,16,1,0,Llama 3.2 1B
Perhaps this wedding ceremony was held outdoors, perhaps this wedding ceremony was not held outdoors.,perhaps,0,1,experimental,175,175,No,16,1,1,Llama 3.2 1B
This wedding ceremony might be held outdoors and this wedding ceremony might not be held outdoors.,might,0,1,experimental,176,176,No,16,1,1,Llama 3.2 1B
The soccer game was very exciting and the soccer game was not very exciting.,and,1,1,experimental,177,177,Yes,17,1,1,Llama 3.2 1B
The soccer game was very exciting if the soccer game was not very exciting.,if,1,1,experimental,178,178,No,17,1,0,Llama 3.2 1B
The soccer game was very exciting so the soccer game was not very exciting.,so,1,1,experimental,179,179,No,17,1,0,Llama 3.2 1B
The soccer game was very exciting therefore the soccer game was not very exciting.,therefore,1,1,experimental,180,180,Yes,17,1,1,Llama 3.2 1B
The soccer game was very exciting but the soccer game was not very exciting.,but,1,1,experimental,181,181,No,17,1,0,Llama 3.2 1B
The soccer game was very exciting when the soccer game was not very exciting.,when,1,1,experimental,182,182,No,17,1,0,Llama 3.2 1B
The soccer game was very exciting although the soccer game was not very exciting.,although,1,1,experimental,183,183,No,17,1,0,Llama 3.2 1B
The soccer game was very exciting or the soccer game was not very exciting.,or,0,1,experimental,184,184,Yes,17,1,0,Llama 3.2 1B
Maybe the soccer game was very exciting, maybe the soccer game was not very exciting.,maybe,0,1,experimental,185,185,Yes,17,1,0,Llama 3.2 1B
Perhaps the soccer game was very exciting, perhaps the soccer game was not very exciting.,perhaps,0,1,experimental,186,186,Yes,17,1,0,Llama 3.2 1B
The soccer game might be very exciting and the soccer game might not be very exciting.,might,0,1,experimental,187,187,Yes,17,1,0,Llama 3.2 1B
The trash is overflowing in my apartment and the trash is not overflowing in my apartment.,and,1,1,experimental,188,188,No,18,1,0,Llama 3.2 1B
The trash is overflowing in my apartment if the trash is not overflowing in my apartment.,if,1,1,experimental,189,189,No,18,1,0,Llama 3.2 1B
The trash is overflowing in my apartment so the trash is not overflowing in my apartment.,so,1,1,experimental,190,190,Yes,18,1,1,Llama 3.2 1B
The trash is overflowing in my apartment therefore the trash is not overflowing in my apartment.,therefore,1,1,experimental,191,191,Yes,18,1,1,Llama 3.2 1B
The trash is overflowing in my apartment but the trash is not overflowing in my apartment.,but,1,1,experimental,192,192,No,18,1,0,Llama 3.2 1B
The trash is overflowing in my apartment when the trash is not overflowing in my apartment.,when,1,1,experimental,193,193,No,18,1,0,Llama 3.2 1B
The trash is overflowing in my apartment although the trash is not overflowing in my apartment.,although,1,1,experimental,194,194,No,18,1,0,Llama 3.2 1B
The trash is overflowing in my apartment or the trash is not overflowing in my apartment.,or,0,1,experimental,195,195,Yes,18,1,0,Llama 3.2 1B
Maybe the trash is overflowing in my apartment, maybe the trash is not overflowing in my apartment.,maybe,0,1,experimental,196,196,No,18,1,1,Llama 3.2 1B
Perhaps the trash is overflowing in my apartment, perhaps the trash is not overflowing in my apartment.,perhaps,0,1,experimental,197,197,Yes,18,1,0,Llama 3.2 1B
The trash might be overflowing in my apartment and the trash might not be overflowing in my apartment.,might,0,1,experimental,198,198,No,18,1,1,Llama 3.2 1B
My dog weighs ten pounds and my dog does not weigh ten pounds.,and,1,1,experimental,199,199,No,19,1,0,Llama 3.2 1B
My dog weighs ten pounds if my dog does not weigh ten pounds.,if,1,1,experimental,200,200,No,19,1,0,Llama 3.2 1B
My dog weighs ten pounds so my dog does not weigh ten pounds.,so,1,1,experimental,201,201,No,19,1,0,Llama 3.2 1B
My dog weighs ten pounds therefore my dog does not weigh ten pounds.,therefore,1,1,experimental,202,202,No,19,1,0,Llama 3.2 1B
My dog weighs ten pounds but my dog does not weigh ten pounds.,but,1,1,experimental,203,203,Yes,19,1,1,Llama 3.2 1B
My dog weighs ten pounds when my dog does not weigh ten pounds.,when,1,1,experimental,204,204,Yes,19,1,1,Llama 3.2 1B
My dog weighs ten pounds although my dog does not weigh ten pounds.,although,1,1,experimental,205,205,No,19,1,0,Llama 3.2 1B
My dog weighs ten pounds or my dog does not weigh ten pounds.,or,0,1,experimental,206,206,No,19,1,1,Llama 3.2 1B
Maybe my dog weighs ten pounds, maybe my dog does not weigh ten pounds.,maybe,0,1,experimental,207,207,No,19,1,1,Llama 3.2 1B
Perhaps my dog weighs ten pounds, perhaps my dog does not weigh ten pounds.,perhaps,0,1,experimental,208,208,No,19,1,1,Llama 3.2 1B
My dog might weigh ten pounds and my dog might not weigh ten pounds.,might,0,1,experimental,209,209,No,19,1,1,Llama 3.2 1B
The tree in my backyard has green leaves and the tree in my backyard does not have green leaves.,and,1,1,experimental,210,210,Yes,20,1,1,Llama 3.2 1B
The tree in my backyard has green leaves if the tree in my backyard does not have green leaves.,if,1,1,experimental,211,211,Yes,20,1,1,Llama 3.2 1B
The tree in my backyard has green leaves so the tree in my backyard does not have green leaves.,so,1,1,experimental,212,212,Yes,20,1,1,Llama 3.2 1B
The tree in my backyard has green leaves therefore the tree in my backyard does not have green leaves.,therefore,1,1,experimental,213,213,No,20,1,0,Llama 3.2 1B
The tree in my backyard has green leaves but the tree in my backyard does not have green leaves.,but,1,1,experimental,214,214,No,20,1,0,Llama 3.2 1B
The tree in my backyard has green leaves when the tree in my backyard does not have green leaves.,when,1,1,experimental,215,215,No,20,1,0,Llama 3.2 1B
The tree in my backyard has green leaves although the tree in my backyard does not have green leaves.,although,1,1,experimental,216,216,No,20,1,0,Llama 3.2 1B
The tree in my backyard has green leaves or the tree in my backyard does not have green leaves.,or,0,1,experimental,217,217,No,20,1,1,Llama 3.2 1B
Maybe the tree in my backyard has green leaves, maybe the tree in my backyard does not have green leaves.,maybe,0,1,experimental,218,218,No,20,1,1,Llama 3.2 1B
Perhaps the tree in my backyard has green leaves, perhaps the tree in my backyard does not have green leaves.,perhaps,0,1,experimental,219,219,No,20,1,1,Llama 3.2 1B
The tree in my backyard might have green leaves and the tree in my backyard might not have green leaves.,might,0,1,experimental,220,220,No,20,1,1,Llama 3.2 1B
My sister told me to walk the dog and my sister did not tell me to walk the dog.,and,1,1,experimental,221,221,Yes,21,1,1,Llama 3.2 1B
My sister told me to walk the dog if my sister did not tell me to walk the dog.,if,1,1,experimental,222,222,No,21,1,0,Llama 3.2 1B
My sister told me to walk the dog so my sister did not tell me to walk the dog.,so,1,1,experimental,223,223,Yes,21,1,1,Llama 3.2 1B
My sister told me to walk the dog therefore my sister did not tell me to walk the dog.,therefore,1,1,experimental,224,224,No,21,1,0,Llama 3.2 1B
My sister told me to walk the dog but my sister did not tell me to walk the dog.,but,1,1,experimental,225,225,Yes,21,1,1,Llama 3.2 1B
My sister told me to walk the dog when my sister did not tell me to walk the dog.,when,1,1,experimental,226,226,No,21,1,0,Llama 3.2 1B
My sister told me to walk the dog although my sister did not tell me to walk the dog.,although,1,1,experimental,227,227,Yes,21,1,1,Llama 3.2 1B
My sister told me to walk the dog or my sister did not tell me to walk the dog.,or,0,1,experimental,228,228,No,21,1,1,Llama 3.2 1B
Maybe my sister told me to walk the dog, maybe my sister did not tell me to walk the dog.,maybe,0,1,experimental,229,229,No,21,1,1,Llama 3.2 1B
Perhaps my sister told me to walk the dog, perhaps my sister did not tell me to walk the dog.,perhaps,0,1,experimental,230,230,Yes,21,1,0,Llama 3.2 1B
My sister might tell me to walk the dog and my sister might not tell me to walk the dog.,might,0,1,experimental,231,231,No,21,1,1,Llama 3.2 1B
