Sentence,Connective,Contradiction,Instructions,Type,Original order,Total order,Response
I ran into my classmate at the mall if I did not run into my classmate at the mall.,if,1,1,experimental,145,145,Yes
I ran into my classmate at the mall so I did not run into my classmate at the mall.,so,1,1,experimental,146,146,Yes
I ran into my classmate at the mall therefore I did not run into my classmate at the mall.,therefore,1,1,experimental,147,147,Yes
I ran into my classmate at the mall but I did not run into my classmate at the mall.,but,1,1,experimental,148,148,Yes.
I ran into my classmate at the mall when I did not run into my classmate at the mall.,when,1,1,experimental,149,149,Yes
I ran into my classmate at the mall although I did not run into my classmate at the mall.,although,1,1,experimental,150,150,Yes
I ran into my classmate at the mall or I did not run into my classmate at the mall.,or,0,1,experimental,151,151,No
"Maybe I ran into my classmate at the mall, maybe I did not run into my classmate at the mall.",maybe,0,1,experimental,152,152,No
"Perhaps I ran into my classmate at the mall, perhaps I did not run into my classmate at the mall.",perhaps,0,1,experimental,153,153,No
I might run into my classmate at the mall and I might not run into my classmate at the mall.,might,0,1,experimental,154,154,No
I called Anna twice today and I did not call Anna twice today.,and,1,1,experimental,155,155,yes
I called Anna twice today if I did not call Anna twice today.,if,1,1,experimental,156,156,Yes
I called Anna twice today so I did not call Anna twice today.,so,1,1,experimental,157,157,Yes
I called Anna twice today therefore I did not call Anna twice today.,therefore,1,1,experimental,158,158,Yes.
I called Anna twice today but I did not call Anna twice today.,but,1,1,experimental,159,159,yes
I called Anna twice today when I did not call Anna twice today.,when,1,1,experimental,160,160,Yes
I called Anna twice today although I did not call Anna twice today.,although,1,1,experimental,161,161,Yes
I called Anna twice today or I did not call Anna twice today.,or,0,1,experimental,162,162,No
"Maybe I called Anna twice today, maybe I did not call Anna twice today.",maybe,0,1,experimental,163,163,Yes
"Perhaps I called Anna twice today, perhaps I did not call Anna twice today.",perhaps,0,1,experimental,164,164,Yes
I might call Anna twice today and I might not call Anna twice today.,might,0,1,experimental,165,165,No
This wedding ceremony was held outdoors and this wedding ceremony was not held outdoors.,and,1,1,experimental,166,166,Yes.
This wedding ceremony was held outdoors if this wedding ceremony was not held outdoors.,if,1,1,experimental,167,167,Yes.
This wedding ceremony was held outdoors so this wedding ceremony was not held outdoors.,so,1,1,experimental,168,168,yes
This wedding ceremony was held outdoors therefore this wedding ceremony was not held outdoors.,therefore,1,1,experimental,169,169,Yes
This wedding ceremony was held outdoors but this wedding ceremony was not held outdoors.,but,1,1,experimental,170,170,Yes
This wedding ceremony was held outdoors when this wedding ceremony was not held outdoors.,when,1,1,experimental,171,171,Yes
This wedding ceremony was held outdoors although this wedding ceremony was not held outdoors.,although,1,1,experimental,172,172,yes
This wedding ceremony was held outdoors or this wedding ceremony was not held outdoors.,or,0,1,experimental,173,173,No
"Maybe this wedding ceremony was held outdoors, maybe this wedding ceremony was not held outdoors.",maybe,0,1,experimental,174,174,no
"Perhaps this wedding ceremony was held outdoors, perhaps this wedding ceremony was not held outdoors.",perhaps,0,1,experimental,175,175,No
This wedding ceremony might be held outdoors and this wedding ceremony might not be held outdoors.,might,0,1,experimental,176,176,Yes
The soccer game was very exciting and the soccer game was not very exciting.,and,1,1,experimental,177,177,Yes.
The soccer game was very exciting if the soccer game was not very exciting.,if,1,1,experimental,178,178,Yes
The soccer game was very exciting so the soccer game was not very exciting.,so,1,1,experimental,179,179,yes
The soccer game was very exciting therefore the soccer game was not very exciting.,therefore,1,1,experimental,180,180,Yes
The soccer game was very exciting but the soccer game was not very exciting.,but,1,1,experimental,181,181,Yes.
The soccer game was very exciting when the soccer game was not very exciting.,when,1,1,experimental,182,182,yes
The soccer game was very exciting although the soccer game was not very exciting.,although,1,1,experimental,183,183,yes
The soccer game was very exciting or the soccer game was not very exciting.,or,0,1,experimental,184,184,No
"Maybe the soccer game was very exciting, maybe the soccer game was not very exciting.",maybe,0,1,experimental,185,185,no
"Perhaps the soccer game was very exciting, perhaps the soccer game was not very exciting.",perhaps,0,1,experimental,186,186,Yes.
The soccer game might be very exciting and the soccer game might not be very exciting.,might,0,1,experimental,187,187,No
The trash is overflowing in my apartment and the trash is not overflowing in my apartment.,and,1,1,experimental,188,188,Yes.
The trash is overflowing in my apartment if the trash is not overflowing in my apartment.,if,1,1,experimental,189,189,Yes
The trash is overflowing in my apartment so the trash is not overflowing in my apartment.,so,1,1,experimental,190,190,Yes
The trash is overflowing in my apartment therefore the trash is not overflowing in my apartment.,therefore,1,1,experimental,191,191,Yes
The trash is overflowing in my apartment but the trash is not overflowing in my apartment.,but,1,1,experimental,192,192,Yes.
The trash is overflowing in my apartment when the trash is not overflowing in my apartment.,when,1,1,experimental,193,193,Yes
The trash is overflowing in my apartment although the trash is not overflowing in my apartment.,although,1,1,experimental,194,194,Yes
The trash is overflowing in my apartment or the trash is not overflowing in my apartment.,or,0,1,experimental,195,195,No
"Maybe the trash is overflowing in my apartment, maybe the trash is not overflowing in my apartment.",maybe,0,1,experimental,196,196,No
"Perhaps the trash is overflowing in my apartment, perhaps the trash is not overflowing in my apartment.",perhaps,0,1,experimental,197,197,No
The trash might be overflowing in my apartment and the trash might not be overflowing in my apartment.,might,0,1,experimental,198,198,No
My dog weighs ten pounds and my dog does not weigh ten pounds.,and,1,1,experimental,199,199,yes
My dog weighs ten pounds if my dog does not weigh ten pounds.,if,1,1,experimental,200,200,Yes
My dog weighs ten pounds so my dog does not weigh ten pounds.,so,1,1,experimental,201,201,Yes
My dog weighs ten pounds therefore my dog does not weigh ten pounds.,therefore,1,1,experimental,202,202,Yes.
My dog weighs ten pounds but my dog does not weigh ten pounds.,but,1,1,experimental,203,203,Yes.
My dog weighs ten pounds when my dog does not weigh ten pounds.,when,1,1,experimental,204,204,yes
My dog weighs ten pounds although my dog does not weigh ten pounds.,although,1,1,experimental,205,205,Yes
My dog weighs ten pounds or my dog does not weigh ten pounds.,or,0,1,experimental,206,206,Yes.
"Maybe my dog weighs ten pounds, maybe my dog does not weigh ten pounds.",maybe,0,1,experimental,207,207,No
"Perhaps my dog weighs ten pounds, perhaps my dog does not weigh ten pounds.",perhaps,0,1,experimental,208,208,No
My dog might weigh ten pounds and my dog might not weigh ten pounds.,might,0,1,experimental,209,209,Yes
The tree in my backyard has green leaves and the tree in my backyard does not have green leaves.,and,1,1,experimental,210,210,yes
The tree in my backyard has green leaves if the tree in my backyard does not have green leaves.,if,1,1,experimental,211,211,Yes
The tree in my backyard has green leaves so the tree in my backyard does not have green leaves.,so,1,1,experimental,212,212,Yes.
The tree in my backyard has green leaves therefore the tree in my backyard does not have green leaves.,therefore,1,1,experimental,213,213,Yes
The tree in my backyard has green leaves but the tree in my backyard does not have green leaves.,but,1,1,experimental,214,214,Yes.
The tree in my backyard has green leaves when the tree in my backyard does not have green leaves.,when,1,1,experimental,215,215,Yes
The tree in my backyard has green leaves although the tree in my backyard does not have green leaves.,although,1,1,experimental,216,216,Yes
The tree in my backyard has green leaves or the tree in my backyard does not have green leaves.,or,0,1,experimental,217,217,No.
"Maybe the tree in my backyard has green leaves, maybe the tree in my backyard does not have green leaves.",maybe,0,1,experimental,218,218,Yes.
"Perhaps the tree in my backyard has green leaves, perhaps the tree in my backyard does not have green leaves.",perhaps,0,1,experimental,219,219,Yes.
The tree in my backyard might have green leaves and the tree in my backyard might not have green leaves.,might,0,1,experimental,220,220,No
My sister told me to walk the dog and my sister did not tell me to walk the dog.,and,1,1,experimental,221,221,Yes.
My sister told me to walk the dog if my sister did not tell me to walk the dog.,if,1,1,experimental,222,222,Yes
My sister told me to walk the dog so my sister did not tell me to walk the dog.,so,1,1,experimental,223,223,Yes
My sister told me to walk the dog therefore my sister did not tell me to walk the dog.,therefore,1,1,experimental,224,224,Yes
My sister told me to walk the dog but my sister did not tell me to walk the dog.,but,1,1,experimental,225,225,Yes.
My sister told me to walk the dog when my sister did not tell me to walk the dog.,when,1,1,experimental,226,226,Yes
My sister told me to walk the dog although my sister did not tell me to walk the dog.,although,1,1,experimental,227,227,Yes
My sister told me to walk the dog or my sister did not tell me to walk the dog.,or,0,1,experimental,228,228,No
"Maybe my sister told me to walk the dog, maybe my sister did not tell me to walk the dog.",maybe,0,1,experimental,229,229,No
"Perhaps my sister told me to walk the dog, perhaps my sister did not tell me to walk the dog.",perhaps,0,1,experimental,230,230,No
My sister might tell me to walk the dog and my sister might not tell me to walk the dog.,might,0,1,experimental,231,231,No
The books on the shelf are all hard cover and the books on the shelf are not all hard cover.,and,1,1,experimental,232,232,Yes.
The books on the shelf are all hard cover if the books on the shelf are not all hard cover.,if,1,1,experimental,233,233,Yes
The books on the shelf are all hard cover so the books on the shelf are not all hard cover.,so,1,1,experimental,234,234,Yes.
The books on the shelf are all hard cover therefore the books on the shelf are not all hard cover.,therefore,1,1,experimental,235,235,yes
The books on the shelf are all hard cover but the books on the shelf are not all hard cover.,but,1,1,experimental,236,236,Yes.
The books on the shelf are all hard cover when the books on the shelf are not all hard cover.,when,1,1,experimental,237,237,Yes
The books on the shelf are all hard cover although the books on the shelf are not all hard cover.,although,1,1,experimental,238,238,Yes
The books on the shelf are all hard cover or the books on the shelf are not all hard cover.,or,0,1,experimental,239,239,No
"Maybe the books on the shelf are all hard cover, maybe the books on the shelf are not all hard cover.",maybe,0,1,experimental,240,240,No
"Perhaps the books on the shelf are all hard cover, perhaps the books on the shelf are not all hard cover.",perhaps,0,1,experimental,241,241,No
The books on the shelf might be all hard cover and the books on the shelf might not be all hard cover.,might,0,1,experimental,242,242,No
The school bus comes on time and the school bus does not come on time.,and,1,1,experimental,243,243,Yes
The school bus comes on time if the school bus does not come on time.,if,1,1,experimental,244,244,Yes
The school bus comes on time so the school bus does not come on time.,so,1,1,experimental,245,245,yes
The school bus comes on time therefore the school bus does not come on time.,therefore,1,1,experimental,246,246,Yes.
The school bus comes on time but the school bus does not come on time.,but,1,1,experimental,247,247,Yes.
The school bus comes on time when the school bus does not come on time.,when,1,1,experimental,248,248,Yes
The school bus comes on time although the school bus does not come on time.,although,1,1,experimental,249,249,Yes
The school bus comes on time or the school bus does not come on time.,or,0,1,experimental,250,250,No.
"Maybe the school bus comes on time, maybe the school bus does not come on time.",maybe,0,1,experimental,251,251,no
"Perhaps the school bus comes on time, perhaps the school bus does not come on time.",perhaps,0,1,experimental,252,252,No
The school bus might come on time and the school bus might not come on time.,might,0,1,experimental,253,253,No
Friendship is very important to Sarah and Friendship is not very important to Sarah.,and,1,1,experimental,254,254,Yes
Friendship is very important to Sarah if Friendship is not very important to Sarah.,if,1,1,experimental,255,255,Yes
Friendship is very important to Sarah so Friendship is not very important to Sarah.,so,1,1,experimental,256,256,Yes.
Friendship is very important to Sarah therefore Friendship is not very important to Sarah.,therefore,1,1,experimental,257,257,yes
Friendship is very important to Sarah but Friendship is not very important to Sarah.,but,1,1,experimental,258,258,yes
Friendship is very important to Sarah when Friendship is not very important to Sarah.,when,1,1,experimental,259,259,Yes
Friendship is very important to Sarah although Friendship is not very important to Sarah.,although,1,1,experimental,260,260,yes
Friendship is very important to Sarah or Friendship is not very important to Sarah.,or,0,1,experimental,261,261,No
"Maybe Friendship is very important to Sarah ., maybe Friendship is not very important to Sarah.",maybe,0,1,experimental,262,262,No
"Perhaps Friendship is very important to Sarah ., perhaps Friendship is not very important to Sarah.",perhaps,0,1,experimental,263,263,no
Friendship might be very important to Sarah and Friendship might not be very important to Sarah.,might,0,1,experimental,264,264,No
The baseball cap helps keep the sun off my face and the baseball cap does not help keep the sun off my face.,and,1,1,experimental,265,265,yes
The baseball cap helps keep the sun off my face if the baseball cap does not help keep the sun off my face.,if,1,1,experimental,266,266,Yes
The baseball cap helps keep the sun off my face so the baseball cap does not help keep the sun off my face.,so,1,1,experimental,267,267,Yes.
The baseball cap helps keep the sun off my face therefore the baseball cap does not help keep the sun off my face.,therefore,1,1,experimental,268,268,yes
The baseball cap helps keep the sun off my face but the baseball cap does not help keep the sun off my face.,but,1,1,experimental,269,269,Yes.
The baseball cap helps keep the sun off my face when the baseball cap does not help keep the sun off my face.,when,1,1,experimental,270,270,yes
The baseball cap helps keep the sun off my face although the baseball cap does not help keep the sun off my face.,although,1,1,experimental,271,271,yes
The baseball cap helps keep the sun off my face or the baseball cap does not help keep the sun off my face.,or,0,1,experimental,272,272,No.
"Maybe the baseball cap helps keep the sun off my face, maybe the baseball cap does not help keep the sun off my face.",maybe,0,1,experimental,273,273,No
"Perhaps the baseball cap helps keep the sun off my face, perhaps the baseball cap does not help keep the sun off my face.",perhaps,0,1,experimental,274,274,No
The baseball cap might help keep the sun off my face and the baseball cap might not help keep the sun off my face.,might,0,1,experimental,275,275,No
I drove to the store to buy some milk and I did not drive to the store to buy some milk.,and,1,1,experimental,276,276,Yes
I drove to the store to buy some milk if I did not drive to the store to buy some milk.,if,1,1,experimental,277,277,Yes
I drove to the store to buy some milk so I did not drive to the store to buy some milk.,so,1,1,experimental,278,278,Yes
I drove to the store to buy some milk therefore I did not drive to the store to buy some milk.,therefore,1,1,experimental,279,279,Yes.
I drove to the store to buy some milk but I did not drive to the store to buy some milk.,but,1,1,experimental,280,280,Yes
I drove to the store to buy some milk when I did not drive to the store to buy some milk.,when,1,1,experimental,281,281,Yes
I drove to the store to buy some milk although I did not drive to the store to buy some milk.,although,1,1,experimental,282,282,yes
I drove to the store to buy some milk or I did not drive to the store to buy some milk.,or,0,1,experimental,283,283,Yes
"Maybe I drove to the store to buy some milk, maybe I did not drive to the store to buy some milk.",maybe,0,1,experimental,284,284,Yes
"Perhaps I drove to the store to buy some milk, perhaps I did not drive to the store to buy some milk.",perhaps,0,1,experimental,285,285,No
I might drive to the store to buy some milk and I might not drive to the store to buy some milk.,might,0,1,experimental,286,286,No
"Perhaps the cat does not chase the mouse, perhaps the kids do not go to the mall.",perhaps,0,1,control,287,287,no
The books on the shelf are all hard cover and I did not run into my classmate at the mall.,and,0,1,control,288,288,no
The dog is alive although the baseball cap does not help keep the sun off my face.,although,0,1,control,289,289,no
"Maybe Jim showed the man his tickets, maybe the dog is not alive.",maybe,0,1,control,290,290,No
I did not call Anna twice today when I did not run into my classmate at the mall.,when,0,1,control,291,291,yes
Friendship is very important to Sarah although the school bus does not come on time.,although,0,1,control,292,292,no
This wedding ceremony was held outdoors if the tea in the kettle is not done brewing.,if,0,1,control,293,293,Yes
Jim was not born in California although my dog weighs ten pounds.,although,0,1,control,294,294,no
"Maybe the tree in my backyard does not have green leaves, maybe she likes apples.",maybe,0,1,control,295,295,no
The cat chases the mouse but the trash is overflowing in my apartment.,but,0,1,control,296,296,no
The mansion has ten rooms or the tree in my backyard has green leaves.,or,0,1,control,297,297,No
I might call Anna twice today and friendship might not be very important to Sarah.,might,0,1,control,298,298,no
The kids do not go to the mall and this wedding ceremony was not held outdoors.,and,0,1,control,299,299,no
The books on the shelf are all hard cover if I ran into my classmate at the mall.,if,0,1,control,300,300,no
I drove to the store to buy some milk so this wedding ceremony was not held outdoors.,so,0,1,control,301,301,yes
The mansion might not have ten rooms and I might not run into my classmate at the mall.,might,0,1,control,302,302,no
"Maybe the tea in the kettle is not done brewing, maybe I ran into my classmate at the mall.",maybe,0,1,control,303,303,no
My sister did not tell me to walk the dog although I do not have a car.,although,0,1,control,304,304,No
I do not have a car therefore Friendship is not very important to Sarah.,therefore,0,1,control,305,305,No
Steve went to New York so my dog does not weigh ten pounds.,so,0,1,control,306,306,yes
My sister did not tell me to walk the dog so the school bus does not come on time.,so,0,1,control,307,307,no
The boy is not playing soccer so the boy is playing soccer.,so,0,1,control,308,308,Yes.
I did not drive to the store to buy some milk when the tree in my backyard has green leaves.,when,0,1,control,309,309,No
The man has forgotten to do his homework but I did not drive to the store to buy some milk.,but,0,1,control,310,310,no
I do not have a car although the kids go to the mall.,although,0,1,control,311,311,No
"Maybe the kids go to the mall, maybe the school bus does not come on time.",maybe,0,1,control,312,312,no
