Sentence,Connective,Contradiction,Type,Original order,Total order,LogProb
The cat chases the mouse but the cat does not chase the mouse.,but,1,experimental,38,38,[-2.918098958333333]
The cat chases the mouse when the cat does not chase the mouse.,when,1,experimental,39,39,[-2.937109375]
The cat chases the mouse although the cat does not chase the mouse.,although,1,experimental,40,40,[-3.1145263671875]
The cat chases the mouse or the cat does not chase the mouse.,or,0,experimental,41,41,[-2.6268025716145833]
"Maybe the cat chases the mouse, maybe the cat does not chase the mouse.",maybe,0,experimental,42,42,[-2.976418887867647]
"Perhaps the cat chases the mouse, perhaps the cat does not chase the mouse.",perhaps,0,experimental,43,43,[-2.9015251608455883]
The cat might chase the mouse and the cat might not chase the mouse.,might,0,experimental,44,44,[-3.079850260416667]
I have a car and I do not have a car.,and,1,experimental,45,45,[-3.2079264322916665]
I have a car if I do not have a car.,if,1,experimental,46,46,[-3.29931640625]
I have a car so I do not have a car.,so,1,experimental,47,47,[-3.708984375]
I have a car therefore I do not have a car.,therefore,1,experimental,48,48,[-3.7477213541666665]
I have a car but I do not have a car.,but,1,experimental,49,49,[-3.274017333984375]
I have a car when I do not have a car.,when,1,experimental,50,50,[-3.2044270833333335]
I have a car although I do not have a car.,although,1,experimental,51,51,[-3.7523396809895835]
I have a car or I do not have a car.,or,0,experimental,52,52,[-3.0554300944010415]
"Maybe I have a car, maybe I do not have a car.",maybe,0,experimental,53,53,[-2.8778599330357144]
"Perhaps I have a car, perhaps I do not have a car.",perhaps,0,experimental,54,54,[-2.944545200892857]
I might have a car and I might not have a car.,might,0,experimental,55,55,[-3.012432391826923]
The boy is playing soccer and the boy is not playing soccer.,and,1,experimental,56,56,[-3.2172475961538463]
The boy is playing soccer if the boy is not playing soccer.,if,1,experimental,57,57,[-3.5323768028846154]
The boy is playing soccer so the boy is not playing soccer.,so,1,experimental,58,58,[-3.6697716346153846]
The boy is playing soccer therefore the boy is not playing soccer.,therefore,1,experimental,59,59,[-3.8731971153846154]
The boy is playing soccer but the boy is not playing soccer.,but,1,experimental,60,60,[-3.5243389423076925]
The boy is playing soccer when the boy is not playing soccer.,when,1,experimental,61,61,[-3.866436298076923]
The boy is playing soccer although the boy is not playing soccer.,although,1,experimental,62,62,[-3.944110576923077]
The boy is playing soccer or the boy is not playing soccer.,or,0,experimental,63,63,[-3.5809560922475963]
"Maybe the boy is playing soccer, maybe the boy is not playing soccer.",maybe,0,experimental,64,64,[-3.3161946614583333]
"Perhaps the boy is playing soccer, perhaps the boy is not playing soccer.",perhaps,0,experimental,65,65,[-3.500439453125]
The boy might be playing soccer and the boy might not be playing soccer.,might,0,experimental,66,66,[-3.157515462239583]
Jim showed the man his tickets and Jim did not show the man his tickets.,and,1,experimental,67,67,[-3.9593505859375]
Jim showed the man his tickets if Jim did not show the man his tickets.,if,1,experimental,68,68,[-4.20758056640625]
Jim showed the man his tickets so Jim did not show the man his tickets.,so,1,experimental,69,69,[-4.30767822265625]
Jim showed the man his tickets therefore Jim did not show the man his tickets.,therefore,1,experimental,70,70,[-4.138427734375]
Jim showed the man his tickets but Jim did not show the man his tickets.,but,1,experimental,71,71,[-4.0192718505859375]
Jim showed the man his tickets when Jim did not show the man his tickets.,when,1,experimental,72,72,[-4.195556640625]
Jim showed the man his tickets although Jim did not show the man his tickets.,although,1,experimental,73,73,[-4.39129638671875]
Jim showed the man his tickets or Jim did not show the man his tickets.,or,0,experimental,74,74,[-3.880218505859375]
"Maybe Jim showed the man his tickets, maybe Jim did not show the man his tickets.",maybe,0,experimental,75,75,[-3.530422634548611]
"Perhaps Jim showed the man his tickets, perhaps Jim did not show the man his tickets.",perhaps,0,experimental,76,76,[-3.6383599175347223]
Jim might show the man his tickets and Jim might not show the man his tickets.,might,0,experimental,77,77,[-4.088098862591912]
Steve went to New York and Steve did not go to New York.,and,1,experimental,78,78,[-3.120326450892857]
Steve went to New York if Steve did not go to New York.,if,1,experimental,79,79,[-3.7623160226004466]
Steve went to New York so Steve did not go to New York.,so,1,experimental,80,80,[-3.6002371651785716]
Steve went to New York therefore Steve did not go to New York.,therefore,1,experimental,81,81,[-3.5475376674107144]
Steve went to New York but Steve did not go to New York.,but,1,experimental,82,82,[-3.1660679408482144]
Steve went to New York when Steve did not go to New York.,when,1,experimental,83,83,[-3.6652134486607144]
Steve went to New York although Steve did not go to New York.,although,1,experimental,84,84,[-3.728428431919643]
Steve went to New York or Steve did not go to New York.,or,0,experimental,85,85,[-3.5216004507882253]
"Maybe Steve went to New York, maybe Steve did not go to New York.",maybe,0,experimental,86,86,[-2.8332109451293945]
"Perhaps Steve went to New York, perhaps Steve did not go to New York.",perhaps,0,experimental,87,87,[-3.1697559356689453]
Steve might go to New York and Steve might not go to New York.,might,0,experimental,88,88,[-2.838482157389323]
The kids go to the mall and the kids do not go to the mall.,and,1,experimental,89,89,[-2.7762451171875]
The kids go to the mall if the kids do not go to the mall.,if,1,experimental,90,90,[-3.122802734375]
The kids go to the mall so the kids do not go to the mall.,so,1,experimental,91,91,[-3.20037841796875]
The kids go to the mall therefore the kids do not go to the mall.,therefore,1,experimental,92,92,[-3.37640380859375]
The kids go to the mall but the kids do not go to the mall.,but,1,experimental,93,93,[-3.09283447265625]
The kids go to the mall when the kids do not go to the mall.,when,1,experimental,94,94,[-2.990478515625]
The kids go to the mall although the kids do not go to the mall.,although,1,experimental,95,95,[-3.43505859375]
The kids go to the mall or the kids do not go to the mall.,or,0,experimental,96,96,[-3.199798583984375]
"Maybe the kids go to the mall, maybe the kids do not go to the mall.",maybe,0,experimental,97,97,[-2.682952880859375]
"Perhaps the kids go to the mall, perhaps the kids do not go to the mall.",perhaps,0,experimental,98,98,[-2.9959818522135415]
The kids might go to the mall and the kids might not go to the mall.,might,0,experimental,99,99,[-2.6020364200367645]
The man has forgotten to do his homework and the man has not forgotten to do his homework.,and,1,experimental,100,100,[-2.9354440789473686]
The man has forgotten to do his homework if the man has not forgotten to do his homework.,if,1,experimental,101,101,[-3.3609683388157894]
The man has forgotten to do his homework so the man has not forgotten to do his homework.,so,1,experimental,102,102,[-3.3723273026315788]
The man has forgotten to do his homework therefore the man has not forgotten to do his homework.,therefore,1,experimental,103,103,[-3.4327713815789473]
The man has forgotten to do his homework but the man has not forgotten to do his homework.,but,1,experimental,104,104,[-3.0096628289473686]
The man has forgotten to do his homework when the man has not forgotten to do his homework.,when,1,experimental,105,105,[-2.9739925986842106]
The man has forgotten to do his homework although the man has not forgotten to do his homework.,although,1,experimental,106,106,[-3.248458059210526]
The man has forgotten to do his homework or the man has not forgotten to do his homework.,or,0,experimental,107,107,[-2.911209909539474]
"Maybe the man has forgotten to do his homework, maybe the man has not forgotten to do his homework.",maybe,0,experimental,108,108,[-2.8792898995535716]
"Perhaps the man has forgotten to do his homework, perhaps the man has not forgotten to do his homework.",perhaps,0,experimental,109,109,[-2.853306361607143]
The man might have forgotten to do his homework and the man might not have forgotten to do his homework.,might,0,experimental,110,110,[-2.7183082217261907]
The mansion has ten rooms and the mansion does not have ten rooms.,and,1,experimental,111,111,[-3.586826869419643]
The mansion has ten rooms if the mansion does not have ten rooms.,if,1,experimental,112,112,[-4.319353376116071]
The mansion has ten rooms so the mansion does not have ten rooms.,so,1,experimental,113,113,[-3.929164341517857]
The mansion has ten rooms therefore the mansion does not have ten rooms.,therefore,1,experimental,114,114,[-4.021170479910714]
The mansion has ten rooms but the mansion does not have ten rooms.,but,1,experimental,115,115,[-3.671107700892857]
The mansion has ten rooms when the mansion does not have ten rooms.,when,1,experimental,116,116,[-4.157191685267857]
The mansion has ten rooms although the mansion does not have ten rooms.,although,1,experimental,117,117,[-4.04443359375]
The mansion has ten rooms or the mansion does not have ten rooms.,or,0,experimental,118,118,[-3.6586216517857144]
"Maybe the mansion has ten rooms, maybe the mansion does not have ten rooms.",maybe,0,experimental,119,119,[-3.5145263671875]
"Perhaps the mansion has ten rooms, perhaps the mansion does not have ten rooms.",perhaps,0,experimental,120,120,[-3.5872039794921875]
The mansion might have ten rooms and the mansion might not have ten rooms.,might,0,experimental,121,121,[-3.4864908854166665]
The tea in the kettle is done brewing and the tea in the kettle is not done brewing.,and,1,experimental,122,122,[-3.6677631578947367]
The tea in the kettle is done brewing if the tea in the kettle is not done brewing.,if,1,experimental,123,123,[-3.467747738486842]
The tea in the kettle is done brewing so the tea in the kettle is not done brewing.,so,1,experimental,124,124,[-3.596114309210526]
The tea in the kettle is done brewing therefore the tea in the kettle is not done brewing.,therefore,1,experimental,125,125,[-3.5363898026315788]
The tea in the kettle is done brewing but the tea in the kettle is not done brewing.,but,1,experimental,126,126,[-3.6358963815789473]
The tea in the kettle is done brewing when the tea in the kettle is not done brewing.,when,1,experimental,127,127,[-3.605417351973684]
The tea in the kettle is done brewing although the tea in the kettle is not done brewing.,although,1,experimental,128,128,[-3.8270456414473686]
The tea in the kettle is done brewing or the tea in the kettle is not done brewing.,or,0,experimental,129,129,[-3.3737407483552633]
"Maybe the tea in the kettle is done brewing, maybe the tea in the kettle is not done brewing.",maybe,0,experimental,130,130,[-2.9958612351190474]
"Perhaps the tea in the kettle is done brewing, perhaps the tea in the kettle is not done brewing.",perhaps,0,experimental,131,131,[-3.047944568452381]
The tea in the kettle might be done brewing and the tea in the kettle might not be done brewing.,might,0,experimental,132,132,[-3.535737537202381]
The teacher assigned homework for the week and the teacher did not assign homework for the week.,and,1,experimental,133,133,[-2.6383463541666665]
The teacher assigned homework for the week if the teacher did not assign homework for the week.,if,1,experimental,134,134,[-3.0441080729166665]
The teacher assigned homework for the week so the teacher did not assign homework for the week.,so,1,experimental,135,135,[-2.9899088541666665]
The teacher assigned homework for the week therefore the teacher did not assign homework for the week.,therefore,1,experimental,136,136,[-3.1043836805555554]
The teacher assigned homework for the week but the teacher did not assign homework for the week.,but,1,experimental,137,137,[-2.712429470486111]
The teacher assigned homework for the week when the teacher did not assign homework for the week.,when,1,experimental,138,138,[-3.0054796006944446]
The teacher assigned homework for the week although the teacher did not assign homework for the week.,although,1,experimental,139,139,[-3.05810546875]
The teacher assigned homework for the week or the teacher did not assign homework for the week.,or,0,experimental,140,140,[-2.7153455946180554]
"Maybe the teacher assigned homework for the week, maybe the teacher did not assign homework for the week.",maybe,0,experimental,141,141,[-2.6661834716796875]
"Perhaps the teacher assigned homework for the week, perhaps the teacher did not assign homework for the week.",perhaps,0,experimental,142,142,[-2.68248291015625]
The teacher might assign homework for the week and the teacher might not assign homework for the week.,might,0,experimental,143,143,[-2.7648026315789473]
I ran into my classmate at the mall and I did not run into my classmate at the mall.,and,1,experimental,144,144,[-2.3499686501242896]
I ran into my classmate at the mall if I did not run into my classmate at the mall.,if,1,experimental,145,145,[-2.777639215642756]
I ran into my classmate at the mall so I did not run into my classmate at the mall.,so,1,experimental,146,146,[-2.432955655184659]
I ran into my classmate at the mall therefore I did not run into my classmate at the mall.,therefore,1,experimental,147,147,[-2.654823996803977]
I ran into my classmate at the mall but I did not run into my classmate at the mall.,but,1,experimental,148,148,[-2.5641285289417612]
I ran into my classmate at the mall when I did not run into my classmate at the mall.,when,1,experimental,149,149,[-2.5583551580255683]
I ran into my classmate at the mall although I did not run into my classmate at the mall.,although,1,experimental,150,150,[-2.7458939985795454]
I ran into my classmate at the mall or I did not run into my classmate at the mall.,or,0,experimental,151,151,[-2.534243496981534]
"Maybe I ran into my classmate at the mall, maybe I did not run into my classmate at the mall.",maybe,0,experimental,152,152,[-2.224178949991862]
"Perhaps I ran into my classmate at the mall, perhaps I did not run into my classmate at the mall.",perhaps,0,experimental,153,153,[-2.4889017740885415]
I might run into my classmate at the mall and I might not run into my classmate at the mall.,might,0,experimental,154,154,[-2.553063268246858]
I called Anna twice today and I did not call Anna twice today.,and,1,experimental,155,155,[-4.140066964285714]
I called Anna twice today if I did not call Anna twice today.,if,1,experimental,156,156,[-4.6875]
I called Anna twice today so I did not call Anna twice today.,so,1,experimental,157,157,[-4.413783482142857]
I called Anna twice today therefore I did not call Anna twice today.,therefore,1,experimental,158,158,[-4.829799107142857]
I called Anna twice today but I did not call Anna twice today.,but,1,experimental,159,159,[-4.492013113839286]
I called Anna twice today when I did not call Anna twice today.,when,1,experimental,160,160,[-4.644670758928571]
I called Anna twice today although I did not call Anna twice today.,although,1,experimental,161,161,[-4.765625]
I called Anna twice today or I did not call Anna twice today.,or,0,experimental,162,162,[-4.773158482142857]
"Maybe I called Anna twice today, maybe I did not call Anna twice today.",maybe,0,experimental,163,163,[-3.7813720703125]
"Perhaps I called Anna twice today, perhaps I did not call Anna twice today.",perhaps,0,experimental,164,164,[-4.140625]
I might call Anna twice today and I might not call Anna twice today.,might,0,experimental,165,165,[-3.966015625]
This wedding ceremony was held outdoors and this wedding ceremony was not held outdoors.,and,1,experimental,166,166,[-3.4893229166666666]
This wedding ceremony was held outdoors if this wedding ceremony was not held outdoors.,if,1,experimental,167,167,[-3.6239583333333334]
This wedding ceremony was held outdoors so this wedding ceremony was not held outdoors.,so,1,experimental,168,168,[-4.206770833333334]
This wedding ceremony was held outdoors therefore this wedding ceremony was not held outdoors.,therefore,1,experimental,169,169,[-4.427083333333333]
This wedding ceremony was held outdoors but this wedding ceremony was not held outdoors.,but,1,experimental,170,170,[-3.664322916666667]
This wedding ceremony was held outdoors when this wedding ceremony was not held outdoors.,when,1,experimental,171,171,[-4.059114583333334]
This wedding ceremony was held outdoors although this wedding ceremony was not held outdoors.,although,1,experimental,172,172,[-3.872916666666667]
This wedding ceremony was held outdoors or this wedding ceremony was not held outdoors.,or,0,experimental,173,173,[-3.38671875]
"Maybe this wedding ceremony was held outdoors, maybe this wedding ceremony was not held outdoors.",maybe,0,experimental,174,174,[-3.4814165900735294]
"Perhaps this wedding ceremony was held outdoors, perhaps this wedding ceremony was not held outdoors.",perhaps,0,experimental,175,175,[-3.3010110294117645]
This wedding ceremony might be held outdoors and this wedding ceremony might not be held outdoors.,might,0,experimental,176,176,[-3.3013556985294117]
The soccer game was very exciting and the soccer game was not very exciting.,and,1,experimental,177,177,[-3.4579427083333334]
The soccer game was very exciting if the soccer game was not very exciting.,if,1,experimental,178,178,[-3.859114583333333]
The soccer game was very exciting so the soccer game was not very exciting.,so,1,experimental,179,179,[-3.9169270833333334]
The soccer game was very exciting therefore the soccer game was not very exciting.,therefore,1,experimental,180,180,[-3.9403645833333334]
The soccer game was very exciting but the soccer game was not very exciting.,but,1,experimental,181,181,[-3.42265625]
The soccer game was very exciting when the soccer game was not very exciting.,when,1,experimental,182,182,[-3.6022135416666665]
The soccer game was very exciting although the soccer game was not very exciting.,although,1,experimental,183,183,[-3.565625]
The soccer game was very exciting or the soccer game was not very exciting.,or,0,experimental,184,184,[-3.351611328125]
"Maybe the soccer game was very exciting, maybe the soccer game was not very exciting.",maybe,0,experimental,185,185,[-3.257869944852941]
"Perhaps the soccer game was very exciting, perhaps the soccer game was not very exciting.",perhaps,0,experimental,186,186,[-3.346780215992647]
The soccer game might be very exciting and the soccer game might not be very exciting.,might,0,experimental,187,187,[-3.344439338235294]
The trash is overflowing in my apartment and the trash is not overflowing in my apartment.,and,1,experimental,188,188,[-3.469439338235294]
The trash is overflowing in my apartment if the trash is not overflowing in my apartment.,if,1,experimental,189,189,[-3.6760110294117645]
The trash is overflowing in my apartment so the trash is not overflowing in my apartment.,so,1,experimental,190,190,[-3.4857536764705883]
The trash is overflowing in my apartment therefore the trash is not overflowing in my apartment.,therefore,1,experimental,191,191,[-3.6521139705882355]
The trash is overflowing in my apartment but the trash is not overflowing in my apartment.,but,1,experimental,192,192,[-3.1307444852941178]
The trash is overflowing in my apartment when the trash is not overflowing in my apartment.,when,1,experimental,193,193,[-3.3515625]
The trash is overflowing in my apartment although the trash is not overflowing in my apartment.,although,1,experimental,194,194,[-3.4917279411764706]
The trash is overflowing in my apartment or the trash is not overflowing in my apartment.,or,0,experimental,195,195,[-3.3708783318014706]
"Maybe the trash is overflowing in my apartment, maybe the trash is not overflowing in my apartment.",maybe,0,experimental,196,196,[-3.0027754934210527]
"Perhaps the trash is overflowing in my apartment, perhaps the trash is not overflowing in my apartment.",perhaps,0,experimental,197,197,[-3.0061420641447367]
The trash might be overflowing in my apartment and the trash might not be overflowing in my apartment.,might,0,experimental,198,198,[-3.134817023026316]
My dog weighs ten pounds and my dog does not weigh ten pounds.,and,1,experimental,199,199,[-3.794163295200893]
My dog weighs ten pounds if my dog does not weigh ten pounds.,if,1,experimental,200,200,[-4.253138950892857]
My dog weighs ten pounds so my dog does not weigh ten pounds.,so,1,experimental,201,201,[-4.248151506696429]
My dog weighs ten pounds therefore my dog does not weigh ten pounds.,therefore,1,experimental,202,202,[-4.286900111607143]
My dog weighs ten pounds but my dog does not weigh ten pounds.,but,1,experimental,203,203,[-3.8288661411830356]
My dog weighs ten pounds when my dog does not weigh ten pounds.,when,1,experimental,204,204,[-4.309840611049107]
My dog weighs ten pounds although my dog does not weigh ten pounds.,although,1,experimental,205,205,[-4.3819580078125]
My dog weighs ten pounds or my dog does not weigh ten pounds.,or,0,experimental,206,206,[-4.173592703683036]
"Maybe my dog weighs ten pounds, maybe my dog does not weigh ten pounds.",maybe,0,experimental,207,207,[-3.3869781494140625]
"Perhaps my dog weighs ten pounds, perhaps my dog does not weigh ten pounds.",perhaps,0,experimental,208,208,[-3.5609359741210938]
My dog might weigh ten pounds and my dog might not weigh ten pounds.,might,0,experimental,209,209,[-3.913189697265625]
The tree in my backyard has green leaves and the tree in my backyard does not have green leaves.,and,1,experimental,210,210,[-2.576507568359375]
The tree in my backyard has green leaves if the tree in my backyard does not have green leaves.,if,1,experimental,211,211,[-3.085955810546875]
The tree in my backyard has green leaves so the tree in my backyard does not have green leaves.,so,1,experimental,212,212,[-2.830419921875]
The tree in my backyard has green leaves therefore the tree in my backyard does not have green leaves.,therefore,1,experimental,213,213,[-3.0657958984375]
The tree in my backyard has green leaves but the tree in my backyard does not have green leaves.,but,1,experimental,214,214,[-2.6760009765625]
The tree in my backyard has green leaves when the tree in my backyard does not have green leaves.,when,1,experimental,215,215,[-3.094000244140625]
The tree in my backyard has green leaves although the tree in my backyard does not have green leaves.,although,1,experimental,216,216,[-3.1347412109375]
The tree in my backyard has green leaves or the tree in my backyard does not have green leaves.,or,0,experimental,217,217,[-2.7457916259765627]
"Maybe the tree in my backyard has green leaves, maybe the tree in my backyard does not have green leaves.",maybe,0,experimental,218,218,[-2.610199668190696]
"Perhaps the tree in my backyard has green leaves, perhaps the tree in my backyard does not have green leaves.",perhaps,0,experimental,219,219,[-2.6859907670454546]
The tree in my backyard might have green leaves and the tree in my backyard might not have green leaves.,might,0,experimental,220,220,[-3.0864461263020835]
My sister told me to walk the dog and my sister did not tell me to walk the dog.,and,1,experimental,221,221,[-2.576556396484375]
My sister told me to walk the dog if my sister did not tell me to walk the dog.,if,1,experimental,222,222,[-2.8939117431640624]
My sister told me to walk the dog so my sister did not tell me to walk the dog.,so,1,experimental,223,223,[-3.0078125]
My sister told me to walk the dog therefore my sister did not tell me to walk the dog.,therefore,1,experimental,224,224,[-2.920556640625]
My sister told me to walk the dog but my sister did not tell me to walk the dog.,but,1,experimental,225,225,[-2.720135498046875]
My sister told me to walk the dog when my sister did not tell me to walk the dog.,when,1,experimental,226,226,[-2.8266372680664062]
My sister told me to walk the dog although my sister did not tell me to walk the dog.,although,1,experimental,227,227,[-3.037615966796875]
My sister told me to walk the dog or my sister did not tell me to walk the dog.,or,0,experimental,228,228,[-2.983740234375]
"Maybe my sister told me to walk the dog, maybe my sister did not tell me to walk the dog.",maybe,0,experimental,229,229,[-2.5812558260830967]
"Perhaps my sister told me to walk the dog, perhaps my sister did not tell me to walk the dog.",perhaps,0,experimental,230,230,[-2.683664495294744]
My sister might tell me to walk the dog and my sister might not tell me to walk the dog.,might,0,experimental,231,231,[-2.773279825846354]
The books on the shelf are all hard cover and the books on the shelf are not all hard cover.,and,1,experimental,232,232,[-2.5701381138392856]
The books on the shelf are all hard cover if the books on the shelf are not all hard cover.,if,1,experimental,233,233,[-2.7622302827380953]
The books on the shelf are all hard cover so the books on the shelf are not all hard cover.,so,1,experimental,234,234,[-2.9085286458333335]
The books on the shelf are all hard cover therefore the books on the shelf are not all hard cover.,therefore,1,experimental,235,235,[-2.9551478794642856]
The books on the shelf are all hard cover but the books on the shelf are not all hard cover.,but,1,experimental,236,236,[-2.703311011904762]
The books on the shelf are all hard cover when the books on the shelf are not all hard cover.,when,1,experimental,237,237,[-2.7950381324404763]
The books on the shelf are all hard cover although the books on the shelf are not all hard cover.,although,1,experimental,238,238,[-2.9384765625]
The books on the shelf are all hard cover or the books on the shelf are not all hard cover.,or,0,experimental,239,239,[-2.955287388392857]
"Maybe the books on the shelf are all hard cover, maybe the books on the shelf are not all hard cover.",maybe,0,experimental,240,240,[-2.8365850033967392]
"Perhaps the books on the shelf are all hard cover, perhaps the books on the shelf are not all hard cover.",perhaps,0,experimental,241,241,[-2.8742781929347827]
The books on the shelf might be all hard cover and the books on the shelf might not be all hard cover.,might,0,experimental,242,242,[-3.041694972826087]
The school bus comes on time and the school bus does not come on time.,and,1,experimental,243,243,[-3.3979949951171875]
The school bus comes on time if the school bus does not come on time.,if,1,experimental,244,244,[-3.7275390625]
The school bus comes on time so the school bus does not come on time.,so,1,experimental,245,245,[-3.741943359375]
The school bus comes on time therefore the school bus does not come on time.,therefore,1,experimental,246,246,[-3.89532470703125]
The school bus comes on time but the school bus does not come on time.,but,1,experimental,247,247,[-3.5804443359375]
The school bus comes on time when the school bus does not come on time.,when,1,experimental,248,248,[-3.671875]
The school bus comes on time although the school bus does not come on time.,although,1,experimental,249,249,[-3.920013427734375]
The school bus comes on time or the school bus does not come on time.,or,0,experimental,250,250,[-3.3932952880859375]
"Maybe the school bus comes on time, maybe the school bus does not come on time.",maybe,0,experimental,251,251,[-3.070926242404514]
"Perhaps the school bus comes on time, perhaps the school bus does not come on time.",perhaps,0,experimental,252,252,[-3.218471950954861]
The school bus might come on time and the school bus might not come on time.,might,0,experimental,253,253,[-3.146724925321691]
Friendship is very important to Sarah and Friendship is not very important to Sarah.,and,1,experimental,254,254,[-3.5537948608398438]
Friendship is very important to Sarah if Friendship is not very important to Sarah.,if,1,experimental,255,255,[-3.56524658203125]
Friendship is very important to Sarah so Friendship is not very important to Sarah.,so,1,experimental,256,256,[-3.5756988525390625]
Friendship is very important to Sarah therefore Friendship is not very important to Sarah.,therefore,1,experimental,257,257,[-3.711212158203125]
Friendship is very important to Sarah but Friendship is not very important to Sarah.,but,1,experimental,258,258,[-3.0233840942382812]
Friendship is very important to Sarah when Friendship is not very important to Sarah.,when,1,experimental,259,259,[-3.798309326171875]
Friendship is very important to Sarah although Friendship is not very important to Sarah.,although,1,experimental,260,260,[-3.53759765625]
Friendship is very important to Sarah or Friendship is not very important to Sarah.,or,0,experimental,261,261,[-3.291229248046875]
"Maybe Friendship is very important to Sarah ., maybe Friendship is not very important to Sarah.",maybe,0,experimental,262,262,[-4.628317440257353]
"Perhaps Friendship is very important to Sarah ., perhaps Friendship is not very important to Sarah.",perhaps,0,experimental,263,263,[-4.587459788602941]
Friendship might be very important to Sarah and Friendship might not be very important to Sarah.,might,0,experimental,264,264,[-3.4686143663194446]
The baseball cap helps keep the sun off my face and the baseball cap does not help keep the sun off my face.,and,1,experimental,265,265,[-2.7593994140625]
The baseball cap helps keep the sun off my face if the baseball cap does not help keep the sun off my face.,if,1,experimental,266,266,[-2.93115234375]
The baseball cap helps keep the sun off my face so the baseball cap does not help keep the sun off my face.,so,1,experimental,267,267,[-2.9988606770833335]
The baseball cap helps keep the sun off my face therefore the baseball cap does not help keep the sun off my face.,therefore,1,experimental,268,268,[-2.8618367513020835]
The baseball cap helps keep the sun off my face but the baseball cap does not help keep the sun off my face.,but,1,experimental,269,269,[-2.7219645182291665]
The baseball cap helps keep the sun off my face when the baseball cap does not help keep the sun off my face.,when,1,experimental,270,270,[-2.8784993489583335]
The baseball cap helps keep the sun off my face although the baseball cap does not help keep the sun off my face.,although,1,experimental,271,271,[-2.9471842447916665]
The baseball cap helps keep the sun off my face or the baseball cap does not help keep the sun off my face.,or,0,experimental,272,272,[-2.7144495646158853]
"Maybe the baseball cap helps keep the sun off my face, maybe the baseball cap does not help keep the sun off my face.",maybe,0,experimental,273,273,[-2.6851947490985575]
"Perhaps the baseball cap helps keep the sun off my face, perhaps the baseball cap does not help keep the sun off my face.",perhaps,0,experimental,274,274,[-2.8072603665865383]
The baseball cap might help keep the sun off my face and the baseball cap might not help keep the sun off my face.,might,0,experimental,275,275,[-2.88140625]
I drove to the store to buy some milk and I did not drive to the store to buy some milk.,and,1,experimental,276,276,[-2.023104580965909]
