Stimuli Wide (NAND),Stimuli Narrow (NOR),Condition,Study,Type,Original order,Wide Scope Logprob,Narrow Scope Logprob,Contradiction Logprob
John made it through all of college without buying coffee or bread. I forget which.,John made it through all of college without buying coffee or bread. He said they were both a waste of money.,Experimental,created,Without,33,-4.996212177416858,-3.742126861020275,-4.181372893353303
"If I remember correctly, John doesn’t drink wine or beer.  I don’t know which.","If I remember correctly, John doesn’t drink wine or beer.  The doctor has forbidden him alcohol.",Experimental,original,Negation,1,-3.697393567301333,-3.993102665103617,-3.9248719509494934
"Apparently, few people are able to recite back a sequence of twelve letters or twelve numbers. I don’t remember which.","Apparently, few people are able to recite back a sequence of twelve letters or twelve numbers. The limit is usually ten.",Experimental,original,Other DE,14,-4.126411387361586,-4.023155791200697,-3.4501232186783897
I remember there was a family conflict. Mary didn’t speak with her mother or her sister. I don’t know which.,I remember there was a family conflict. Mary didn’t speak with her mother or her sister. She was only talking with her father after that.,Experimental,original,Negation,5,-3.869450637996197,-3.40711000047881,-4.125277237759696
John doubts that Sue played football or tennis. He thinks she focused on one of the two.,John doubts that Sue played football or tennis. He thinks she never did any ball sports.,Experimental,original,Other DE,15,-4.648282873003106,-4.850842856698566,-5.182782378047705
"If I remember correctly, Mary didn’t invite John or Suzi to her birthday party. I don’t know which of them.","If I remember correctly, Mary didn’t invite John or Suzi to her birthday party. She’s upset with both of them and doesn’t want to see them.",Experimental,original,Negation,3,-3.5743876549486933,-3.029709760212537,-3.8041332752133408
Jane is worried. She got to the airport without her passport or her credit card. I don't remember which.,Jane is worried. She got to the airport without her passport or her credit card. She forgot all her personal stuff in the cab to the airport!,Experimental,original,Without,7,-4.061273781501728,-3.600536805888017,-3.0971557575588426
"When he was little, John would rarely sleep with his mother or his father. I don’t remember which.","When he was little, John would rarely sleep with his mother or his father. He always preferred to sleep alone.",Experimental,original,Other DE,17,-3.6719093766402113,-3.039919947476491,-3.179484641800324
Jamie is happy. She left being pulled over without a ticket for speeding or a ticket for a broken tail light. I don’t know which.,Jamie is happy. She left being pulled over without a ticket for speeding or a ticket for a broken tail light. She’s happy she doesn’t have any tickets to pay.,Experimental,created,Without,31,-4.0646684596250795,-3.526323302150039,-3.9000548659823835
Few people took the appetizer or the dessert. I don’t remember which.,Few people took the appetizer or the dessert. The main dish was already expensive.,Experimental,original,Other DE,13,-4.232989430427551,-4.294855945250568,-3.623160395061686
Barry rarely plays soccer or baseball. I'm not sure which.,Barry rarely plays soccer or baseball. He usually prefers playing tennis.,Experimental,created,Other DE,40,-4.499142195497241,-4.5098496334893365,-5.179826458295186
Few people chose to take Calculus or Statistics. I don’t know which.,Few people chose to take Calculus or Statistics. Both of those classes are very unpopular.,Experimental,created,Other DE,35,-4.602462203256437,-4.271346612949856,-4.571100566963044
