Prompt,Condition,Study,Type,Contradictory_cont,Response
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. John's son is a very picky eater. A: He only likes pizza. B: John's son is not a picky eater. C: He is very stubborn.",Control,created,Negation,B,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. My grandmother made these cookies without rum or cinnamon. A: So the cookies tasted like rum and cinnamon. B: Instead of those ingredients she added homemade brandy. C: I can’t remember which.",Experimental,original,Without,A,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. John rarely goes to the grocery story or the post office. A: He doesn’t really leave his house. B: I don’t remember which. C: So he often stops by the post office on his way to the grocery store.",Experimental,created,Other DE,C,C
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. John didn’t get the job. He didn’t bring his resume or a list of references. A: He didn’t bring either. B: So he brought his resume, a list of references, and a thoughful present. C: I don’t know which.",Experimental,created,Negation,B,A
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. The man in the movie was very tall. A: The man is not very tall. B: His parents are both tall too. C: He is also very muscular.",Control,created,Negation,A,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. Mary failed the Spanish test. She didn’t study the vocabulary words or the grammar. A: I don’t know which. B: So she did really well on the grammar questions and the vocabulary words. C: She didn’t study either.",Experimental,created,Negation,B,C
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. Kate used to live without coffee or chocolate. A: So she used to buy a lot of lattes and chocolate chip cookies. B: Now she cannot imagine her life without them. C: I don't remember which.",Experimental,original,Without,A,A
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. It seems John has lived here for years without medical or house insurance. A: Only now has it occurred to him that he needs both of them. B: So John spends a lot on medical and house insurance. C: I don’t remember which one.",Experimental,original,Without,B,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. I remember there was a family conflict. Mary didn’t speak with her mother or her sister. A: I don’t know which. B: She was only talking with her father after that. C: So she talked to them both yesterday.",Experimental,original,Negation,C,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. Jim said he wants to eat less junk food. I guess that's why he came back from the grocery store without cake or soda. A: He's sworn off both. B: I forget which. C: So I saw cake, soda, and chocolate in the grocery bags he brought home.",Experimental,created,Without,C,C
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. John made it through all of college without buying coffee or bread. A: He said they were both a waste of money. B: I forget which. C: So John lived on toast and black coffee during college.",Experimental,created,Without,C,C
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. Jane is worried. She got to the airport without her passport or her credit card. A: So she had her passport and her credit card in her bag. B: I don't remember which. C: She forgot all her personal stuff in the cab to the airport!",Experimental,original,Without,A,C
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. Few people took the appetizer or the dessert. A: The main dish was already expensive. B: So both were gone by the end of the night. C: I don’t remember which.",Experimental,original,Other DE,B,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. Mary doesn’t like cats or dogs. A: She had traumatizing experiences with both. B: So she likes all animals. C: I don’t remember which.",Experimental,original,Negation,B,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. John's son is a very picky eater. A: He is very stubborn. B: He only likes pizza. C: John's son will eat everything.",Control,created,Conceptual,C,C
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. My friend was very while loud watching TV. A: He has not self-awareness. B: He was watching a game show. C: My fried was not loud while watching TV.",Control,created,Negation,C,C
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. The smoke alarm went off. I bet John didn’t open the window or the door. A: So, look, he opened them both. B: I wonder which. C: Look, both the window and the door are still closed.",Experimental,created,Negation,A,C
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. Mary is sad. She left the restaurant without a sandwich or a cake. A: So she spent ten dollars on the sandwich and the cake. B: I don’t know which. C: They were out of both.",Experimental,created,Without,A,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. I really liked the piano performance. A: I played piano growing up. B: The notes sounded very soothing. C: I really didn't like the piano performance.",Control,created,Negation,C,A
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. Apparently, few people are able to recite back a sequence of twelve letters or twelve numbers. A: So most people are able to recite twelve numbers in a row. B: The limit is usually ten. C: I don’t remember which.",Experimental,original,Other DE,A,C
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. Amy came back from the mall without buying a sweater or perfume A: She said she couldn't find anything she liked there. B: So just like she always does, Amy came back from the mall with a new sweater and some expensive perfume. C: I'm not sure which.",Experimental,created,Without,B,A
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. It is really windy today. A: I heard there was a storm coming. B: The weather is very calm today. C: The ocean breeze feels nice.",Control,created,Conceptual,B,A
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. Jamie is happy. She left being pulled over without a ticket for speeding or a ticket for a broken tail light. A: She’s happy she doesn’t have any tickets to pay. B: I don’t know which. C: So she received two tickets during the stop.",Experimental,created,Without,C,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. The train didn’t get here on time. A: The train got here on time. B: The delay was really long. C: There was something on the tracks.",Control,created,Negation,A,A
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. It is very cold in this house. A: There is a winter storm. B: It is very hot in this house. C: The heater is broken.",Control,created,Conceptual,B,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. I really liked the piano performance. A: I played piano growing up. B: The notes sounded very soothing. C: I really hated the piano performance.",Control,created,Conceptual,C,A
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. It is really windy today. A: It is not really windy today. B: I heard there was a storm coming. C: The ocean breeze feels nice.",Control,created,Negation,A,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. The song sounded very pleasant. A: It had a nice melody. B: The song did not sound very pleasant. C: The piano had a nice tune.",Control,created,Negation,B,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. When he was little, John would rarely sleep with his mother or his father. A: He always preferred to sleep alone. B: I don’t remember which. C: So he liked to sleep with one parent on each side of him.",Experimental,original,Other DE,C,C
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. My friend came late to class today. A: The busses ran late. B: She had band practice right before. C: My friend arrived early to class.",Control,created,Conceptual,C,C
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. John is upset. Clearly, he didn’t pass the semantics or the syntax exam.  A: So he got an A on both tests. B: And it wouldn’t be the first time he failed those classes. C: I wonder which it was.",Experimental,original,Negation,A,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. If I remember correctly, John doesn’t drink wine or beer.  A: I don’t know which. B: The doctor has forbidden him alcohol. C: So he drinks both.",Experimental,original,Negation,C,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. The song sounded very pleasant. A: The song sounded very unpleasant. B: It had a nice melody. C: The piano had a nice tune.",Control,created,Conceptual,A,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. John is annoyed. Mary showed up to his birthday party without a present or a card. A: She forgot them both at home. B: I don’t know which. C: So Mary brought a thoughtful gift and a handwritten card to John's birthday party.",Experimental,created,Without,C,A
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. The train didn’t get here on time. A: The delay was really long. B: There was something on the tracks. C: The train arrived on time.",Control,created,Conceptual,C,B
"Given the following sentence. Determine which continuation out of continuations ""A"", ""B"", and ""C"", contradicts the sentence. John rarely visits his sister or his mother. A: So he spends as much time as possible with both. B: He says that they make him uncomfortable. C: I don’t remember which.",Experimental,original,Other DE,A,A
