Prompt,Continuation,Condition,Study,Response
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John doubts Mary knows Spanish or French. So he has heard her speaking both.",Positive AND,Experimental_O,created,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary was upset about failing the test, even if I find it really expensive. ",none,Control,created,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John is annoyed. Mary showed up to his birthday party without a present or a card. I don’t know which.",NAND,Experimental_W,created,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: It’s cold in this house. I bet you, John didn’t close the window or the back door.  Look, just as I said, both of them are wide open!",NOR,Experimental_N,original,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: China doesn’t trust the Korean dictator, but they trust President Trump even more.",none,Control,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Jim only plays soccer. Jim is the star baseball player.",none,Control,created,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary only eats fish. Mary eats cake every morning.",none,Control,created,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Two theses from our department participated in the Best Doctoral Dissertation Award Competition, but neither of them won.",none,Control,original,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Amy came back from the mall without buying a sweater or perfume So just like she always does, Amy came back from the mall with a new sweater and some expensive perfume.",Positive AND,Experimental_W,created,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John saw two performances by this artist. He thinks he is the best opera singer he ever listened to.",none,Control,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Jim said he wants to eat less junk food. I guess that's why he came back from the grocery store without cake or soda. So I saw cake, soda, and chocolate in the grocery bags he brought home.",Positive AND,Experimental_W,created,2
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: One of my teachers hates me, but I will not remember which.",none,Control,created,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John rarely visits his sister or his mother. So he spends as much time as possible with both.",Positive AND,Experimental_O,original,2
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Sue recommended two books to read during holidays, but I looked for them in libraries.",none,Control,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John didn’t go on holidays this year. I can’t remember where.",none,Control,original,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Jim said he wants to eat less junk food. I guess that's why he came back from the grocery store without cake or soda. I forget which.",NAND,Experimental_W,created,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John is annoyed. Mary showed up to his birthday party without a present or a card. She forgot them both at home.",NOR,Experimental_W,created,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John is upset. Clearly, he didn’t pass the semantics or the syntax exam.  And it wouldn’t be the first time he failed those classes.",NOR,Experimental_N,original,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John saw two performances by this artist. He thinks he is the best opera singer he ever listened to.",none,Control,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: If I remember correctly, Mary didn’t invite John or Suzi to her birthday party. She’s upset with both of them and doesn’t want to see them.",NOR,Experimental_N,original,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: My grandparents have a hard time understanding me. English is not their first language.",none,Control,created,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The kids are very picky, but they’ll always eat chicken nuggets and mashed potatoes.",none,Control,created,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John is upset. Clearly, he didn’t pass the semantics or the syntax exam.  And it wouldn’t be the first time he failed those classes.",NOR,Experimental_N,original,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary doubts that John watched Mission Impossible or James Bond. She thinks he wouldn’t watch any action movies.",NOR,Experimental_O,created,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I really liked the concert. The cellist should be playing brilliantly.",none,Control,original,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Some solutions were discussed during the meeting, but I could remember which one was retained.",none,Control,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: There were some countries targeted for the attack, but I will not remember which.",none,Control,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: My mom doesn't trust the local florist but she trusts sunshine the most.",none,Control,created,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary prefers Jesse to deliver their speech. And John prefers Michael’s.",none,Control,original,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary always brags about her famous cherry pie recipe. She's very proud of it.",none,Control,created,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary was upset about failing the test, even if I find it really expensive. ",none,Control,created,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary prefers Jesse to deliver their speech. And John prefers Michael’s.",none,Control,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Dan was upset with his grade. I shouldn’t have been the problem.",none,Control,original,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Few people chose to take Calculus or Statistics. Both of those classes are very unpopular. ",NOR,Experimental_O,created,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary only eats fish. Mary eats cake every morning.",none,Control,created,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John's son is a very picky eater. The only thing he'll willingly eat is mac and cheese.",none,Control,created,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: If I recall correctly, Jim proposed to his girlfriend tomorrow. Yesterday, his mother congratulated him.",none,Control,created,1
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Some countries have very strict politics against immigration. This situation is not going to change anytime soon.",none,Control,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John went on holiday without his mother or his father.  I don’t remember which. ",NAND,Experimental_W,original,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Apparently, few people are able to recite back a sequence of twelve letters or twelve numbers. I don’t remember which. ",NAND,Experimental_O,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The train didn’t get here on time, but nobody told us why.",none,Control,original,7
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Jane is worried. She got to the airport without her passport or her credit card.  I don't remember which. ",NAND,Experimental_W,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: She said that a biography of one of the US presidents will be out this year, but I can’t remember any of it.",none,Control,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Peter told me he needed to travel light. To judge by the small size of his bag, he was travelling without his computer or his movie camera.  I wonder which of the two he decided to give up. ",NAND,Experimental_W,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: It seems John has lived here for years without medical or house insurance. Only now has it occurred to him that he needs both of them.",NOR,Experimental_W,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: What is your impression after meeting our two new PhD students, Lina and Leo, today? Lina seems very motivated and with a strong background in syntax, but Leo, I cannot really tell.",none,Control,original,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Few people took the appetizer or the dessert. The main dish was already expensive.",NOR,Experimental_O,original,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Winter is Mary's favorite season. She loves the snow.",none,Control,created,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I will always remember to submit my homework on time. There must be a shrimp in my soup.",none,Control,created,1
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The results of the election are not out yet, but I don't remember who won.",none,Control,original,1
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Julie tried to seduce Jim at the party. And Mary did the same thing with Paul.",none,Control,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary was very happy this morning. She gave a good talk at the conference on Monday.",none,Control,original,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Jamie doesn’t like trees or flowers. I don’t remember which.",NAND,Experimental_N,created,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Dan was upset with his grade. I shouldn’t have been the problem.",none,Control,original,2
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary failed her math test, even if she finds it spacious.",none,Control,created,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: China doesn’t trust the Korean dictator, but they trust President Trump even more.",none,Control,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: My aunt was very happy this morning. She was excited to see her friend after a long time. ",none,Control,created,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary didn’t like the restaurant we went to last night. She thought it was too expensive.",none,Control,original,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Some of the students speak English well, but not all of them.",none,Control,original,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The spiders in my house always make cobwebs near my window. I think it's delicious.",none,Control,created,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary ordered oysters at the official dinner last night, but John could never have done that; he hates oysters.",none,Control,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: When he was little, John would rarely sleep with his mother or his father. I don’t remember which. ",NAND,Experimental_O,original,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The lunch break at school is very short. The kids rarely finish their lunch.",none,Control,original,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John made it through all of college without buying coffee or bread. He said they were both a waste of money.",NOR,Experimental_W,created,7
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary is sad. She left the restaurant without a sandwich or a cake. So she spent ten dollars on the sandwich and the cake.",Positive AND,Experimental_W,created,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Jim said cilantro is disgusting. He says it tastes delicious.",none,Control,created,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The property tax raise affected many families in the area. Luckily no families were affected.",none,Control,created,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The kids are very picky, but they’ll always eat chicken nuggets and mashed potatoes.",none,Control,created,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I remember there was a family conflict. Mary didn’t speak with her mother or her sister.  She was only talking with her father after that.",NOR,Experimental_N,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: If I remember correctly, Annie doesn’t like chocolate or pie. She dislikes all types of dessert.",NOR,Experimental_N,created,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Kate used to live without coffee or chocolate. Now she cannot imagine her life without them.",NOR,Experimental_W,original,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Jane is worried. She got to the airport without her passport or her credit card.  I don't remember which. ",NAND,Experimental_W,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Amy has three jobs. I don't know how she does it.",none,Control,created,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John doubts that Sue played football or tennis.  He thinks she focused on one of the two. ",NAND,Experimental_O,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: My grandmother made these cookies without rum or cinnamon.  I can’t remember which. ",NAND,Experimental_W,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I wonder why John didn’t stay until the end of the meeting yesterday. As far as I know, he had to leave early because he had to pick up his kid from the airport.",none,Control,original,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I hate bugs. I spent my last savings on a pet tarantula.",none,Control,created,2
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: If I remember correctly, John doesn’t drink orange juice or apple juice. He doesn’t drink any type of juice.",NOR,Experimental_N,created,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary ordered oysters at the official dinner last night, but John could never have done that; he hates oysters.",none,Control,original,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary failed her math test, even if she finds it spacious.",none,Control,created,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Few people are able to recite the national anthem or the pledge of allegiance. I don’t remember which.",NAND,Experimental_O,created,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John doubts Mary knows Spanish or French. He thinks she can only speak English.",NOR,Experimental_O,created,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Jim is almost always on time. He says he sets three alarm clocks to wake him up in the morning.",none,Control,created,7
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: If I remember correctly, John doesn’t drink orange juice or apple juice. I don’t know which.",NAND,Control,created,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Paul can’t stand his colleagues, but I don’t know why.",none,Control,original,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary didn’t like the restaurant we went to last night. She thought it was too expensive.",none,Control,original,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Jim hasn't been to the movie theater in years. He hates the smell of popcorn.",none,Control,created,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: If I understood correctly, John was scolded by his father yesterday. Today his mother tried to put an end to it.",none,Control,original,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: They haven't had another event at this school after the bomb threats last year.",none,Control,created,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: One of my teachers hates me, but I will not remember which.",none,Control,created,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: When we ate at the seafood restaurant, my brother's face puffed up and turned red. That's how we found out he has a seafood allergy.",none,Control,created,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: If I remember correctly, the war started three years ago. A year earlier, the United Nations tried to put an end to it.",none,Control,original,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Kate used to live without coffee or chocolate. Now she cannot imagine her life without them.",NOR,Experimental_W,original,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The lunch break at school is very short. The kids rarely finish their lunch.",none,Control,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: They haven't had another event at this school after the bomb threats last year.",none,Control,created,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I was late to work today. The traffic this morning was much worse than usual.",none,Control,created,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John didn’t like the movie we went to last night. He thought it was too boring.",none,Control,created,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Right now, I know the content of the talk I just gave very well, but in a year I will be incapable of remembering anything at all.",none,Control,original,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Jim was upset with me yesterday. He thought I ate his cake, but I didn't.",none,Control,created,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Sue recommended two books to read during holidays, but I looked for them in libraries.",none,Control,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Jim said cilantro is disgusting. He says it tastes delicious.",none,Control,created,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: If I remember correctly, John doesn’t drink wine or beer.  I don’t know which. ",NAND,Experimental_N,original,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Few people took the appetizer or the dessert. So both were gone by the end of the night.",Positive AND,Experimental_O,original,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John went on holiday without his mother or his father.  I don’t remember which. ",NAND,Experimental_W,original,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: If I remember correctly, John doesn’t drink wine or beer.  The doctor has forbidden him alcohol.",NOR,Experimental_N,original,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Some of the students speak English well, but not all of them.",none,Control,original,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Few people chose to take Calculus or Statistics. I don’t know which. ",NAND,Experimental_O,created,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: My grandmother made these cookies without rum or cinnamon.  Instead of those ingredients she added homemade brandy.",NOR,Experimental_W,original,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I don’t understand what really happened. It seems that the girl pushed Bill again. And so will be John.",none,Control,original,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The cactus in Jim's yard is taller than him, even if he finds it ubiquitous.",none,Control,created,2
