Prompt,Continuation,Condition,Study,Type,Original order,Response
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): If I remember correctly, John doesn’t drink wine or beer.  I don’t know which.",NAND,Experimental,original,Negation,1,5.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Some of the students speak English well, but not all of them.",NOR,Control,original,Good Filler,19,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Sue recommended two books to read during holidays, but I looked for them in libraries.",NOR,Control,original,Bad Filler,36,3.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The soccer game was very exciting.",NAND,Control,created,Easy Good,101,5.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Mary failed the Spanish test. She didn’t study the vocabulary words or the grammar. She didn’t study either.",NOR,Experimental,created,Negation,58,1.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Amy has three jobs. I don't know how she does it.",NAND,Control,created,Good Filler,87,6.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): If I remember correctly, Mary doesn’t play softball or soccer. I don’t know which.",NAND,Experimental,created,Negation,54,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The results of the election are not out yet, but I don't remember who won.",NOR,Control,original,Bad Filler,41,3.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Two theses from our department participated in the Best Doctoral Dissertation Award Competition, but neither of them won.",NOR,Control,original,Good Filler,29,3.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Running into my classmates at the mall is very common.",NAND,Control,created,Easy Good,98,2.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): My dad is bald. My dad is not bald.",NAND,Control,created,Easy Bad,120,3.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Jamie plays softball. Jamie does not play softball.",NAND,Control,created,Easy Bad,115,1.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): He walked the dog yesterday. He did not walk the dog yesterday.",NAND,Control,created,Easy Bad,122,1.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Mary prefers Jesse to deliver their speech. And John prefers Michael’s.",NOR,Control,original,Bad Filler,51,3.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Dan was upset with his grade. I shouldn’t have been the problem.",NOR,Control,original,Bad Filler,44,3.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The customer praised only the dessert. The happy customer praised the appetizer.",NOR,Control,original,Bad Filler,48,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Jim hasn't been to the movie theater in years. He hates the smell of popcorn.",NAND,Control,created,Good Filler,81,5.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The tea in the kettle was very hot.",NAND,Control,created,Easy Good,94,6.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): She said that a biography of one of the US presidents will be out this year, but I can’t remember any of it.",NOR,Control,original,Bad Filler,50,5.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Jim said he wants to eat less junk food. I guess that's why he came back from the grocery store without cake or soda. He's sworn off both.",NOR,Experimental,created,Without,63,7.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Jane is worried. She got to the airport without her passport or her credit card. I don't remember which.",NAND,Experimental,original,Without,7,3.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Some solutions were discussed during the meeting, but I could remember which one was retained.",NOR,Control,original,Bad Filler,39,2.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I didn’t know the neighbors before moving here, even if I find it really generous.",NOR,Control,original,Bad Filler,45,5.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): If I remember correctly, Mary didn’t invite John or Suzi to her birthday party. I don’t know which of them.",NAND,Experimental,original,Negation,3,3.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): When we ate at the seafood restaurant, my brother's face puffed up and turned red. That's how we found out he has a seafood allergy.",NAND,Control,created,Good Filler,85,7.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Amy came back from the mall without buying a sweater or perfume I'm not sure which.",NAND,Experimental,created,Without,65,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I remember there was a family conflict. Mary didn’t speak with her mother or her sister. I don’t know which.",NAND,Experimental,original,Negation,5,3.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Mary doesn’t like cats or dogs. She had traumatizing experiences with both.",NOR,Experimental,original,Negation,6,3.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Mary was upset about failing the test, even if I find it really expensive. ",NAND,Control,created,Bad Filler,89,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): John invited Mary to a barbecue restaurant yesterday. She declined because she's vegetarian.",NAND,Control,created,Good Filler,75,6.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): John's son is a very picky eater. The only thing he'll willingly eat is mac and cheese.",NAND,Control,created,Good Filler,86,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Mary doubts that John watched Mission Impossible or James Bond. So she knows he's watched all the action movies that have come out since the 1900s.",Contradictory,Experimental,created,Other DE,68,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I don’t understand what really happened. It seems that the girl pushed Bill again. And so will be John.",NOR,Control,original,Bad Filler,46,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The property tax raise affected many families in the area. Luckily no families were affected.",NAND,Control,created,Bad Filler,88,1.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Paul can’t stand his colleagues, but I don’t know why.",NOR,Control,original,Good Filler,25,3.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): John didn’t go on holidays this year. I can’t remember where.",NOR,Control,original,Bad Filler,42,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): If I understood correctly, John was scolded by his father yesterday. Today his mother tried to put an end to it.",NOR,Control,original,Bad Filler,47,6.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): That kid likes toads. That kid does not like toads.",NAND,Control,created,Easy Bad,128,6.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): John made it through all of college without buying coffee or bread. I forget which.",NAND,Experimental,created,Without,64,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The books on the shelf are very old.",NAND,Control,created,Easy Good,107,6.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Mary was very happy this morning. She gave a good talk at the conference on Monday.",NOR,Control,original,Good Filler,28,6.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): It's cold outside. It's not cold outside.",NAND,Control,created,Easy Bad,113,3.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The train didn’t get here on time, but nobody told us why.",NOR,Control,original,Good Filler,27,3.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): My grandparents have a hard time understanding me. English is not their first language.",NAND,Control,created,Good Filler,83,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Jim is almost always on time. He says he sets three alarm clocks to wake him up in the morning.",NAND,Control,created,Good Filler,77,6.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Sometimes it snows heavily during the winter.",NAND,Control,created,Easy Good,97,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The tree is old. The tree is not old.",NAND,Control,created,Easy Bad,123,5.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Mary always brags about her famous cherry pie recipe. She's very proud of it.",NAND,Control,created,Good Filler,72,5.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Mary rarely speaks German or French. I don’t remember which.",NAND,Experimental,created,Other DE,71,3.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The school bus always comes on time.",NAND,Control,created,Easy Good,108,7.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Peter told me he needed to travel light. To judge by the small size of his bag, he was travelling without his computer or his movie camera.  So his bag had both his computer and movie camera in it when I looked.",Contradictory,Experimental,original,Without,11,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): My aunt was very happy this morning. She was excited to see her friend after a long time.",NAND,Control,created,Good Filler,73,6.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): They shut down some museums after the attacks. But I don’t know which ones.",NOR,Control,original,Good Filler,21,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I am tall. I am not tall.",NAND,Control,created,Easy Bad,121,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Jamie doesn’t like trees or flowers. So she's a huge nature buff.",Contradictory,Experimental,created,Negation,56,3.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): John is upset. Clearly, he didn’t pass the semantics or the syntax exam.  I wonder which it was.",NAND,Experimental,original,Negation,4,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Two of the suspects were caught yesterday, but no names have been released yet.",NOR,Control,original,Good Filler,20,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): John went on holiday without his mother or his father. I don’t remember which.",NAND,Experimental,original,Without,10,3.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Few people chose to take Calculus or Statistics. So most people take both in school.",Contradictory,Experimental,created,Other DE,66,2.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): My name is Jessica. My name is not Jessica.",NAND,Control,created,Easy Bad,114,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): If I remember correctly, Annie doesn’t like chocolate or pie. I don’t know which.",NAND,Experimental,created,Negation,55,3.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I love going to the gym. I'm there almost every day.",NAND,Control,created,Good Filler,84,7.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I drove to the store to buy some milk.",NAND,Control,created,Easy Good,111,7.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): John is annoyed. Mary showed up to his birthday party without a present or a card. She forgot them both at home.",NOR,Experimental,created,Without,60,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Right now, I know the content of the talk I just gave very well, but in a year I will be incapable of remembering anything at all.",NOR,Control,original,Good Filler,32,2.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): My mom doesn't like the sound of loud chewing.",NAND,Control,created,Easy Good,93,6.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Kate used to live without coffee or chocolate. I don't remember which.",NAND,Experimental,original,Without,12,2.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Apparently, few people are able to recite back a sequence of twelve letters or twelve numbers. I don’t remember which.",NAND,Experimental,original,Other DE,14,3.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The baseball cap helps keep the sun off my face.",NAND,Control,created,Easy Good,110,7.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): John doubts Mary knows Spanish or French. He thinks she can only speak one.",NAND,Experimental,created,Other DE,69,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): My grandmother made these cookies without rum or cinnamon. I can’t remember which.",NAND,Experimental,original,Without,9,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): My sister told me to walk the dog.",NAND,Control,created,Easy Good,106,5.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Her phone is about to run out of battery. Her phone is not about to run out of battery.",NAND,Control,created,Easy Bad,127,1.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): John rarely visits his sister or his mother. He says that they make him uncomfortable.",NOR,Experimental,original,Other DE,18,3.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The road is wet. The road is not wet. ",NAND,Control,created,Easy Bad,131,6.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The trees are very green this time of year.",NAND,Control,created,Easy Good,105,7.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Weddings are a very lovely time.",NAND,Control,created,Easy Good,100,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I wonder why John didn’t stay until the end of the meeting yesterday. As far as I know, he had to leave early because he had to pick up his kid from the airport.",NOR,Control,original,Good Filler,34,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I wonder how Jane manages to look so young at 62. I guess she must have a healthy diet.",NOR,Control,original,Good Filler,33,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Jamie is happy. She left being pulled over without a ticket for speeding or a ticket for a broken tail light. So she received two tickets during the stop.",Contradictory,Experimental,created,Without,62,2.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): It is raining right now. It is not raining right now.",NAND,Control,created,Easy Bad,117,3.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I like orange juice. I hate orange juice.",NAND,Control,created,Easy Bad,112,7.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I will always remember to submit my homework on time. There must be a shrimp in my soup.",NAND,Control,created,Bad Filler,91,3.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): There were some countries targeted for the attack, but I will not remember which.",NOR,Control,original,Bad Filler,37,3.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Julie tried to seduce Jim at the party. And Mary did the same thing with Paul.",NOR,Control,original,Good Filler,30,2.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): John doubts that Sue played football or tennis. He thinks she never did any ball sports.",NOR,Experimental,original,Other DE,15,2.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): It seems John has lived here for years without medical or house insurance. So John spends a lot on medical and house insurance.",Contradictory,Experimental,original,Without,8,3.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Winter is Mary's favorite season. She loves the snow.",NAND,Control,created,Good Filler,79,5.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I forgot to eat dinner. I didn't forget to eat dinner.",NAND,Control,created,Easy Bad,125,6.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): If I remember correctly, the war started three years ago. A year earlier, the United Nations tried to put an end to it.",NOR,Control,original,Bad Filler,49,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The mansion was very big.",NAND,Control,created,Easy Good,92,6.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Jim was upset with me yesterday. He thought I ate his cake, but I didn't.",NAND,Control,created,Good Filler,74,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): They haven't had another event at this school after the bomb threats last year.",NAND,Control,created,Good Filler,82,1.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): If I remember correctly, John doesn’t drink orange juice or apple juice. So he loves all types of fruit juice.",Contradictory,Experimental,created,Negation,53,3.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Mary ordered oysters at the official dinner last night, but John could never have done that; he hates oysters.",NOR,Control,original,Good Filler,31,5.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I've been to New York. I haven't been to New York.",NAND,Control,created,Easy Bad,124,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): John rarely goes to the grocery story or the post office. So he often stops by the post office on his way to the grocery store.",Contradictory,Experimental,created,Other DE,70,3.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Yosemite is a great hiking destination.",NAND,Control,created,Easy Good,102,6.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The trash is overflowing in my apartment.",NAND,Control,created,Easy Good,103,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I spent all night cramming for my test today. I'll definitely forget all the information I just learned by tomorrow.",NAND,Control,created,Good Filler,78,1.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): What is your impression after meeting our two new PhD students, Lina and Leo, today? Lina seems very motivated and with a strong background in syntax, but Leo, I cannot really tell.",NOR,Control,original,Good Filler,35,6.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Mary doubts that Paul read The Brothers Karamazov or Anna Karenina. So she knows he's read all the classics of Russian literature.",Contradictory,Experimental,original,Other DE,16,3.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Mary is sad. She left the restaurant without a sandwich or a cake. So she spent ten dollars on the sandwich and the cake.",Contradictory,Experimental,created,Without,61,3.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): One of my teachers hates me, but I will not remember which.",NAND,Control,created,Bad Filler,90,3.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): The earthquake affected some buildings in our area. Luckily no building was affected.",NOR,Control,original,Bad Filler,38,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I enjoy skiing, I don't enjoy skiing.",NAND,Control,created,Easy Bad,129,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): John saw two performances by this artist. He thinks he is the best opera singer he ever listened to.",NOR,Control,original,Good Filler,22,5.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I really liked the concert. The cellist should be playing brilliantly.",NOR,Control,original,Bad Filler,40,5.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Friendship is very important to me.",NAND,Control,created,Easy Good,109,6.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Mary didn’t like the restaurant we went to last night. She thought it was too expensive.",NOR,Control,original,Good Filler,24,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): That's my water bottle. That's not my water bottle.",NAND,Control,created,Easy Bad,126,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I like the snow. I don't like the snow.",NAND,Control,created,Easy Bad,118,4.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): A group of children played on the playground.",NAND,Control,created,Easy Good,95,5.0
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): My dad is bald. My dad is not bald.",NAND,Control,created,Easy Bad,120,3
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I will always remember to submit my homework on time. There must be a shrimp in my soup.",NAND,Control,created,Bad Filler,91,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): There were some countries targeted for the attack, but I will not remember which.",Contradictory,Control,original,Bad Filler,37,3
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): It is raining right now. It is not raining right now.",NAND,Control,created,Easy Bad,117,3
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): I love going to the gym. I'm there almost every day.",NAND,Control,created,Good Filler,84,7
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Friendship is very important to me.",NAND,Control,created,Easy Good,109,7
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Some of the students speak English well, but not all of them.",Contradictory,Control,original,Good Filler,19,6
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): It’s cold in this house. I bet you, John didn’t close the window or the back door.  I wonder which one of those two we’ll find open.",NAND,Experimental,original,Negation,2,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Some countries have very strict politics against immigration. This situation is not going to change anytime soon.",Contradictory,Control,original,Good Filler,23,2
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): My mom doesn't like the sound of loud chewing.",NAND,Control,created,Easy Good,93,5
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): John saw two performances by this artist. He thinks he is the best opera singer he ever listened to.",Contradictory,Control,original,Good Filler,22,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): Mary didn’t let us know her decision yet. She will have done that already.",Contradictory,Control,original,Bad Filler,43,4
"On a scale of 1 to 7, 1 being not acceptable and 7 being very acceptable, how acceptable is/are the following sentence(s): If I remember correctly, John doesn’t drink wine or beer.  The doctor has forbidden him alcohol.",NOR,Experimental,original,Negation,1,5
