Prompt,Continuation,Condition,Study,Type,Original order,Response
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The smoke alarm went off. I bet John didn’t open the window or the door. So, look, he opened them both.",Contradictory,Experimental,created,Negation,57,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: What is your impression after meeting our two new PhD students, Lina and Leo, today? Lina seems very motivated and with a strong background in syntax, but Leo, I cannot really tell.",Contradictory,Control,original,Filler,35,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John invited Mary to a barbecue restaurant yesterday. She declined because she's vegetarian.",Contradictory,Control,created,Filler,75,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Two of the suspects were caught yesterday, but no names have been released yet.",Contradictory,Control,original,Filler,20,7
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The train didn’t get here on time, but nobody told us why.",Contradictory,Control,original,Filler,27,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary doesn’t like cats or dogs. She had traumatizing experiences with both.",NOR,Experimental,original,Negation,6,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: One of my teachers hates me, but I will not remember which.",Contradictory,Control,created,Filler,90,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The earthquake affected some buildings in our area. Luckily no building was affected.",Contradictory,Control,original,Filler,38,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John is annoyed. Mary showed up to his birthday party without a present or a card. She forgot them both at home.",NOR,Experimental,created,Without,60,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary prefers Jesse to deliver their speech. And John prefers Michael’s.",Contradictory,Control,original,Filler,51,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary doubts that Paul read The Brothers Karamazov or Anna Karenina. So she knows he's read all the classics of Russian literature.",Contradictory,Experimental,original,Other DE,16,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Dan was upset with his grade. I shouldn’t have been the problem.",Contradictory,Control,original,Filler,44,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Jim said he wants to eat less junk food. I guess that's why he came back from the grocery store without cake or soda. So I saw cake, soda, and chocolate in the grocery bags he brought home.",Contradictory,Experimental,created,Without,63,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I don’t understand what really happened. It seems that the girl pushed Bill again. And so will be John.",Contradictory,Control,original,Filler,46,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: My grandparents have a hard time understanding me. English is not their first language.",Contradictory,Control,created,Filler,83,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John is upset. Clearly, he didn’t pass the semantics or the syntax exam.  So he got an A on both tests.",Contradictory,Experimental,original,Negation,4,2
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Some countries have very strict politics against immigration. This situation is not going to change anytime soon.",Contradictory,Control,original,Filler,23,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Jane is worried. She got to the airport without her passport or her credit card. She forgot all her personal stuff in the cab to the airport!",NOR,Experimental,original,Without,7,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: My aunt was very happy this morning. She was excited to see her friend after a long time.",Contradictory,Control,created,Filler,73,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: They haven't had another event at this school after the bomb threats last year.",Contradictory,Control,created,Filler,82,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Peter told me he needed to travel light. To judge by the small size of his bag, he was travelling without his computer or his movie camera.  I wonder which of the two he decided to give up.",NAND,Experimental,original,Without,11,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The trees are very green this time of year.",Contradictory,Control,created,Easy,105,7
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary is sad. She left the restaurant without a sandwich or a cake. So she spent ten dollars on the sandwich and the cake.",Contradictory,Experimental,created,Without,61,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The baseball cap helps keep the sun off my face.",Contradictory,Control,created,Easy,110,7
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The books on the shelf are very old.",Contradictory,Control,created,Easy,107,7
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: If I understood correctly, John was scolded by his father yesterday. Today his mother tried to put an end to it.",Contradictory,Control,original,Filler,47,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: When we ate at the seafood restaurant, my brother's face puffed up and turned red. That's how we found out he has a seafood allergy.",Contradictory,Control,created,Filler,85,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The soccer game was very exciting.",Contradictory,Control,created,Easy,101,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John doubts Mary knows Spanish or French. So he has heard her speaking both.",Contradictory,Experimental,created,Other DE,69,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Jim was upset with me yesterday. He thought I ate his cake, but I didn't.",Contradictory,Control,created,Filler,74,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John rarely visits his sister or his mother. So he spends as much time as possible with both.",Contradictory,Experimental,original,Other DE,18,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Sue recommended two books to read during holidays, but I looked for them in libraries.",Contradictory,Control,original,Filler,36,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary doubts that John watched Mission Impossible or James Bond. She thinks he wouldn’t watch any action movies.",NOR,Experimental,created,Other DE,68,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I bring my phone with me everywhere I go.",Contradictory,Control,created,Easy,99,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John doubts that Sue played football or tennis. He thinks she never did any ball sports.",NOR,Experimental,original,Other DE,15,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: There were some countries targeted for the attack, but I will not remember which.",Contradictory,Control,original,Filler,37,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Mary ordered oysters at the official dinner last night, but John could never have done that; he hates oysters.",Contradictory,Control,original,Filler,31,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I wonder how Jane manages to look so young at 62. I guess she must have a healthy diet.",Contradictory,Control,original,Filler,33,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John rarely goes to the grocery story or the post office. He doesn’t really leave his house.",NOR,Experimental,created,Other DE,70,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The teacher assigned homework for the week.",Contradictory,Control,created,Easy,96,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John didn’t go on holidays this year. I can’t remember where.",Contradictory,Control,original,Filler,42,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: A group of children played on the playground.",Contradictory,Control,created,Easy,95,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I remember there was a family conflict. Mary didn’t speak with her mother or her sister. So she talked to them both yesterday.",Contradictory,Experimental,original,Negation,5,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: If I remember correctly, Annie doesn’t like chocolate or pie. I don’t know which.",NAND,Experimental,created,Negation,55,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I love going to the gym. I'm there almost every day.",Contradictory,Control,created,Filler,84,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Weddings are a very lovely time.",Contradictory,Control,created,Easy,100,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John's son is a very picky eater. The only thing he'll willingly eat is mac and cheese.",Contradictory,Control,created,Filler,86,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The results of the election are not out yet, but I don't remember who won.",Contradictory,Control,original,Filler,41,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: If I remember correctly, John doesn’t drink wine or beer.  So he drinks both.",Contradictory,Experimental,original,Negation,1,3
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: I really liked the concert. The cellist should be playing brilliantly.",Contradictory,Control,original,Filler,40,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Two theses from our department participated in the Best Doctoral Dissertation Award Competition, but neither of them won.",Contradictory,Control,original,Filler,29,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John went on holiday without his mother or his father. I don’t remember which.",NAND,Experimental,original,Without,10,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: John saw two performances by this artist. He thinks he is the best opera singer he ever listened to.",Contradictory,Control,original,Filler,22,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Jamie is happy. She left being pulled over without a ticket for speeding or a ticket for a broken tail light. She’s happy she doesn’t have any tickets to pay.",NOR,Experimental,created,Without,62,5
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The lunch break at school is very short. The kids rarely finish their lunch.",Contradictory,Control,original,Filler,26,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Apparently, few people are able to recite back a sequence of twelve letters or twelve numbers. I don’t remember which.",NAND,Experimental,original,Other DE,14,4
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: Few people took the appetizer or the dessert. The main dish was already expensive.",NOR,Experimental,original,Other DE,13,6
"On a scale of 1 to 7, 1 being very unnatural and 7 being very natural, rate how natural the following sentence(s) is: The customer praised only the dessert. The happy customer praised the appetizer.",Contradictory,Control,original,Filler,48,6
