Iteration,Type,Sentence,Category,Correct Response,Model Response,Order
2,comp_neg_dis,"In the list of words: duel, johannesburg, headline, lustrous, relayed, homecomings, which words do not have either the letters d or u?",experimental,"(['duel', 'homecomings'], ['homecomings'])","[relayed, lustrous]",18
2,simple_neg_conj,"In the list of words: duel, johannesburg, headline, lustrous, relayed, homecomings, which words do not have the letters u and d?",experimental,"(['johannesburg', 'headline', 'lustrous', 'relayed', 'homecomings'], ['homecomings'])","[headline, lustrous, relayed]",19
2,inc_dis,"In the list of words: duel, johannesburg, headline, lustrous, relayed, homecomings, which words have the letter u or h or both?",control,"['duel', 'johannesburg', 'headline', 'lustrous', 'homecomings']","[duel, Johannesburg, homecomings, lustrous, relayed]",20
2,ex_dis,"In the list of words: duel, johannesburg, headline, lustrous, relayed, homecomings, which words have the letter d or h, but not both?",control,"['duel', 'johannesburg', 'relayed', 'homecomings']","[duel, johannesburg, lustrous]",21
2,comp_neg,"In the list of words: duel, johannesburg, headline, lustrous, relayed, homecomings, which words have neither the letter h nor u?",control,['relayed'],[relayed],22
2,simple_pos_conj,"In the list of words: duel, johannesburg, headline, lustrous, relayed, homecomings, which words have the letters h and d?",control,['headline'],"[duel, homecomings]",23
2,comp_neg_conj,"In the list of words: duel, johannesburg, headline, lustrous, relayed, homecomings, which words do not have both the letters h and u?",control,"(['duel', 'headline', 'lustrous', 'relayed', 'homecomings'], ['relayed'])","[relayed, lustrous]",24
3,simple_pos,"In the list of words: hermanovski, immortalized, civilizing, admonished, shoved, crazed, which words have the letter m?",experimental,"['hermanovski', 'immortalized', 'admonished']","hermanovski, immortalized",25
3,simple_neg,"In the list of words: hermanovski, immortalized, civilizing, admonished, shoved, crazed, which words do not have the letter v?",experimental,"['immortalized', 'admonished', 'crazed']","hermanovski, admonished, crazed",26
3,simple_pos_dis,"In the list of words: hermanovski, immortalized, civilizing, admonished, shoved, crazed, which words have the letters z or m?",experimental,"(['hermanovski', 'immortalized', 'civilizing', 'admonished', 'crazed'], ['hermanovski', 'civilizing', 'admonished', 'crazed'])","[hermanovski, imm...",27
3,comp_pos_dis,"In the list of words: hermanovski, immortalized, civilizing, admonished, shoved, crazed, which words have either the letters v or m?",experimental,"(['immortalized', 'civilizing', 'admonished', 'shoved'], ['hermanovski', 'immortalized', 'civilizing', 'admonished', 'shoved'])","hermanovski, civilizing, admonished, crazed",28
3,simple_neg_dis,"In the list of words: hermanovski, immortalized, civilizing, admonished, shoved, crazed, which words do not have the letters z or v?",experimental,"(['admonished'], ['hermanovski', 'immortalized', 'admonished', 'shoved', 'crazed'])","hermanovski, shoved, admonished",29
3,comp_neg_dis,"In the list of words: hermanovski, immortalized, civilizing, admonished, shoved, crazed, which words do not have either the letters z or v?",experimental,"(['civilizing', 'admonished'], ['admonished'])","[immortalized, civilizing, admonished]",30
3,simple_neg_conj,"In the list of words: hermanovski, immortalized, civilizing, admonished, shoved, crazed, which words do not have the letters m and v?",experimental,"(['immortalized', 'civilizing', 'admonished', 'shoved', 'crazed'], ['crazed'])","[hermanovski, shoved]",31
3,inc_dis,"In the list of words: hermanovski, immortalized, civilizing, admonished, shoved, crazed, which words have the letter v or z or both?",control,"['hermanovski', 'immortalized', 'civilizing', 'shoved', 'crazed']","hermanovski, civilizing, crazed",32
3,ex_dis,"In the list of words: hermanovski, immortalized, civilizing, admonished, shoved, crazed, which words have the letter z or v, but not both?",control,"['hermanovski', 'immortalized', 'shoved', 'crazed']","[hermanovski, civilizing, admonished, crazed, shoved]",33
3,comp_neg,"In the list of words: hermanovski, immortalized, civilizing, admonished, shoved, crazed, which words have neither the letter z nor m?",control,['shoved'],"hermanovski, civilizing, admonished",34
3,simple_pos_conj,"In the list of words: hermanovski, immortalized, civilizing, admonished, shoved, crazed, which words have the letters m and v?",control,['hermanovski'],"[hermanovski, immortalized, civilizing, admonished]",35
3,comp_neg_conj,"In the list of words: hermanovski, immortalized, civilizing, admonished, shoved, crazed, which words do not have both the letters m and v?",control,"(['immortalized', 'civilizing', 'admonished', 'shoved', 'crazed'], ['crazed'])","[crazed, admonished]",36
4,simple_pos,"In the list of words: squaw, qualitative, heavenward, antiques, dower, outsville, which words have the letter q?",experimental,"['squaw', 'qualitative', 'antiques']","[qualitative, squaw, heavenward, outsville]",37
4,simple_neg,"In the list of words: squaw, qualitative, heavenward, antiques, dower, outsville, which words do not have the letter w?",experimental,"['qualitative', 'antiques', 'outsville']","squaw, antiques, dower",38
4,simple_pos_dis,"In the list of words: squaw, qualitative, heavenward, antiques, dower, outsville, which words have the letters v or q?",experimental,"(['squaw', 'qualitative', 'heavenward', 'antiques', 'outsville'], ['squaw', 'heavenward', 'antiques', 'outsville'])","[heavenward, qualitative]",39
4,comp_pos_dis,"In the list of words: squaw, qualitative, heavenward, antiques, dower, outsville, which words have either the letters q or v?",experimental,"(['squaw', 'heavenward', 'antiques', 'outsville'], ['squaw', 'qualitative', 'heavenward', 'antiques', 'outsville'])","[qualitative, heavenward, antiques, outsville, squaw]",40
4,simple_neg_dis,"In the list of words: squaw, qualitative, heavenward, antiques, dower, outsville, which words do not have the letters q or v?",experimental,"(['dower'], ['squaw', 'heavenward', 'antiques', 'dower', 'outsville'])","[heavenward, antiques]",41
4,comp_neg_dis,"In the list of words: squaw, qualitative, heavenward, antiques, dower, outsville, which words do not have either the letters q or w?",experimental,"(['squaw', 'outsville'], ['outsville'])","squaw, antiques",42
4,simple_neg_conj,"In the list of words: squaw, qualitative, heavenward, antiques, dower, outsville, which words do not have the letters w and q?",experimental,"(['qualitative', 'heavenward', 'antiques', 'dower', 'outsville'], ['outsville'])",[antiques],43
4,inc_dis,"In the list of words: squaw, qualitative, heavenward, antiques, dower, outsville, which words have the letter q or v or both?",control,"['squaw', 'qualitative', 'heavenward', 'antiques', 'outsville']","[qualitative, heavenward, antiques, outsville]",44
4,ex_dis,"In the list of words: squaw, qualitative, heavenward, antiques, dower, outsville, which words have the letter q or v, but not both?",control,"['squaw', 'heavenward', 'antiques', 'outsville']","[qualitative, heavenward]",45
4,comp_neg,"In the list of words: squaw, qualitative, heavenward, antiques, dower, outsville, which words have neither the letter w nor q?",control,['outsville'],"[antiques, heavenward]",46
4,simple_pos_conj,"In the list of words: squaw, qualitative, heavenward, antiques, dower, outsville, which words have the letters v and w?",control,['heavenward'],"[qualitative, heavenward]",47
4,comp_neg_conj,"In the list of words: squaw, qualitative, heavenward, antiques, dower, outsville, which words do not have both the letters v and w?",control,"(['squaw', 'qualitative', 'antiques', 'dower', 'outsville'], ['antiques'])","[qualitative, heavenward, antiques]",48
5,simple_pos,"In the list of words: cardiovascular, bridge, slacking, fore, coalesce, paganini, which words have the letter r?",experimental,"['cardiovascular', 'bridge', 'fore']","[cardiovascular, bridge, slacking, fore, paganini, coalesce]",49
5,simple_neg,"In the list of words: cardiovascular, bridge, slacking, fore, coalesce, paganini, which words do not have the letter r?",experimental,"['slacking', 'coalesce', 'paganini']","[bridge, slacking]",50
5,simple_pos_dis,"In the list of words: cardiovascular, bridge, slacking, fore, coalesce, paganini, which words have the letters s or g?",experimental,"(['cardiovascular', 'bridge', 'slacking', 'coalesce', 'paganini'], ['cardiovascular', 'bridge', 'coalesce', 'paganini'])","[cardiovascular, bridge, slacking, paganini, coalesce]",51
5,comp_pos_dis,"In the list of words: cardiovascular, bridge, slacking, fore, coalesce, paganini, which words have either the letters g or r?",experimental,"(['cardiovascular', 'slacking', 'fore', 'paganini'], ['cardiovascular', 'bridge', 'slacking', 'fore', 'paganini'])","[cardiovascular, bridge, slacking, fore, paganini]",52
5,simple_neg_dis,"In the list of words: cardiovascular, bridge, slacking, fore, coalesce, paganini, which words do not have the letters r or s?",experimental,"(['paganini'], ['bridge', 'slacking', 'fore', 'coalesce', 'paganini'])","[coalesce, bridge]",53
5,comp_neg_dis,"In the list of words: cardiovascular, bridge, slacking, fore, coalesce, paganini, which words do not have either the letters g or s?",experimental,"(['slacking', 'fore'], ['fore'])","bridge, slacking",54
5,simple_neg_conj,"In the list of words: cardiovascular, bridge, slacking, fore, coalesce, paganini, which words do not have the letters r and g?",experimental,"(['cardiovascular', 'slacking', 'fore', 'coalesce', 'paganini'], ['coalesce'])","bridge, slacking",55
5,inc_dis,"In the list of words: cardiovascular, bridge, slacking, fore, coalesce, paganini, which words have the letter g or r or both?",control,"['cardiovascular', 'bridge', 'slacking', 'fore', 'paganini']","[cardiovascular, bridge, paganini, fore, slacking, coalesce]",56
5,ex_dis,"In the list of words: cardiovascular, bridge, slacking, fore, coalesce, paganini, which words have the letter r or s, but not both?",control,"['bridge', 'slacking', 'fore', 'coalesce']","bridge, slacking",57
5,comp_neg,"In the list of words: cardiovascular, bridge, slacking, fore, coalesce, paganini, which words have neither the letter r nor s?",control,['paganini'],"[cardiovascular, bridge, paganini]",58
5,simple_pos_conj,"In the list of words: cardiovascular, bridge, slacking, fore, coalesce, paganini, which words have the letters r and g?",control,['bridge'],"[cardiovascular, bridge, slacking, fore, coalesce]",59
5,comp_neg_conj,"In the list of words: cardiovascular, bridge, slacking, fore, coalesce, paganini, which words do not have both the letters r and g?",control,"(['cardiovascular', 'slacking', 'fore', 'coalesce', 'paganini'], ['coalesce'])","bridge, paganini",60
6,simple_pos,"In the list of words: week, overtake, reviewing, kernel, railway, villains, which words have the letter k?",experimental,"['week', 'overtake', 'kernel']","[kernel, villains]",61
6,simple_neg,"In the list of words: week, overtake, reviewing, kernel, railway, villains, which words do not have the letter w?",experimental,"['overtake', 'kernel', 'villains']",kernel,62
6,simple_pos_dis,"In the list of words: week, overtake, reviewing, kernel, railway, villains, which words have the letters k or w?",experimental,"(['week', 'overtake', 'reviewing', 'kernel', 'railway'], ['overtake', 'reviewing', 'kernel', 'railway'])","[kernel, overtake, railway]",63
6,comp_pos_dis,"In the list of words: week, overtake, reviewing, kernel, railway, villains, which words have either the letters v or w?",experimental,"(['week', 'overtake', 'railway', 'villains'], ['week', 'overtake', 'reviewing', 'railway', 'villains'])","week, villains",64
6,simple_neg_dis,"In the list of words: week, overtake, reviewing, kernel, railway, villains, which words do not have the letters w or k?",experimental,"(['villains'], ['overtake', 'reviewing', 'kernel', 'railway', 'villains'])",kernel,65
6,comp_neg_dis,"In the list of words: week, overtake, reviewing, kernel, railway, villains, which words do not have either the letters k or w?",experimental,"(['week', 'villains'], ['villains'])","[reviewing, villains]",66
6,simple_neg_conj,"In the list of words: week, overtake, reviewing, kernel, railway, villains, which words do not have the letters k and w?",experimental,"(['overtake', 'reviewing', 'kernel', 'railway', 'villains'], ['villains'])","[reviewing, villains]",67
6,inc_dis,"In the list of words: week, overtake, reviewing, kernel, railway, villains, which words have the letter k or v or both?",control,"['week', 'overtake', 'reviewing', 'kernel', 'villains']","week, reviewing, villains",68
6,ex_dis,"In the list of words: week, overtake, reviewing, kernel, railway, villains, which words have the letter k or w, but not both?",control,"['overtake', 'reviewing', 'kernel', 'railway']","kernel, railway",69
6,comp_neg,"In the list of words: week, overtake, reviewing, kernel, railway, villains, which words have neither the letter k nor w?",control,['villains'],"[reviewing, railway]",70
6,simple_pos_conj,"In the list of words: week, overtake, reviewing, kernel, railway, villains, which words have the letters w and v?",control,['reviewing'],"[week, villains, reviewing]",71
6,comp_neg_conj,"In the list of words: week, overtake, reviewing, kernel, railway, villains, which words do not have both the letters w and v?",control,"(['week', 'overtake', 'kernel', 'railway', 'villains'], ['kernel'])",kernel,72
7,simple_pos,"In the list of words: puts, usis, paragraphing, slaughtered, slept, tieken, which words have the letter i?",experimental,"['usis', 'paragraphing', 'tieken']","[puts, slaughtered, tieken]",73
7,simple_neg,"In the list of words: puts, usis, paragraphing, slaughtered, slept, tieken, which words do not have the letter p?",experimental,"['usis', 'slaughtered', 'tieken']","paragraphing, slaughtered",74
7,simple_pos_dis,"In the list of words: puts, usis, paragraphing, slaughtered, slept, tieken, which words have the letters p or u?",experimental,"(['puts', 'usis', 'paragraphing', 'slaughtered', 'slept'], ['usis', 'paragraphing', 'slaughtered', 'slept'])","puts, slaughtered, slept, tieken",75
7,comp_pos_dis,"In the list of words: puts, usis, paragraphing, slaughtered, slept, tieken, which words have either the letters u or p?",experimental,"(['usis', 'paragraphing', 'slaughtered', 'slept'], ['puts', 'usis', 'paragraphing', 'slaughtered', 'slept'])","[puts, slaughtered, paragraphing, tiedken]",76
7,simple_neg_dis,"In the list of words: puts, usis, paragraphing, slaughtered, slept, tieken, which words do not have the letters i or u?",experimental,"(['slept'], ['puts', 'paragraphing', 'slaughtered', 'slept', 'tieken'])","[paragraphing, slaughtered]",77
7,comp_neg_dis,"In the list of words: puts, usis, paragraphing, slaughtered, slept, tieken, which words do not have either the letters u or i?",experimental,"(['usis', 'slept'], ['slept'])","[paragraphing, slaughtered, slept]",78
7,simple_neg_conj,"In the list of words: puts, usis, paragraphing, slaughtered, slept, tieken, which words do not have the letters i and u?",experimental,"(['puts', 'paragraphing', 'slaughtered', 'slept', 'tieken'], ['slept'])","[puts, tiedken]",79
7,inc_dis,"In the list of words: puts, usis, paragraphing, slaughtered, slept, tieken, which words have the letter u or i or both?",control,"['puts', 'usis', 'paragraphing', 'slaughtered', 'tieken']","[puts, slaughtered, tieken]",80
7,ex_dis,"In the list of words: puts, usis, paragraphing, slaughtered, slept, tieken, which words have the letter i or u, but not both?",control,"['puts', 'paragraphing', 'slaughtered', 'tieken']","puts, tiesken",81
7,comp_neg,"In the list of words: puts, usis, paragraphing, slaughtered, slept, tieken, which words have neither the letter i nor p?",control,['slaughtered'],"[puts, tiedken]",82
7,simple_pos_conj,"In the list of words: puts, usis, paragraphing, slaughtered, slept, tieken, which words have the letters p and u?",control,['puts'],"[puts, usis]",83
7,comp_neg_conj,"In the list of words: puts, usis, paragraphing, slaughtered, slept, tieken, which words do not have both the letters u and p?",control,"(['usis', 'paragraphing', 'slaughtered', 'slept', 'tieken'], ['tieken'])","puts
sleeped",84
8,simple_pos,"In the list of words: polemic, deterrence, linda, supernatant, floors, goodbody, which words have the letter e?",experimental,"['polemic', 'deterrence', 'supernatant']","[polemic, deterrence, goodbody, supernatant]",85
8,simple_neg,"In the list of words: polemic, deterrence, linda, supernatant, floors, goodbody, which words do not have the letter e?",experimental,"['linda', 'floors', 'goodbody']","policymic, deterrence",86
8,simple_pos_dis,"In the list of words: polemic, deterrence, linda, supernatant, floors, goodbody, which words have the letters l or e?",experimental,"(['polemic', 'deterrence', 'linda', 'supernatant', 'floors'], ['deterrence', 'linda', 'supernatant', 'floors'])","[linda, deterrence, floors]",87
8,comp_pos_dis,"In the list of words: polemic, deterrence, linda, supernatant, floors, goodbody, which words have either the letters d or e?",experimental,"(['polemic', 'linda', 'supernatant', 'goodbody'], ['polemic', 'deterrence', 'linda', 'supernatant', 'goodbody'])","[polemic, deterrence, floors, goodbody]",88
8,simple_neg_dis,"In the list of words: polemic, deterrence, linda, supernatant, floors, goodbody, which words do not have the letters d or e?",experimental,"(['floors'], ['polemic', 'linda', 'supernatant', 'floors', 'goodbody'])","[linda, floors]",89
8,comp_neg_dis,"In the list of words: polemic, deterrence, linda, supernatant, floors, goodbody, which words do not have either the letters d or e?",experimental,"(['deterrence', 'floors'], ['floors'])","[polemic, floors]",90
8,simple_neg_conj,"In the list of words: polemic, deterrence, linda, supernatant, floors, goodbody, which words do not have the letters l and e?",experimental,"(['deterrence', 'linda', 'supernatant', 'floors', 'goodbody'], ['goodbody'])","polemic, linda",91
8,inc_dis,"In the list of words: polemic, deterrence, linda, supernatant, floors, goodbody, which words have the letter l or e or both?",control,"['polemic', 'deterrence', 'linda', 'supernatant', 'floors']","[linda, deterrence, supernatant, floors, polemic, goodbody]",92
8,ex_dis,"In the list of words: polemic, deterrence, linda, supernatant, floors, goodbody, which words have the letter l or e, but not both?",control,"['deterrence', 'linda', 'supernatant', 'floors']","[linda, floors]",93
8,comp_neg,"In the list of words: polemic, deterrence, linda, supernatant, floors, goodbody, which words have neither the letter l nor d?",control,['supernatant'],"[polemic, floors]",94
8,simple_pos_conj,"In the list of words: polemic, deterrence, linda, supernatant, floors, goodbody, which words have the letters l and e?",control,['polemic'],"[linda, deterrence, floors]",95
8,comp_neg_conj,"In the list of words: polemic, deterrence, linda, supernatant, floors, goodbody, which words do not have both the letters e and l?",control,"(['deterrence', 'linda', 'supernatant', 'floors', 'goodbody'], ['goodbody'])","[polemic, deterrence]",96
9,simple_pos,"In the list of words: thermal, relinquishing, mystique, frightful, somber, burlesques, which words have the letter m?",experimental,"['thermal', 'mystique', 'somber']","[m, e]",97
9,simple_neg,"In the list of words: thermal, relinquishing, mystique, frightful, somber, burlesques, which words do not have the letter h?",experimental,"['mystique', 'somber', 'burlesques']","[ thermal, frightful, somber ]",98
9,simple_pos_dis,"In the list of words: thermal, relinquishing, mystique, frightful, somber, burlesques, which words have the letters h or q?",experimental,"(['thermal', 'relinquishing', 'mystique', 'frightful', 'burlesques'], ['thermal', 'mystique', 'frightful', 'burlesques'])","[thermal, relinquishing, frightful]",99
9,comp_pos_dis,"In the list of words: thermal, relinquishing, mystique, frightful, somber, burlesques, which words have either the letters m or h?",experimental,"(['relinquishing', 'mystique', 'frightful', 'somber'], ['thermal', 'relinquishing', 'mystique', 'frightful', 'somber'])","[thermal, relinquishing, frightful, somber, burlesques]",100
9,simple_neg_dis,"In the list of words: thermal, relinquishing, mystique, frightful, somber, burlesques, which words do not have the letters m or h?",experimental,"(['burlesques'], ['relinquishing', 'mystique', 'frightful', 'somber', 'burlesques'])","[thermal, frightful]",101
9,comp_neg_dis,"In the list of words: thermal, relinquishing, mystique, frightful, somber, burlesques, which words do not have either the letters q or m?",experimental,"(['mystique', 'frightful'], ['frightful'])","[thermal, frightful]",102
9,simple_neg_conj,"In the list of words: thermal, relinquishing, mystique, frightful, somber, burlesques, which words do not have the letters h and q?",experimental,"(['thermal', 'mystique', 'frightful', 'somber', 'burlesques'], ['somber'])","[thermal, mystique, frightful]",103
9,inc_dis,"In the list of words: thermal, relinquishing, mystique, frightful, somber, burlesques, which words have the letter q or m or both?",control,"['thermal', 'relinquishing', 'mystique', 'somber', 'burlesques']","[thermal, relinquishing, mystique, frightful, somber, burlesques]",104
9,ex_dis,"In the list of words: thermal, relinquishing, mystique, frightful, somber, burlesques, which words have the letter q or h, but not both?",control,"['thermal', 'mystique', 'frightful', 'burlesques']","[qu, mystique, frightful, somber]",105
9,comp_neg,"In the list of words: thermal, relinquishing, mystique, frightful, somber, burlesques, which words have neither the letter m nor h?",control,['burlesques'],"[thermal, mystique, frightful]",106
9,simple_pos_conj,"In the list of words: thermal, relinquishing, mystique, frightful, somber, burlesques, which words have the letters q and m?",control,['mystique'],"[m, l, r, f, t, n]",107
9,comp_neg_conj,"In the list of words: thermal, relinquishing, mystique, frightful, somber, burlesques, which words do not have both the letters m and q?",control,"(['thermal', 'relinquishing', 'frightful', 'somber', 'burlesques'], ['frightful'])","[relinquishing, frightful, somber]",108
10,simple_pos,"In the list of words: vacuolization, comanche, removal, contralto, navy, foe, which words have the letter e?",experimental,"['comanche', 'removal', 'foe']","vacuolization, removal, navy, foe",109
10,simple_neg,"In the list of words: vacuolization, comanche, removal, contralto, navy, foe, which words do not have the letter c?",experimental,"['removal', 'navy', 'foe']","vacuolization, removal, foe",110
10,simple_pos_dis,"In the list of words: vacuolization, comanche, removal, contralto, navy, foe, which words have the letters e or c?",experimental,"(['vacuolization', 'comanche', 'removal', 'contralto', 'foe'], ['vacuolization', 'removal', 'contralto', 'foe'])","[ removal, foe, navy, contralto ]",111
10,comp_pos_dis,"In the list of words: vacuolization, comanche, removal, contralto, navy, foe, which words have either the letters e or v?",experimental,"(['vacuolization', 'comanche', 'navy', 'foe'], ['vacuolization', 'comanche', 'removal', 'navy', 'foe'])","[comanche, removal, foe, navy]",112
10,simple_neg_dis,"In the list of words: vacuolization, comanche, removal, contralto, navy, foe, which words do not have the letters c or e?",experimental,"(['navy'], ['vacuolization', 'removal', 'contralto', 'navy', 'foe'])","vacuolization, removal, navy, foe",113
10,comp_neg_dis,"In the list of words: vacuolization, comanche, removal, contralto, navy, foe, which words do not have either the letters v or c?",experimental,"(['vacuolization', 'foe'], ['foe'])","[removal, navy]",114
10,simple_neg_conj,"In the list of words: vacuolization, comanche, removal, contralto, navy, foe, which words do not have the letters c and e?",experimental,"(['vacuolization', 'removal', 'contralto', 'navy', 'foe'], ['navy'])","[navy, foe]",115
10,inc_dis,"In the list of words: vacuolization, comanche, removal, contralto, navy, foe, which words have the letter c or e or both?",control,"['vacuolization', 'comanche', 'removal', 'contralto', 'foe']","vacuolization, removal, comanche, contralto, foe",116
10,ex_dis,"In the list of words: vacuolization, comanche, removal, contralto, navy, foe, which words have the letter c or v, but not both?",control,"['comanche', 'removal', 'contralto', 'navy']","[comanche, removal]",117
10,comp_neg,"In the list of words: vacuolization, comanche, removal, contralto, navy, foe, which words have neither the letter c nor e?",control,['navy'],"[navy, foe, removal]",118
10,simple_pos_conj,"In the list of words: vacuolization, comanche, removal, contralto, navy, foe, which words have the letters v and e?",control,['removal'],"[vacuolization, removal, navy, foe]",119
10,comp_neg_conj,"In the list of words: vacuolization, comanche, removal, contralto, navy, foe, which words do not have both the letters v and c?",control,"(['comanche', 'removal', 'contralto', 'navy', 'foe'], ['foe'])","[vacuolization, removal, navy]",120
11,simple_pos,"In the list of words: matrix, maxine, committed, maximal, dusting, elegies, which words have the letter e?",experimental,"['maxine', 'committed', 'elegies']","[matrix, elegies]",121
11,simple_neg,"In the list of words: matrix, maxine, committed, maximal, dusting, elegies, which words do not have the letter e?",experimental,"['matrix', 'maximal', 'dusting']","matrix
dusting",122
11,simple_pos_dis,"In the list of words: matrix, maxine, committed, maximal, dusting, elegies, which words have the letters x or t?",experimental,"(['matrix', 'maxine', 'committed', 'maximal', 'dusting'], ['maxine', 'committed', 'maximal', 'dusting'])","matrix, dusting, elegies",123
11,comp_pos_dis,"In the list of words: matrix, maxine, committed, maximal, dusting, elegies, which words have either the letters x or t?",experimental,"(['maxine', 'committed', 'maximal', 'dusting'], ['matrix', 'maxine', 'committed', 'maximal', 'dusting'])","[x, t, max, maxi, dust, t]",124
11,simple_neg_dis,"In the list of words: matrix, maxine, committed, maximal, dusting, elegies, which words do not have the letters x or e?",experimental,"(['dusting'], ['matrix', 'committed', 'maximal', 'dusting', 'elegies'])","maxine, dusting",125
11,comp_neg_dis,"In the list of words: matrix, maxine, committed, maximal, dusting, elegies, which words do not have either the letters x or e?",experimental,"(['maxine', 'dusting'], ['dusting'])","maxine, dusting",126
11,simple_neg_conj,"In the list of words: matrix, maxine, committed, maximal, dusting, elegies, which words do not have the letters t and e?",experimental,"(['matrix', 'maxine', 'maximal', 'dusting', 'elegies'], ['maximal'])","matrix, dusting",127
11,inc_dis,"In the list of words: matrix, maxine, committed, maximal, dusting, elegies, which words have the letter x or e or both?",control,"['matrix', 'maxine', 'committed', 'maximal', 'elegies']","matrix 🤔
maxine
dusting
elegies",128
11,ex_dis,"In the list of words: matrix, maxine, committed, maximal, dusting, elegies, which words have the letter t or e, but not both?",control,"['matrix', 'maxine', 'dusting', 'elegies']","matrix, dusting",129
11,comp_neg,"In the list of words: matrix, maxine, committed, maximal, dusting, elegies, which words have neither the letter t nor e?",control,['maximal'],"matrix, dusting",130
11,simple_pos_conj,"In the list of words: matrix, maxine, committed, maximal, dusting, elegies, which words have the letters e and t?",control,['committed'],"[elegies, dusting]",131
11,comp_neg_conj,"In the list of words: matrix, maxine, committed, maximal, dusting, elegies, which words do not have both the letters x and e?",control,"(['matrix', 'committed', 'maximal', 'dusting', 'elegies'], ['dusting'])","[elegies, dusting]",132
12,simple_pos,"In the list of words: expectantly, discourage, noxious, none, axiological, discontinuous, which words have the letter e?",experimental,"['expectantly', 'discourage', 'none']","[expectantly, discourage, none, discontinuous, axiological]",133
12,simple_neg,"In the list of words: expectantly, discourage, noxious, none, axiological, discontinuous, which words do not have the letter u?",experimental,"['expectantly', 'none', 'axiological']",axiological,134
12,simple_pos_dis,"In the list of words: expectantly, discourage, noxious, none, axiological, discontinuous, which words have the letters x or e?",experimental,"(['expectantly', 'discourage', 'noxious', 'none', 'axiological'], ['discourage', 'noxious', 'none', 'axiological'])","[expectantly, discourage, noxious, discontinuous, axiological]",135
